Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Antonio Brown,PIT,WR,2,KC,12.38,7.6,66.7,111.8,0.8,0,9.3,14,0,0.1,0,0,0,0,19.8,19.79
2,Antonio Brown,PIT,WR,3,TB,12.22,7.5,66.7,105.1,0.7,0,8.8,13.1,0,0,0,0,0,0,18.5,18.46
3,Adam Thielen,MIN,WR,9,DET,10.45,7.8,80,104.8,0.7,0,10.5,13.1,0.2,0.6,0,0,0.1,0.1,18.4,18.44
4,Adam Thielen,MIN,WR,8,NO,10.05,7.5,80,102.4,0.7,0,10.2,12.8,0.1,0.5,0,0,0.1,0.1,18,18.04
5,Michael Thomas,NO,WR,11,PHI,12.32,8,66.7,98.8,0.7,0,8.2,12.4,0,0,0,0,0.1,0.1,17.9,17.88
6,Michael Thomas,NO,WR,12,ATL,11.39,7.4,63.6,97.2,0.7,0,8.8,13.9,0,0,0,0,0.1,0.1,17.4,17.42
7,Antonio Brown,PIT,WR,8,CLE,10.75,6.6,63.6,91.9,0.8,0,8.4,13.1,0,0,0,0,0,0,17.3,17.29
8,Odell Beckham Jr,NYG,WR,4,NO,11.85,7.1,58.3,99.3,0.6,0,8.2,14.1,0.5,1.6,0,0,0,0,17.2,17.24
9,Tyreek Hill,KC,WR,13,OAK,7.89,5.6,75,97,0.7,0,12.1,16.2,1.1,4.8,5,0,0,0,17.2,17.18
9,Adam Thielen,MIN,WR,7,NYJ,10.31,7.7,80,98.8,0.6,0,9.9,12.4,0.1,0.5,0,0,0.1,0.1,17.2,17.18
11,Davante Adams,GB,WR,16,NYJ,9.31,7,77.8,94.3,0.7,0,10.4,13.4,0,0,0,0,0,0,17.1,17.13
12,Antonio Brown,PIT,WR,1,CLE,11.41,7,63.6,98.9,0.6,0,9,14.1,0,0,0,0,0,0,17,16.99
13,Julio Jones,ATL,WR,12,NO,10.22,7.1,70,105.8,0.5,0,10.6,15.1,0.1,0.4,0,0,0.1,0.1,17,16.97
13,Michael Thomas,NO,WR,10,CIN,10.93,7.1,63.6,94.2,0.7,0,8.5,13.4,0,0,0,0,0.1,0.1,17,16.97
15,Antonio Brown,PIT,WR,14,OAK,10.26,6.3,60,89.8,0.8,0,9,15,0,0,0,0,0,0,16.9,16.93
16,Davante Adams,GB,WR,14,ATL,9.04,6.8,77.8,86.7,0.8,0,9.7,12.4,0,0,0,0,0,0,16.9,16.87
17,Antonio Brown,PIT,WR,5,ATL,11.57,7.1,58.3,90.6,0.7,0,7.6,13,0,0,0,0,0,0,16.8,16.81
17,Michael Thomas,NO,WR,3,ATL,11.55,7.5,66.7,90.6,0.7,0,7.6,11.4,0,0,0,0,0.1,0.1,16.8,16.81
19,AJ Green,CIN,WR,8,TB,9.29,6.5,66.7,95,0.7,0,10.6,15.8,0,0,0,0,0.1,0.1,16.8,16.75
20,Antonio Brown,PIT,WR,10,CAR,10.59,6.5,54.5,85.1,0.8,0,7.7,14.2,0,0,0,0,0,0,16.6,16.56
21,DeAndre Hopkins,HOU,WR,11,WAS,11.15,6.6,63.6,92.2,0.7,0,8.4,13.1,0.1,0.3,0,0,0.1,0.1,16.6,16.55
22,DeAndre Hopkins,HOU,WR,16,PHI,11.32,6.7,63.6,91.5,0.7,0,8.4,13.1,0.1,0.3,0,0,0.1,0.1,16.5,16.53
23,Michael Thomas,NO,WR,4,NYG,11.85,7.7,66.7,92.6,0.6,0,7.8,11.6,0,0,0,0,0.1,0.1,16.5,16.51
24,Odell Beckham Jr,NYG,WR,12,PHI,11.35,6.8,63.6,95,0.6,0,8.6,13.6,0.4,1.7,0,0,0.1,0.1,16.5,16.47
24,Odell Beckham Jr,NYG,WR,11,TB,11.52,6.9,58.3,95,0.6,0,7.9,13.6,0.4,1.2,0,0,0.1,0.1,16.5,16.47
26,Davante Adams,GB,WR,9,NE,8.77,6.6,77.8,89.6,0.7,0,10,12.9,0,0,0,0,0,0,16.5,16.46
26,Antonio Brown,PIT,WR,4,BAL,11.08,6.8,63.6,88.6,0.7,0,8.1,12.7,0,0,0,0,0,0,16.5,16.46
28,Antonio Brown,PIT,WR,6,CIN,11.08,6.8,63.6,88.3,0.7,0,8,12.6,0,0,0,0,0,0,16.4,16.43
29,Antonio Brown,PIT,WR,12,DEN,10.59,6.5,54.5,88.3,0.7,0,8,14.7,0,0,0,0,0,0,16.3,16.28
30,Julio Jones,ATL,WR,6,TB,9.64,6.7,70,104.5,0.4,0,10.4,14.9,0.1,0.6,0,0,0,0,16.3,16.26
31,DeAndre Hopkins,HOU,WR,1,NE,10.98,6.5,54.5,96,0.6,0,8.7,16,0,0,0,0,0.1,0.1,16.2,16.25
32,Julio Jones,ATL,WR,5,PIT,9.5,6.6,70,97.8,0.5,0,9.8,14,0.1,0.5,0,0,0,0,16.1,16.13
33,Davante Adams,GB,WR,11,SEA,8.37,6.3,75,81.3,0.8,0,10.1,13.5,0,0,0,0,0,0,16.1,16.08
34,Antonio Brown,PIT,WR,9,BAL,10.59,6.5,54.5,86.2,0.7,0,7.8,14.3,0,0,0,0,0,0,16.1,16.07
35,AJ Green,CIN,WR,7,KC,9,6.3,66.7,89,0.7,0,9.9,14.8,0,0,0,0,0.1,0.1,16,16.05
36,Julio Jones,ATL,WR,2,CAR,10.22,7.1,70,99.9,0.4,0,10,14.3,0.2,0.4,0,0,0,0,16,15.98
37,Antonio Brown,PIT,WR,16,NO,10.92,6.7,63.6,84.1,0.7,0,7.6,12,0,0,0,0,0,0,16,15.96
38,Tyreek Hill,KC,WR,16,SEA,7.89,5.6,75,90.5,0.6,0,11.2,15,1,4.3,4,0,0,0,15.9,15.88
