Rank,Name,Team,Position,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Alex Smith,KC,QB,1,TEN,23,34,67.6,270,7.9,3,0,120.96,4,24,6,0,25.2,25.2
2,Tom Brady,NE,QB,2,TEN,26,39,66.7,297,7.6,3,0,115.01,2,2,1,0,24.1,24.08
3,Tom Brady,NE,QB,3,JAX,26,39,66.7,279,7.2,3,1,102.4,1,1,1,0,22.3,22.26
4,Drew Brees,NO,QB,1,CAR,20.3,33.9,58.8,271,8,3,1,101.47,2,1,0.5,0,21.9,21.94
5,Nick Foles,PHI,QB,4,NE,22.4,37.4,59.5,299,8.1,2,0,103.32,1,1,1,0,20.1,20.06
6,Tyrod Taylor,BUF,QB,1,JAX,18,28,64.3,187,6.7,2,0,107.29,9.37,45,5,0,20,19.98
7,Cam Newton,CAR,QB,1,NO,18,31,58.1,206,6.6,2,1,86.22,9.79,47,4.7,0,19.9,19.94
8,Blake Bortles,JAX,QB,3,NE,19,29,65.5,227,7.8,2,1,97.92,7.5,36,4.5,0,19.7,19.68
9,Drew Brees,NO,QB,2,MIN,26,38,68.4,272,7.2,2,0,106.47,2,6,3,0,19.5,19.48
10,Case Keenum,MIN,QB,2,NO,22,34,64.7,240,7.1,2,0,105.02,2,12,6,0,18.8,18.8
10,Tom Brady,NE,QB,4,PHI,24,36,66.7,290,8.1,2,1,98.15,1,2,2,0,18.8,18.8
12,Blake Bortles,JAX,QB,1,BUF,20,33,60.6,230,7,2,1,89.2,4,20,5,0,18.2,18.2
12,Ben Roethlisberger,PIT,QB,2,JAX,24,39,61.5,265,6.8,2,1,88.09,2,6,3,0,18.2,18.2
14,Matt Ryan,ATL,QB,1,LAR,21,33,63.6,256,7.8,2,1,95.01,2,9,4.5,0,18.1,18.14
15,Matt Ryan,ATL,QB,2,PHI,23,36,63.9,263,7.3,2,1,92.71,2,5,2.5,0,18,18.02
16,Marcus Mariota,TEN,QB,1,KC,19,30,63.3,216,7.2,2,1,93.19,4,21,5.2,0,17.7,17.74
17,Case Keenum,MIN,QB,3,PHI,17.7,29.5,60,236,7.9,2,1,93.19,2,12,6,0,17.6,17.64
18,Jared Goff,LAR,QB,1,ATL,20,32,62.5,254,7.9,2,1,95.05,2,3,1.5,0,17.5,17.46
19,Nick Foles,PHI,QB,2,ATL,22,35,62.9,211,6,2,0,98.63,2,4,2,0,16.8,16.84
20,Nick Foles,PHI,QB,3,MIN,20,34,58.8,210,6.2,2,1,84.19,2,6,3,0,16,16
21,Blake Bortles,JAX,QB,2,PIT,20,33,60.6,217,6.6,1,1,77.46,5,28,5.6,0,14.5,14.48
22,Marcus Mariota,TEN,QB,2,NE,20,30,66.7,210,7,1,1,84.03,5.62,27,4.5,0,14.1,14.1
23,Matt Cassel,TEN,QB,1,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
