Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FanDuelSalary,FantasyPointsFanDuel
1,Devonta Freeman,ATL,RB,17,NO,32,30,8800,20.9
2,Le'Veon Bell,PIT,RB,5,LAC,17,32,9000,20.8
3,Devonta Freeman,ATL,RB,11,IND,25,22,9100,20.7
4,Le'Veon Bell,PIT,RB,8,CIN,13,19,8900,20.5
5,Devonta Freeman,ATL,RB,9,SF,26,29,8900,20.4
6,Devonta Freeman,ATL,RB,7,TEN,10,8,8700,19.9
6,Le'Veon Bell,PIT,RB,7,KC,29,13,8900,19.9
8,Devonta Freeman,ATL,RB,6,NO,31,24,8000,19.6
9,Le'Veon Bell,PIT,RB,6,ARI,7,7,9000,19.3
9,Jamaal Charles,KC,RB,5,CHI,17,11,9100,19.3
11,Eddie Lacy,GB,RB,1,CHI,null,null,8500,19.1
11,Devonta Freeman,ATL,RB,8,TB,22,11,9100,19.1
11,Matt Forte,CHI,RB,8,MIN,7,5,8200,19.1
14,Todd Gurley,LAR,RB,9,MIN,7,5,9000,19
15,Arian Foster,HOU,RB,6,JAX,26,28,8500,18.9
16,Adrian Peterson,MIN,RB,3,LAC,14,25,8900,18.8
16,DeAngelo Williams,PIT,RB,10,CLE,27,28,7600,18.8
16,Matt Forte,CHI,RB,6,DET,27,24,8400,18.8
19,Adrian Peterson,MIN,RB,11,GB,18,12,8900,18.6
19,Todd Gurley,LAR,RB,10,CHI,15,14,9200,18.6
21,Adrian Peterson,MIN,RB,15,CHI,15,17,8600,18.5
21,Todd Gurley,LAR,RB,8,SF,29,26,8100,18.5
21,Justin Forsett,BAL,RB,8,LAC,19,31,6900,18.5
24,LeSean McCoy,BUF,RB,15,WAS,17,15,7900,18.4
24,Arian Foster,HOU,RB,7,MIA,17,21,8600,18.4
24,Devonta Freeman,ATL,RB,13,TB,18,8,9000,18.4
24,Devonta Freeman,ATL,RB,14,CAR,3,12,8700,18.4
28,LeSean McCoy,BUF,RB,14,PHI,26,19,7900,18.3
28,DeAngelo Williams,PIT,RB,17,CLE,27,22,8200,18.3
30,Charcandrick West,KC,RB,11,LAC,23,32,7100,18.1
30,DeMarco Murray,PHI,RB,12,DET,27,25,7700,18.1
