Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FanDuelSalary,FantasyPointsFanDuel
1,Le'Veon Bell,PIT,RB,2,KC,11,20,9900,24.2
2,Le'Veon Bell,PIT,RB,3,NE,2,3,9500,23.5
3,Le'Veon Bell,PIT,RB,1,MIA,27,17,10300,22.4
4,Ezekiel Elliott,DAL,RB,2,GB,23,7,8500,19.6
5,LeGarrette Blount,NE,RB,4,ATL,29,25,7100,16
6,Devonta Freeman,ATL,RB,3,GB,23,7,8000,15.9
7,Devonta Freeman,ATL,RB,4,NE,2,3,8300,15.8
8,LeGarrette Blount,NE,RB,3,PIT,9,26,6500,14.6
9,LeGarrette Blount,NE,RB,2,HOU,3,15,7300,14
10,Devonta Freeman,ATL,RB,2,SEA,4,5,7600,13.1
11,Ty Montgomery,GB,RB,3,ATL,29,25,6900,11.3
12,Ty Montgomery,GB,RB,1,NYG,5,6,6800,11.1
13,Ty Montgomery,GB,RB,2,DAL,14,1,6000,10.6
14,Tevin Coleman,ATL,RB,3,GB,23,7,6300,9.6
15,Tevin Coleman,ATL,RB,2,SEA,4,5,5900,9.2
16,Lamar Miller,HOU,RB,1,OAK,22,23,7100,9.1
16,Jay Ajayi,MIA,RB,1,PIT,9,26,8300,9.1
18,Thomas Rawls,SEA,RB,2,ATL,29,25,7500,8.9
19,Lamar Miller,HOU,RB,2,NE,2,3,7000,8.7
20,Latavius Murray,OAK,RB,1,HOU,3,15,6700,8.5
21,Thomas Rawls,SEA,RB,1,DET,25,9,7100,8.4
22,Spencer Ware,KC,RB,2,PIT,9,26,6900,8.2
22,Tevin Coleman,ATL,RB,4,NE,2,3,6800,8.2
24,Dion Lewis,NE,RB,3,PIT,9,26,7000,8.1
25,Dion Lewis,NE,RB,4,ATL,29,25,7000,7.8
26,Paul Perkins,NYG,RB,1,GB,23,7,5900,6.8
27,Zach Zenner,DET,RB,1,SEA,4,5,6200,6.7
28,Rashad Jennings,NYG,RB,1,GB,23,7,5400,6.5
29,Dion Lewis,NE,RB,2,HOU,3,15,5400,5.8
30,Christine Michael,GB,RB,2,DAL,14,1,5300,5.3
31,James White,NE,RB,2,HOU,3,15,4500,5
32,Alex Collins,SEA,RB,1,DET,25,9,5800,4.9
33,Charcandrick West,KC,RB,2,PIT,9,26,5200,4.6
33,James White,NE,RB,3,PIT,9,26,4500,4.6
35,CJ Prosise,SEA,RB,2,ATL,29,25,4500,4.5
36,Jalen Richard,OAK,RB,1,HOU,3,15,5200,4.4
37,Christine Michael,GB,RB,1,NYG,5,6,4900,4.1
38,Alfred Blue,HOU,RB,1,OAK,22,23,6000,3.5
39,Aaron Ripkowski,GB,FB,3,ATL,29,25,4900,3.3
40,Christine Michael,GB,RB,3,ATL,29,25,5300,3.2
40,James White,NE,RB,4,ATL,29,25,5300,3.2
42,Aaron Ripkowski,GB,FB,1,NYG,5,6,4700,3.1
43,Damien Williams,MIA,RB,1,PIT,9,26,4900,2.9
44,Dwayne Washington,DET,RB,1,SEA,4,5,4900,2.8
45,Deandre Washington,OAK,RB,1,HOU,3,15,4500,2.6
46,DeAngelo Williams,PIT,RB,2,KC,11,20,4500,2.4
46,Aaron Ripkowski,GB,FB,2,DAL,14,1,4700,2.4
46,Darren McFadden,DAL,RB,2,GB,23,7,4700,2.4
49,Kenyan Drake,MIA,RB,1,PIT,9,26,5100,2.2
50,DeAngelo Williams,PIT,RB,3,NE,2,3,4500,2
51,Jonathan Grimes,HOU,RB,1,OAK,22,23,4500,1.9
51,Marcel Reece,SEA,FB,1,DET,25,9,4500,1.9
51,Lance Dunbar,DAL,RB,2,GB,23,7,4500,1.9
54,DeAngelo Williams,PIT,RB,1,MIA,27,17,4500,1.7
54,Marcel Reece,SEA,FB,2,ATL,29,25,4500,1.7
54,Jonathan Grimes,HOU,RB,2,NE,2,3,4500,1.7
54,Alfred Morris,DAL,RB,2,GB,23,7,4600,1.7
58,James Starks,GB,RB,1,NYG,5,6,4500,1.6
58,Alex Collins,SEA,RB,2,ATL,29,25,5500,1.6
60,Jamize Olawale,OAK,FB,1,HOU,3,15,4500,1.5
61,Bobby Rainey,NYG,RB,1,GB,23,7,4500,1.4
62,Terron Ward,ATL,RB,3,GB,23,7,4500,1.2
63,Terron Ward,ATL,RB,2,SEA,4,5,4500,1.1
63,Fitzgerald Toussaint,PIT,RB,3,NE,2,3,4500,1.1
63,Terron Ward,ATL,RB,4,NE,2,3,4100,1.1
66,Akeem Hunt,HOU,RB,1,OAK,22,23,4500,0.9
66,James Starks,GB,RB,3,ATL,29,25,4500,0.9
68,Patrick DiMarco,ATL,FB,3,GB,23,7,4500,0.8
68,Patrick DiMarco,ATL,FB,4,NE,2,3,4000,0.8
70,David Johnson,PIT,RB,3,NE,2,6,4500,0.7
71,Fitzgerald Toussaint,PIT,RB,1,MIA,27,17,4500,0.5
72,Joique Bell,DET,RB,1,SEA,4,5,4600,0.4
73,Fitzgerald Toussaint,PIT,RB,2,KC,11,20,4500,0.3
74,Akeem Hunt,HOU,RB,2,NE,2,3,4500,0.2
75,Patrick DiMarco,ATL,FB,2,SEA,4,5,4500,0.1
75,Jay Prosch,HOU,FB,2,NE,2,3,4500,0.1
75,James Develin,NE,RB,2,HOU,3,15,4500,0.1
75,Brandon Bolden,NE,RB,2,HOU,3,15,4500,0.1
75,Anthony Sherman,KC,FB,2,PIT,9,26,4500,0.1
75,Knile Davis,KC,RB,2,PIT,9,26,4500,0.1
75,Roosevelt Nix,PIT,RB,2,KC,11,20,4500,0.1
75,Keith Smith,DAL,FB,2,GB,23,7,4500,0.1
75,Brandon Bolden,NE,RB,3,PIT,9,26,4500,0.1
75,Brandon Bolden,NE,RB,4,ATL,29,25,4000,0.1
85,Taiwan Jones,OAK,RB,1,HOU,3,15,4500,0
85,Jay Prosch,HOU,FB,1,OAK,22,23,4500,0
85,Kenny Hilliard,HOU,RB,1,OAK,22,23,null,0
85,Tyler Ervin,HOU,RB,1,OAK,22,23,4500,0
85,Troymaine Pope,SEA,RB,1,DET,25,9,4500,0
85,Tre Madden,SEA,RB,1,DET,25,9,4500,0
85,JD McKissic,SEA,RB,1,DET,25,24,4500,0
85,Kelvin Taylor,SEA,RB,1,DET,25,9,null,0
85,CJ Prosise,SEA,RB,1,DET,25,9,4500,0
85,Brandon Cottom,SEA,RB,1,DET,25,9,4500,0
85,Michael Burton,DET,FB,1,SEA,4,5,4500,0
85,Terrence Magee,SEA,RB,1,DET,25,9,null,0
85,Malcolm Johnson,SEA,FB,1,DET,25,9,4500,0
85,Ameer Abdullah,DET,RB,1,SEA,4,5,4500,0
85,Theo Riddick,DET,RB,1,SEA,4,5,4500,0
85,Mike James,DET,RB,1,SEA,4,5,4500,0
85,Will Tukuafu,SEA,FB,1,DET,25,9,4500,0
85,David Johnson,PIT,RB,1,MIA,27,25,4500,0
