Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FanDuelSalary,FantasyPointsFanDuel
1,Todd Gurley,LAR,RB,11,KC,28,32,10600,23.91
2,Todd Gurley,LAR,RB,7,SF,29,22,10200,23.5
3,Todd Gurley,LAR,RB,8,GB,9,15,11000,23.27
4,Todd Gurley,LAR,RB,10,SEA,6,12,10800,22.34
5,Todd Gurley,LAR,RB,9,NO,27,5,11200,22.03
6,Todd Gurley,LAR,RB,15,PHI,26,14,9800,21.81
7,Alvin Kamara,NO,RB,4,NYG,12,8,9100,21.16
8,Ezekiel Elliott,DAL,RB,16,TB,30,29,8800,20.99
9,Todd Gurley,LAR,RB,3,LAC,21,24,9300,20.8
10,Alvin Kamara,NO,RB,2,CLE,18,28,9000,20.77
11,Saquon Barkley,NYG,RB,11,TB,31,24,8800,20.73
12,Alvin Kamara,NO,RB,12,ATL,30,29,8900,20.69
13,Todd Gurley,LAR,RB,5,SEA,7,11,9100,20.61
14,Todd Gurley,LAR,RB,13,DET,21,24,9800,20.54
15,Todd Gurley,LAR,RB,1,OAK,25,17,9200,20.49
16,Saquon Barkley,NYG,RB,7,ATL,31,28,8200,20.47
17,Todd Gurley,LAR,RB,6,DEN,26,25,9500,20.43
18,Melvin Gordon,LAC,RB,10,OAK,30,29,8900,20.42
19,Todd Gurley,LAR,RB,2,ARI,23,32,8900,20.31
20,Christian McCaffrey,CAR,RB,16,ATL,27,27,9300,20.26
21,Ezekiel Elliott,DAL,RB,15,IND,10,13,8800,20.16
22,Christian McCaffrey,CAR,RB,13,TB,31,25,8800,20.13
23,Alvin Kamara,NO,RB,11,PHI,12,5,8900,20.08
24,Alvin Kamara,NO,RB,10,CIN,31,25,8800,19.79
25,Todd Gurley,LAR,RB,14,CHI,4,2,9800,19.75
26,Alvin Kamara,NO,RB,1,TB,27,28,8700,19.72
26,Saquon Barkley,NYG,RB,12,PHI,25,10,9000,19.72
28,Ezekiel Elliott,DAL,RB,14,PHI,18,14,8800,19.67
29,Alvin Kamara,NO,RB,5,WAS,1,13,9100,19.65
30,Saquon Barkley,NYG,RB,15,TEN,7,5,9400,19.59
31,David Johnson,ARI,RB,1,WAS,23,30,8600,19.52
32,Kareem Hunt,KC,RB,10,ARI,12,31,9000,19.23
32,Christian McCaffrey,CAR,RB,14,CLE,27,26,9100,19.23
34,Saquon Barkley,NYG,RB,10,SF,23,19,8600,19.22
35,Melvin Gordon,LAC,RB,5,OAK,25,26,8700,19.17
36,Melvin Gordon,LAC,RB,11,DEN,19,22,8700,19.16
37,Saquon Barkley,NYG,RB,13,CHI,2,2,8600,19.12
38,Todd Gurley,LAR,RB,4,MIN,14,7,9100,19.1
39,Ezekiel Elliott,DAL,RB,11,ATL,30,28,8400,19.07
39,Christian McCaffrey,CAR,RB,15,NO,17,2,9100,19.07
39,Alvin Kamara,NO,RB,3,ATL,14,25,8700,19.07
42,Kareem Hunt,KC,RB,11,LAR,17,16,8800,19.04
43,Alvin Kamara,NO,RB,14,TB,31,28,8300,19.02
44,Saquon Barkley,NYG,RB,17,DAL,7,6,8500,18.9
45,Christian McCaffrey,CAR,RB,11,DET,25,25,8600,18.86
46,Saquon Barkley,NYG,RB,8,WAS,7,7,8900,18.8
47,Ezekiel Elliott,DAL,RB,12,WAS,10,10,8700,18.79
48,Saquon Barkley,NYG,RB,14,WAS,12,12,8900,18.74
49,James Conner,PIT,RB,10,CAR,16,7,8200,18.71
49,Saquon Barkley,NYG,RB,16,IND,9,11,9000,18.71
51,Alvin Kamara,NO,RB,9,LAR,7,9,8000,18.57
52,David Johnson,ARI,RB,11,OAK,29,29,7900,18.56
53,Ezekiel Elliott,DAL,RB,4,DET,16,30,8200,18.51
54,James Conner,PIT,RB,12,DEN,18,22,7900,18.39
55,Ezekiel Elliott,DAL,RB,2,NYG,4,21,8100,18.33
56,Kareem Hunt,KC,RB,9,CLE,23,27,8500,18.25
57,Alvin Kamara,NO,RB,13,DAL,6,6,8600,18.23
58,James Conner,PIT,RB,8,CLE,21,24,8000,18.12
59,Christian McCaffrey,CAR,RB,5,NYG,12,22,8100,18.09
60,Ezekiel Elliott,DAL,RB,13,NO,16,2,8900,17.86
61,Melvin Gordon,LAC,RB,12,ARI,13,30,8900,17.82
62,Kareem Hunt,KC,RB,8,DEN,18,25,8100,17.8
63,Melvin Gordon,LAC,RB,6,CLE,14,21,8800,17.67
64,Christian McCaffrey,CAR,RB,12,SEA,10,13,8400,17.66
65,Ezekiel Elliott,DAL,RB,7,WAS,7,11,8400,17.42
66,Melvin Gordon,LAC,RB,2,BUF,29,26,8200,17.41
