Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,AJ Green,CIN,WR,3,BAL,13,10,76.9,227,2,80,17.5,22.7,0,0,0,0,0,0,39.7,39.7
2,Antonio Brown,PIT,WR,15,DEN,18,16,88.9,189,2,23,10.5,11.8,0,0,0,0,0,0,38.9,38.9
3,Allen Robinson,JAX,WR,13,TEN,15,10,66.7,153,3,44,10.2,15.3,0,0,0,0,0,0,38.3,38.3
4,Steve Smith,BAL,WR,3,CIN,17,13,76.5,186,2,50,10.9,14.3,0,0,0,0,0,0,37.1,37.1
4,Antonio Brown,PIT,WR,9,OAK,23,17,73.9,284,0,59,12.3,16.7,2,22,11,0,1,1,37.1,37.1
6,Doug Baldwin,SEA,WR,12,PIT,8,6,75,145,3,80,18.1,24.2,0,0,0,0,0,0,35.5,35.5
7,Odell Beckham Jr,NYG,WR,8,NO,9,8,88.9,130,3,50,14.4,16.2,0,0,0,0,0,0,35,35
8,Julio Jones,ATL,WR,3,DAL,20,12,60,164,2,45,8.2,13.7,0,0,0,0,0,0,34.4,34.4
9,Antonio Brown,PIT,WR,13,IND,11,8,72.7,118,2,48,10.7,14.8,0,0,0,0,0,0,33.8,33.8
10,Larry Fitzgerald,ARI,WR,2,CHI,9,8,88.9,112,3,28,12.4,14,0,0,0,0,0,0,33.2,33.2
11,Antonio Brown,PIT,WR,10,CLE,14,10,71.4,139,2,56,9.9,13.9,0,0,0,0,0,0,32.9,32.9
12,Odell Beckham Jr,NYG,WR,14,MIA,9,7,77.8,166,2,84,18.4,23.7,0,0,0,0,0,0,32.1,32.1
13,Antonio Brown,PIT,WR,2,SF,11,9,81.8,195,1,59,17.7,21.7,0,0,0,0,0,0,32,32
14,Randall Cobb,GB,WR,3,KC,12,7,58.3,91,3,29,7.6,13,1,12,12,0,0,0,31.8,31.8
14,DeAndre Hopkins,HOU,WR,6,JAX,15,10,66.7,148,2,29,9.9,14.8,0,0,0,0,0,0,31.8,31.8
16,Emmanuel Sanders,DEN,WR,15,PIT,16,10,62.5,181,1,61,11.3,18.1,1,24,24,0,0,0,31.5,31.5
17,Calvin Johnson,DET,WR,12,PHI,14,8,57.1,93,3,25,6.6,11.6,0,0,0,0,0,0,31.3,31.3
17,Keenan Allen,LAC,WR,3,MIN,18,12,66.7,133,2,34,7.4,11.1,0,0,0,0,0,0,31.3,31.3
19,Travis Benjamin,CLE,WR,2,TEN,4,3,75,115,2,60,28.8,38.3,0,0,0,0,0,0,31,31
20,Sammy Watkins,BUF,WR,12,KC,10,6,60,158,2,48,15.8,26.3,0,0,0,0,0,0,30.8,30.8
21,Julio Jones,ATL,WR,1,PHI,11,9,81.8,141,2,44,12.8,15.7,0,0,0,0,0,0,30.6,30.6
21,Markus Wheaton,PIT,WR,12,SEA,13,9,69.2,201,1,69,15.5,22.3,0,0,0,0,0,0,30.6,30.6
23,Allen Robinson,JAX,WR,2,MIA,12,6,50,155,2,52,12.9,25.8,0,0,0,0,0,0,30.5,30.5
24,Larry Fitzgerald,ARI,WR,3,SF,11,9,81.8,134,2,23,12.2,14.9,0,0,0,0,0,0,29.9,29.9
25,Brandon Marshall,NYJ,WR,12,MIA,11,9,81.8,131,2,47,11.9,14.6,0,0,0,0,0,0,29.6,29.6
26,Martavis Bryant,PIT,WR,6,ARI,8,6,75,137,2,88,17.1,22.8,1,8,8,0,0,0,29.5,29.5
27,Jarvis Landry,MIA,WR,12,NYJ,16,13,81.2,165,1,40,10.3,12.7,1,4,4,0,0,0,29.4,29.4
28,Doug Baldwin,SEA,WR,14,BAL,9,6,66.7,82,3,22,9.1,13.7,0,0,0,0,0,0,29.2,29.2
28,Nate Washington,HOU,WR,7,MIA,16,9,56.2,127,2,27,7.9,14.1,0,0,0,0,0,0,29.2,29.2
28,Antonio Brown,PIT,WR,17,CLE,17,13,76.5,187,1,27,11,14.4,0,0,0,0,1,1,29.2,29.2
31,T.Y. Hilton,IND,WR,7,NO,15,4,26.7,150,2,87,10,37.5,0,0,0,0,0,0,29,29
32,Julian Edelman,NE,WR,2,BUF,19,11,57.9,97,2,22,5.1,8.8,1,12,12,0,0,0,28.4,28.4
33,DeAndre Hopkins,HOU,WR,1,KC,13,9,69.2,98,2,17,7.5,10.9,0,0,0,0,0,0,28.3,28.3
33,Julio Jones,ATL,WR,16,CAR,11,9,81.8,178,1,70,16.2,19.8,0,0,0,0,0,0,28.3,28.3
35,Cole Beasley,DAL,WR,9,PHI,11,9,81.8,112,2,30,10.2,12.4,0,0,0,0,0,0,27.7,27.7
36,Brandon Marshall,NYJ,WR,16,NE,10,8,80,115,2,33,11.5,14.4,0,0,0,0,0,0,27.5,27.5
37,Amari Cooper,OAK,WR,15,GB,9,6,66.7,120,2,41,13.3,20,0,0,0,0,0,0,27,27
38,Michael Floyd,ARI,WR,10,SEA,9,7,77.8,113,2,35,12.6,16.1,0,0,0,0,0,0,26.8,26.8
38,Sammy Watkins,BUF,WR,9,MIA,8,8,100,168,1,63,21,21,0,0,0,0,0,0,26.8,26.8
40,Allen Hurns,JAX,WR,16,NO,10,8,80,107,2,24,10.7,13.4,0,0,0,0,0,0,26.7,26.7
41,Tavon Austin,LAR,WR,4,ARI,7,6,85.7,96,2,47,13.7,16,2,20,10,0,0,0,26.6,26.6
42,Jeremy Maclin,KC,WR,12,BUF,11,9,81.8,160,1,41,14.5,17.8,0,0,0,0,0,0,26.5,26.5
43,Mike Evans,TB,WR,7,WAS,12,8,66.7,164,1,40,13.7,20.5,0,0,0,0,0,0,26.4,26.4
44,DeAndre Hopkins,HOU,WR,11,NYJ,12,5,41.7,118,2,61,9.8,23.6,0,0,0,0,0,0,26.3,26.3
44,Rishard Matthews,MIA,WR,3,BUF,10,6,60,113,2,46,11.3,18.8,0,0,0,0,0,0,26.3,26.3
44,Seth Roberts,OAK,WR,12,TEN,7,6,85.7,113,2,38,16.1,18.8,0,0,0,0,0,0,26.3,26.3
44,Michael Crabtree,OAK,WR,9,PIT,12,7,58.3,108,2,38,9,15.4,0,0,0,0,0,0,26.3,26.3
48,Julio Jones,ATL,WR,8,TB,13,12,92.3,162,1,35,12.5,13.5,0,0,0,0,1,1,26.2,26.2
49,Jordan Matthews,PHI,WR,15,ARI,11,8,72.7,159,1,78,14.5,19.9,0,0,0,0,0,0,25.9,25.9
50,Vincent Jackson,TB,WR,4,CAR,15,10,66.7,147,1,23,9.8,14.7,0,0,0,0,0,0,25.7,25.7
51,Sammy Watkins,BUF,WR,15,WAS,10,5,50,111,2,48,11.1,22.2,0,0,0,0,0,0,25.6,25.6
51,Calvin Johnson,DET,WR,6,CHI,9,6,66.7,166,1,57,18.4,27.7,0,0,0,0,0,0,25.6,25.6
53,Ted Ginn,CAR,WR,14,ATL,3,2,66.7,120,2,74,40,60,1,5,5,0,0,0,25.5,25.5
54,Brandin Cooks,NO,WR,10,WAS,8,5,62.5,98,2,60,12.2,19.6,1,11,11,0,0,0,25.4,25.4
54,Tyler Lockett,SEA,WR,14,BAL,7,6,85.7,104,2,49,14.9,17.3,0,0,0,0,0,0,25.4,25.4
56,Brandon Marshall,NYJ,WR,13,NYG,13,12,92.3,131,1,25,10.1,10.9,0,0,0,0,0,0,25.1,25.1
57,Martavis Bryant,PIT,WR,10,CLE,10,6,60,178,1,64,17.8,29.7,0,0,0,0,1,1,24.8,24.8
58,Emmanuel Sanders,DEN,WR,2,KC,14,8,57.1,87,2,19,6.2,10.9,1,0,0,0,0,0,24.7,24.7
