Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Antonio Brown,PIT,WR,2,JAX,11,7,63.6,132,2,43,12,18.9,0,0,0,0,0,0,28.7,28.7
2,Danny Amendola,NE,WR,3,JAX,9,7,77.8,84,2,21,9.3,12,1,3,3,0,0,0,25,25
3,Michael Thomas,NO,WR,2,MIN,13,7,53.8,85,2,23,6.5,12.1,0,0,0,0,0,0,24,24
4,Alshon Jeffery,PHI,WR,3,MIN,5,5,100,85,2,53,17,17,0,0,0,0,0,0,23,23
5,Stefon Diggs,MIN,WR,2,NO,10,6,60,137,1,61,13.7,22.8,0,0,0,0,0,0,22.7,22.7
6,Chris Hogan,NE,WR,4,PHI,8,6,75,128,1,43,16,21.3,1,4,4,0,0,0,22.2,22.2
7,Julio Jones,ATL,WR,1,LAR,10,9,90,94,1,27,9.4,10.4,1,13,13,0,0,0,21.2,21.2
8,Corey Davis,TEN,WR,2,NE,8,5,62.5,63,2,17,7.9,12.6,0,0,0,0,0,0,20.8,20.8
9,Ted Ginn,NO,WR,1,CAR,6,4,66.7,115,1,80,19.2,28.8,0,0,0,0,0,0,19.5,19.5
10,Danny Amendola,NE,WR,4,PHI,11,8,72.7,152,0,50,13.8,19,0,0,0,0,0,0,19.2,19.2
11,Robert Woods,LAR,WR,1,ATL,14,9,64.3,142,0,38,10.1,15.8,0,0,0,0,0,0,18.7,18.7
12,Michael Thomas,NO,WR,1,CAR,9,8,88.9,131,0,46,14.6,16.4,0,0,0,0,0,0,17.1,17.1
13,Cooper Kupp,LAR,WR,1,ATL,13,8,61.5,69,1,15,5.3,8.6,0,0,0,0,0,0,16.9,16.9
14,Danny Amendola,NE,WR,2,TEN,13,11,84.6,112,0,25,8.6,10.2,0,0,0,0,0,0,16.7,16.7
15,Torrey Smith,PHI,WR,3,MIN,8,5,62.5,69,1,41,8.6,13.8,0,0,0,0,0,0,15.4,15.4
16,Martavis Bryant,PIT,WR,2,JAX,4,2,50,78,1,42,19.5,39,0,0,0,0,0,0,14.8,14.8
16,Alshon Jeffery,PHI,WR,4,NE,8,3,37.5,73,1,34,9.1,24.3,0,0,0,0,0,0,14.8,14.8
18,Julio Jones,ATL,WR,2,PHI,16,9,56.2,101,0,21,6.3,11.2,0,0,0,0,0,0,14.6,14.6
19,Nelson Agholor,PHI,WR,4,NE,11,9,81.8,84,0,24,7.6,9.3,1,9,9,0,0,0,13.8,13.8
20,Demarcus Robinson,KC,WR,1,TEN,4,4,100,57,1,15,14.2,14.2,0,0,0,0,0,0,13.7,13.7
21,Tyreek Hill,KC,WR,1,TEN,11,7,63.6,87,0,45,7.9,12.4,1,14,14,0,0,0,13.6,13.6
22,Brandin Cooks,NE,WR,3,JAX,8,6,75,100,0,31,12.5,16.7,0,0,0,0,0,0,13,13
23,Ted Ginn,NO,WR,2,MIN,11,8,72.7,72,0,15,6.5,9,1,11,11,0,0,0,12.3,12.3
24,Eric Decker,TEN,WR,2,NE,7,6,85.7,85,0,22,12.1,14.2,0,0,0,0,0,0,11.5,11.5
25,Allen Hurns,JAX,WR,3,NE,7,6,85.7,80,0,27,11.4,13.3,0,0,0,0,0,0,11,11
25,Stefon Diggs,MIN,WR,3,PHI,12,8,66.7,70,0,22,5.8,8.8,0,0,0,0,0,0,11,11
27,Adam Thielen,MIN,WR,2,NO,9,6,66.7,74,0,24,8.2,12.3,0,0,0,0,0,0,10.4,10.4
28,Devin Funchess,CAR,WR,1,NO,8,4,50,79,0,24,9.9,19.8,0,0,0,0,0,0,9.9,9.9
29,Mohamed Sanu,ATL,WR,1,LAR,8,4,50,75,0,52,9.4,18.8,0,0,0,0,0,0,9.5,9.5
30,Eric Decker,TEN,WR,1,KC,5,2,40,21,1,22,4.2,10.5,0,0,0,0,0,0,9.1,9.1
31,Alshon Jeffery,PHI,WR,2,ATL,5,4,80,61,0,21,12.2,15.2,0,0,0,0,0,0,8.1,8.1
32,JuJu Smith-Schuster,PIT,WR,2,JAX,5,3,60,5,1,4,1,1.7,0,0,0,0,0,0,8,8
33,Nelson Agholor,PHI,WR,3,MIN,4,3,75,59,0,42,14.8,19.7,1,0,0,0,0,0,7.4,7.4
33,Torrey Smith,PHI,WR,4,NE,9,5,55.6,49,0,17,5.4,9.8,0,0,0,0,0,0,7.4,7.4
35,Dede Westbrook,JAX,WR,1,BUF,8,5,62.5,48,0,20,6,9.6,0,0,0,0,0,0,7.3,7.3
36,Jarius Wright,MIN,WR,2,NO,6,3,50,56,0,27,9.3,18.7,0,0,0,0,0,0,7.1,7.1
37,Jarius Wright,MIN,WR,3,PHI,6,3,50,51,0,33,8.5,17,1,4,4,0,0,0,7,7
38,Chris Hogan,NE,WR,2,TEN,4,1,25,4,1,4,1,4,0,0,0,0,0,0,6.9,6.9
39,Eli Rogers,PIT,WR,2,JAX,5,5,100,42,0,13,8.4,8.4,0,0,0,0,0,0,6.7,6.7
40,Mohamed Sanu,ATL,WR,2,PHI,5,3,60,50,0,24,10,16.7,0,0,0,0,0,0,6.5,6.5
41,Brandon Coleman,NO,WR,1,CAR,5,4,80,44,0,18,8.8,11,0,0,0,0,1,0,6.4,6.4
42,Marqise Lee,JAX,WR,3,NE,8,4,50,41,0,18,5.1,10.2,0,0,0,0,0,0,6.1,6.1
43,Nelson Agholor,PHI,WR,2,ATL,3,3,100,24,0,10,8,8,2,20,10,0,0,0,5.9,5.9
44,Corey Davis,TEN,WR,1,KC,7,4,57.1,35,0,13,5,8.8,0,0,0,0,0,0,5.5,5.5
45,Torrey Smith,PHI,WR,2,ATL,4,3,75,39,0,20,9.8,13,0,0,0,0,0,0,5.4,5.4
46,Keelan Cole,JAX,WR,2,PIT,2,1,50,45,0,45,22.5,45,0,0,0,0,0,0,5,5
47,Keelan Cole,JAX,WR,3,NE,3,2,66.7,37,0,26,12.3,18.5,0,0,0,0,0,0,4.7,4.7
47,Kaelin Clay,CAR,WR,1,NO,4,3,75,32,0,21,8,10.7,0,0,0,0,0,0,4.7,4.7
47,Brandin Cooks,NE,WR,2,TEN,9,3,33.3,32,0,13,3.6,10.7,0,0,0,0,0,0,4.7,4.7
50,Marqise Lee,JAX,WR,2,PIT,6,3,50,28,0,13,4.7,9.3,0,0,0,0,0,0,4.3,4.3
50,Adam Thielen,MIN,WR,3,PHI,9,3,33.3,28,0,12,3.1,9.3,0,0,0,0,0,0,4.3,4.3
52,Deonte Thompson,BUF,WR,1,JAX,6,2,33.3,23,0,14,3.8,11.5,1,9,9,0,0,0,4.2,4.2
52,Rishard Matthews,TEN,WR,2,NE,8,3,37.5,27,0,12,3.4,9,0,0,0,0,0,0,4.2,4.2
54,Brenton Bersin,CAR,WR,1,NO,2,2,100,27,0,19,13.5,13.5,0,0,0,0,0,0,3.7,3.7
55,Phillip Dorsett,NE,WR,3,JAX,1,1,100,31,0,31,31,31,0,0,0,0,0,0,3.6,3.6
55,Albert Wilson,KC,WR,1,TEN,4,2,50,26,0,18,6.5,13,0,0,0,0,0,0,3.6,3.6
57,Dede Westbrook,JAX,WR,3,NE,3,1,33.3,29,0,29,9.7,29,0,0,0,0,0,0,3.4,3.4
58,Zay Jones,BUF,WR,1,JAX,4,2,50,20,0,15,5,10,0,0,0,0,0,0,3,3
58,Chris Hogan,NE,WR,3,JAX,4,2,50,20,0,17,5,10,0,0,0,0,0,0,3,3
60,Brandin Cooks,NE,WR,4,PHI,2,1,50,23,0,23,11.5,23,1,1,1,0,0,0,2.9,2.9
61,Sammy Watkins,LAR,WR,1,ATL,4,1,25,23,0,23,5.8,23,0,0,0,0,0,0,2.8,2.8
61,Willie Snead,NO,WR,2,MIN,3,2,66.7,18,0,13,6,9,0,0,0,0,0,0,2.8,2.8
63,Phillip Dorsett,NE,WR,4,PHI,2,1,50,19,0,19,9.5,19,0,0,0,0,0,0,2.4,2.4
64,Rishard Matthews,TEN,WR,1,KC,2,1,50,15,0,15,7.5,15,0,0,0,0,0,0,2,2
65,Allen Hurns,JAX,WR,2,PIT,2,1,50,12,0,12,6,12,0,0,0,0,0,0,1.7,1.7
66,Kelvin Benjamin,BUF,WR,1,JAX,2,1,50,9,0,9,4.5,9,0,0,0,0,0,0,1.4,1.4
66,Mack Hollins,PHI,WR,2,ATL,1,1,100,9,0,9,9,9,0,0,0,0,0,0,1.4,1.4
66,Taylor Gabriel,ATL,WR,2,PHI,3,2,66.7,4,0,7,1.3,2,0,0,0,0,0,0,1.4,1.4
69,Dede Westbrook,JAX,WR,2,PIT,3,1,33.3,8,0,8,2.7,8,0,0,0,0,0,0,1.3,1.3
70,Willie Snead,NO,WR,1,CAR,1,1,100,7,0,7,7,7,0,0,0,0,0,0,1.2,1.2
71,Taywan Taylor,TEN,WR,2,NE,3,1,33.3,5,0,5,1.7,5,0,0,0,0,0,0,1,1
