Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Julio Jones,ATL,WR,12,TB,15,12,80,253,2,51,16.9,21.1,1,15,15,0,0,0,44.8,44.8
2,Amari Cooper,OAK,WR,7,KC,19,11,57.9,210,2,45,11.1,19.1,0,0,0,0,0,0,38.5,38.5
3,Antonio Brown,PIT,WR,11,TEN,13,10,76.9,144,3,41,11.1,14.4,0,0,0,0,1,0,37.4,37.4
4,Antonio Brown,PIT,WR,12,GB,12,10,83.3,169,2,39,14.1,16.9,0,0,0,0,0,0,35.9,35.9
5,Keenan Allen,LAC,WR,11,BUF,13,12,92.3,159,2,29,12.2,13.2,1,3,3,0,0,0,34.2,34.2
6,Tyreek Hill,KC,WR,13,NYJ,9,6,66.7,185,2,79,20.6,30.8,0,0,0,0,0,0,33.5,33.5
7,Stefon Diggs,MIN,WR,3,TB,11,8,72.7,173,2,59,15.7,21.6,0,0,0,0,0,0,33.3,33.3
8,Robert Woods,LAR,WR,10,HOU,10,8,80,171,2,94,17.1,21.4,0,0,0,0,0,0,33.1,33.1
9,DeAndre Hopkins,HOU,WR,8,SEA,11,8,72.7,224,1,72,20.4,28,0,0,0,0,0,0,32.4,32.4
10,T.Y. Hilton,IND,WR,9,HOU,9,5,55.6,175,2,80,19.4,35,0,0,0,0,0,0,32,32
11,JuJu Smith-Schuster,PIT,WR,17,CLE,10,9,90,143,1,46,14.3,15.9,0,0,0,0,0,0,30.8,30.8
12,DeAndre Hopkins,HOU,WR,14,SF,16,11,68.8,149,2,29,9.3,13.5,0,0,0,0,1,1,30.4,30.4
13,Keenan Allen,LAC,WR,17,OAK,12,9,75,133,1,28,11.1,14.8,0,0,0,1,0,0,29.8,29.8
14,Brandin Cooks,NE,WR,3,HOU,7,5,71.4,131,2,44,18.7,26.2,0,0,0,0,0,0,29.6,29.6
14,Robby Anderson,NYJ,WR,12,CAR,10,6,60,146,2,54,14.6,24.3,0,0,0,0,0,0,29.6,29.6
16,Michael Crabtree,OAK,WR,2,NYJ,6,6,100,80,3,26,13.3,13.3,0,0,0,0,0,0,29,29
17,JuJu Smith-Schuster,PIT,WR,8,DET,10,7,70,193,1,97,19.3,27.6,0,0,0,0,0,0,28.8,28.8
18,Keenan Allen,LAC,WR,12,DAL,14,11,78.6,172,1,42,12.3,15.6,0,0,0,0,0,0,28.7,28.7
19,Keelan Cole,JAX,WR,15,HOU,9,7,77.8,186,1,73,20.7,26.6,0,0,0,0,0,0,28.1,28.1
20,Kenny Stills,MIA,WR,11,TB,8,7,87.5,180,1,61,22.5,25.7,0,0,0,0,1,0,27.5,27.5
21,Larry Fitzgerald,ARI,WR,3,DAL,15,13,86.7,149,1,37,9.9,11.5,0,0,0,0,0,0,27.4,27.4
22,Will Fuller,HOU,WR,8,SEA,8,5,62.5,125,2,59,15.6,25,0,0,0,0,0,0,27,27
23,Antonio Brown,PIT,WR,14,BAL,18,11,61.1,213,0,57,11.8,19.4,0,0,0,0,1,0,26.8,26.8
24,Adam Thielen,MIN,WR,10,WAS,12,8,66.7,166,1,49,13.8,20.8,0,0,0,0,0,0,26.6,26.6
25,AJ Green,CIN,WR,5,BUF,13,7,53.8,189,1,77,14.5,27,0,0,0,0,1,1,26.4,26.4
26,Marvin Jones,DET,WR,9,GB,11,7,63.6,107,2,25,9.7,15.3,0,0,0,0,0,0,26.2,26.2
27,Marvin Jones,DET,WR,12,MIN,9,6,66.7,109,2,43,12.1,18.2,0,0,0,0,0,0,25.9,25.9
28,Sammy Watkins,LAR,WR,3,SF,7,6,85.7,106,2,47,15.1,17.7,0,0,0,0,0,0,25.6,25.6
29,Paul Richardson,SEA,WR,8,HOU,7,6,85.7,105,2,48,15,17.5,0,0,0,0,0,0,25.5,25.5
29,Antonio Brown,PIT,WR,6,KC,10,8,80,155,1,51,15.5,19.4,0,0,0,0,1,0,25.5,25.5
31,Davante Adams,GB,WR,14,CLE,14,10,71.4,84,2,25,6,8.4,0,0,0,0,0,0,25.4,25.4
31,Sterling Shepard,NYG,WR,15,PHI,16,11,68.8,139,1,67,8.7,12.6,0,0,0,0,0,0,25.4,25.4
33,DeAndre Hopkins,HOU,WR,5,KC,12,4,33.3,52,3,34,4.3,13,0,0,0,0,0,0,25.2,25.2
34,T.Y. Hilton,IND,WR,3,CLE,9,7,77.8,153,1,61,17,21.9,0,0,0,0,0,0,24.8,24.8
35,Odell Beckham Jr,NYG,WR,3,PHI,13,9,69.2,79,2,14,6.1,8.8,0,0,0,0,0,0,24.4,24.4
36,Stefon Diggs,MIN,WR,1,NO,8,7,87.5,93,2,30,11.6,13.3,1,-6,-6,0,0,0,24.2,24.2
37,Brandin Cooks,NE,WR,11,OAK,9,6,66.7,149,1,64,16.6,24.8,0,0,0,0,0,0,23.9,23.9
38,Devin Funchess,CAR,WR,10,MIA,6,5,83.3,92,2,32,15.3,18.4,0,0,0,0,0,0,23.7,23.7
38,Antonio Brown,PIT,WR,1,CLE,11,11,100,182,0,50,16.5,16.5,0,0,0,0,1,0,23.7,23.7
40,Jamison Crowder,WAS,WR,12,NYG,10,7,70,141,1,38,14.1,20.1,0,0,0,0,0,0,23.6,23.6
40,Nelson Agholor,PHI,WR,13,SEA,12,7,58.3,141,1,51,11.8,20.1,0,0,0,0,0,0,23.6,23.6
42,Kenny Stills,MIA,WR,7,NYJ,9,6,66.7,85,2,36,9.4,14.2,0,0,0,0,0,0,23.5,23.5
43,Alshon Jeffery,PHI,WR,9,DEN,11,6,54.5,84,2,32,7.6,14,0,0,0,0,0,0,23.4,23.4
44,Tyreek Hill,KC,WR,1,NE,8,7,87.5,133,1,75,16.6,19,2,5,2.5,0,1,0,23.3,23.3
45,Larry Fitzgerald,ARI,WR,16,NYG,15,9,60,119,1,23,7.9,13.2,0,0,0,0,0,0,23.2,23.24
46,AJ Green,CIN,WR,13,PIT,17,7,41.2,77,2,17,4.5,11,0,0,0,0,0,0,23.2,23.2
47,Doug Baldwin,SEA,WR,17,ARI,5,4,80,90,2,29,18,22.5,0,0,0,0,0,0,23,23
48,Sterling Shepard,NYG,WR,3,PHI,10,7,70,133,1,77,13.3,19,0,0,0,0,0,0,22.8,22.8
48,Larry Fitzgerald,ARI,WR,6,TB,11,10,90.9,138,1,29,12.5,13.8,0,0,0,0,1,1,22.8,22.8
50,Michael Thomas,NO,WR,14,ATL,14,10,71.4,117,1,35,8.4,11.7,0,0,0,0,0,0,22.7,22.7
51,Devin Funchess,CAR,WR,4,NE,9,7,77.8,70,2,16,7.8,10,0,0,0,0,0,0,22.5,22.5
