Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Eric Decker,DEN,WR,13,KC,12,8,66.7,174,4,42,14.5,21.8,0,0,0,0,0,0,45.4,45.4
1,Andre Johnson,HOU,WR,9,IND,13,9,69.2,229,3,62,17.6,25.4,0,0,0,0,0,0,45.4,45.4
3,Calvin Johnson,DET,WR,8,DAL,16,14,87.5,329,1,87,20.6,23.5,0,0,0,0,1,1,43.9,43.9
4,Josh Gordon,CLE,WR,13,JAX,15,10,66.7,261,2,95,17.4,26.1,0,0,0,0,0,0,43.1,43.1
5,Alshon Jeffery,CHI,WR,13,MIN,15,12,80,249,2,80,16.6,20.8,1,0,0,0,0,0,42.9,42.9
6,Marvin Jones,CIN,WR,8,NYJ,8,8,100,122,4,45,15.2,15.2,0,0,0,0,0,0,40.2,40.2
7,Josh Gordon,CLE,WR,12,PIT,17,14,82.4,237,1,47,13.9,16.9,0,0,0,0,0,0,36.7,36.7
8,Riley Cooper,PHI,WR,9,OAK,6,5,83.3,139,3,63,23.2,27.8,0,18,0,0,0,0,36.2,36.2
9,Antonio Brown,PIT,WR,3,CHI,13,9,69.2,196,2,45,15.1,21.8,0,0,0,0,0,0,36.1,36.1
10,T.Y. Hilton,IND,WR,9,HOU,12,7,58.3,121,3,58,10.1,17.3,0,0,0,0,0,0,33.6,33.6
11,Anquan Boldin,SF,WR,1,GB,17,13,76.5,208,1,43,12.2,16,0,0,0,0,0,0,33.3,33.3
12,Tavon Austin,LAR,WR,10,IND,3,2,66.7,138,2,81,46,69,1,4,4,0,1,0,33.2,33.2
13,Calvin Johnson,DET,WR,11,PIT,13,6,46.2,179,2,79,13.8,29.8,0,0,0,0,0,0,32.9,32.9
14,Alshon Jeffery,CHI,WR,5,NO,13,10,76.9,218,1,58,16.8,21.8,0,0,0,0,0,0,32.8,32.8
