Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
922,David Nelson,BUF,WR,16,DEN,5,3,60,41,0,30,8.2,13.7,0,0,0,0,0,0,5.6,5.6
922,Andre Johnson,HOU,WR,4,PIT,5,4,80,36,0,13,7.2,9,0,0,0,0,0,0,5.6,5.6
922,Mike Thomas,JAX,WR,6,PIT,6,4,66.7,36,0,18,6,9,0,0,0,0,0,0,5.6,5.6
922,Greg Little,CLE,WR,7,SEA,7,5,71.4,31,0,9,4.4,6.2,0,0,0,0,0,0,5.6,5.6
934,Doug Baldwin,SEA,WR,10,BAL,3,1,33.3,50,0,50,16.7,50,0,0,0,0,0,0,5.5,5.5
934,Lee Evans,BAL,WR,2,TEN,5,2,40,45,0,32,9,22.5,0,0,0,0,0,0,5.5,5.5
934,Chad Johnson,NE,WR,2,LAC,2,2,100,45,0,30,22.5,22.5,0,0,0,0,0,0,5.5,5.5
934,Johnny Knox,CHI,WR,2,NO,6,2,33.3,45,0,30,7.5,22.5,0,0,0,0,0,0,5.5,5.5
934,Ted Ginn,SF,WR,6,DET,5,2,40,24,0,18,4.8,12,2,21,10.5,0,0,0,5.5,5.5
934,Randall Cobb,GB,WR,14,OAK,2,2,100,45,0,26,22.5,22.5,0,0,0,0,0,0,5.5,5.5
934,Jason Avant,PHI,WR,1,LAR,7,3,42.9,40,0,20,5.7,13.3,0,0,0,0,0,0,5.5,5.5
934,Jordy Nelson,GB,WR,3,CHI,5,3,60,40,0,18,8,13.3,0,0,0,0,0,0,5.5,5.5
934,Ruvell Martin,BUF,WR,15,MIA,4,3,75,40,0,28,10,13.3,0,0,0,0,0,0,5.5,5.5
934,Doug Baldwin,SEA,WR,17,ARI,4,3,75,40,0,21,10,13.3,0,0,0,0,0,0,5.5,5.5
934,Calvin Johnson,DET,WR,14,MIN,4,3,75,29,0,14,7.2,9.7,1,11,11,0,0,0,5.5,5.5
934,Ben Obomanu,SEA,WR,2,PIT,6,4,66.7,35,0,11,5.8,8.8,0,0,0,0,0,0,5.5,5.5
934,Michael Crabtree,SF,WR,15,PIT,7,4,57.1,35,0,12,5,8.8,0,0,0,0,0,0,5.5,5.5
934,Hines Ward,PIT,WR,13,CIN,6,5,83.3,30,0,12,5,6,0,0,0,0,0,0,5.5,5.5
948,Earl Bennett,CHI,WR,16,GB,3,1,33.3,49,0,49,16.3,49,0,0,0,0,0,0,5.4,5.4
948,Pierre Garcon,IND,WR,1,HOU,6,3,50,39,0,17,6.5,13,0,0,0,0,0,0,5.4,5.4
948,Ted Ginn,SF,WR,10,NYG,4,3,75,39,0,16,9.8,13,0,0,0,0,0,0,5.4,5.4
948,Chastin West,JAX,WR,10,IND,5,3,60,39,0,13,7.8,13,0,0,0,0,0,0,5.4,5.4
948,Jacoby Jones,HOU,WR,17,TEN,7,3,42.9,35,0,20,5,11.7,1,4,4,0,0,0,5.4,5.4
948,Terrence Austin,WAS,WR,16,MIN,3,3,100,39,0,23,13,13,0,0,0,0,0,0,5.4,5.4
948,Jacoby Jones,HOU,WR,14,CIN,6,3,50,39,0,18,6.5,13,0,0,0,0,0,0,5.4,5.4
948,Mike Williams,SEA,WR,1,SF,5,4,80,34,0,12,6.8,8.5,0,0,0,0,0,0,5.4,5.4
948,Austin Collie,IND,WR,3,PIT,7,5,71.4,29,0,11,4.1,5.8,0,0,0,0,0,0,5.4,5.4
957,Andrew Hawkins,CIN,WR,4,BUF,3,2,66.7,43,0,25,14.3,21.5,0,0,0,0,0,0,5.3,5.3
957,Laurent Robinson,DAL,WR,6,NE,2,2,100,43,0,32,21.5,21.5,0,0,0,0,0,0,5.3,5.3
957,Mike Williams,TB,WR,10,HOU,5,2,40,43,0,23,8.6,21.5,0,0,0,0,0,0,5.3,5.3
