,gameId,result
1815,201309290atl,0.036
1883,201711120den,0.019
87,200811160sea,0.006
2290,201709170kan,0.094
2759,200811270dal,0.026
1,201011210kan,0.016
1001,201412280gnb,0.019
591,200710140kan,0.005
215,201609250jax,0.045
1056,200710280chi,0.014
427,200912270nyg,0.009
2179,201711120tam,0.012
2338,201210070pit,0.006
1834,200911150clt,0.007
1989,201801140min,0.007
2247,201609110nor,0.001
333,201712240nwe,0.012
2049,200911010phi,0.007
2544,201512240rai,0.008
1777,201410190buf,0.036
2675,201811250car,0.029
1630,201112240nwe,0.009
139,200810050gnb,0.011
636,200909200gnb,0.006
379,201611200cin,0.005
1718,200910110ram,0.021
366,201811110nyj,0.023
1387,201611200det,0.005
1592,201810210sfo,0.006
2229,201511080pit,0.016
843,201010170min,0.002
81,201711190htx,0.013
113,201711200sea,0.001
1504,201310060oti,0.012
2678,201309080car,0.003
2332,200812070nyg,0.007
1275,201412210dal,0.007
2199,201101020kan,0.042
2589,200812210ram,0.007
538,200710070gnb,0.048
1653,201811250clt,0.026
2540,201209100rai,0.004
178,201012050tam,0.054
234,201101150pit,0.018
2351,201312150min,0.007
2479,201709240chi,0.007
764,201411060cin,0.03
2299,201710120car,0.019
840,201409140oti,0.015
3024,201309150htx,0.041
1116,201711260pit,0.002
880,201612250kan,0.006
759,200911290cin,0.019
1677,201011280rai,0.01
1893,201609110crd,0.007
2214,200709300mia,0.01
964,200709300clt,0.005
493,201310060crd,0.021
2580,201212230sea,0.008
598,200812210cle,0.006
1348,201710290cin,0.037
1319,201110300oti,0.017
1632,200712230nwe,0.001
293,201309050den,0.017
1517,201609180htx,0.018
753,201012190cin,0.017
76,201309220nor,0.009
152,201009260nor,0.007
384,201211040htx,0.002
1729,201101020det,0.002
583,201412280min,0.017
2527,201309150phi,0.008
2009,201411090sea,0.0
383,201312080tam,0.009
1851,201810290buf,0.054
225,200811160nyg,0.003
1140,201812230nyj,0.001
322,200712020was,0.037
2868,201412070det,0.0
442,200812280nor,0.006
645,201311100rav,0.055
398,201212020kan,0.007
1154,200912130chi,0.03
1101,201409210det,0.008
3072,201710230phi,0.017
1498,200911080jax,0.076
1331,201210140nyj,0.015
1814,201011250det,0.006
256,201410050clt,0.01
2404,201102060pit,0.013
1044,201012190tam,0.012
1395,201812230mia,0.045
2992,200810050rav,0.017
1450,201409280sdg,0.026
2317,200812210was,0.019
1445,201309150rai,0.081
2638,201610160buf,0.004
2941,201811050dal,0.046
3066,200710280nwe,0.024
154,201111060clt,0.015
2845,201211180car,0.005
309,200910250car,0.021
2358,201111200nyg,0.002
1837,200811020clt,0.019
2832,201111060crd,0.015
