Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Jordan Reed,WAS,TE,3,NYG,9.99,6.8,70,76.6,0.6,0,7.7,11,0,0,0,0,0,0,14.7,14.66
2,Rob Gronkowski,NE,TE,7,PIT,8.37,4.9,62.5,79.3,0.7,0,9.9,15.8,0,0,0,0,0,0,14.6,14.58
3,Rob Gronkowski,NE,TE,10,SEA,7.86,4.6,62.5,79.1,0.7,0,9.9,15.8,0,0,0,0,0,0,14.4,14.41
4,Jordan Reed,WAS,TE,10,MIN,9.4,6.4,66.7,68.3,0.7,0,7.6,11.3,0,0,0,0,0.1,0.1,14,14.03
5,Jordan Reed,WAS,TE,4,CLE,9.11,6.2,66.7,72.3,0.6,0,8,12,0,0,0,0,0,0,13.9,13.93
6,Jordan Reed,WAS,TE,11,GB,9.26,6.3,66.7,67.2,0.6,0,7.4,11.2,0,0,0,0,0,0,13.5,13.47
7,Greg Olsen,CAR,TE,11,NO,9.8,5.6,60,76.6,0.5,0,7.7,12.8,0,0,0,0,0.1,0.1,13.3,13.26
8,Jordan Reed,WAS,TE,5,BAL,8.96,6.1,66.7,66,0.6,0,7.3,11,0,0,0,0,0,0,13.2,13.25
9,Rob Gronkowski,NE,TE,8,BUF,7.69,4.5,50,73.5,0.6,0,9.2,18.5,0,0,0,0,0.1,0.1,13,13
10,Greg Olsen,CAR,TE,6,NO,9.8,5.6,60,77.8,0.4,0,7.8,13,0,0,0,0,0,0,13,12.98
11,Greg Olsen,CAR,TE,16,ATL,9.97,5.7,60,70.9,0.5,0,7.1,11.8,0,0,0,0,0,0,12.9,12.94
12,Jordan Reed,WAS,TE,2,DAL,8.52,5.8,66.7,63.6,0.6,0,7.1,10.7,0,0,0,0,0,0,12.9,12.86
