Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
46,Adam Shaheen,CHI,TE,1,PHI,1.67,1,50,8,0,0,4,8,0,0,0,0,0,0,1.3,1.3
48,Dwayne Allen,NE,TE,2,LAC,1.74,1,50,5,0,0,2.5,5,0,0,0,0,0,0,1,1
49,Sean Culkin,LAC,TE,2,NE,1.72,1,50,4,0,0,2,4,0,0,0,0,0,0,0.9,0.9
50,Ryan Hewitt,IND,TE,2,KC,1.56,1,50,3,0,0,1.5,3,0,0,0,0,0,0,0.8,0.8
50,Richard Rodgers,PHI,TE,2,NO,1.32,1,100,3,0,0,3,3,0,0,0,0,0,0,0.8,0.8
50,Rico Gathers,DAL,TE,2,LAR,1.73,1,50,3,0,0,1.5,3,0,0,0,0,0,0,0.8,0.8
50,Jacob Hollister,NE,TE,2,LAC,1.6,1,50,3,0,0,1.5,3,0,0,0,0,0,0,0.8,0.8
54,Dwayne Allen,NE,TE,4,LAR,0.87,0.5,0,4.7,0,0,5,0,0,0,0,0,0,0,0.7,0.72
55,Joshua Perkins,PHI,TE,2,NO,1.73,1,50,2,0,0,1,2,0,0,0,0,0,0,0.7,0.7
56,Johnny Mundt,LAR,TE,2,DAL,1.3,1,100,1,0,0,1,1,0,0,0,0,0,0,0.6,0.6
57,Ryan Hewitt,IND,TE,1,HOU,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.3,0.3
57,Richard Rodgers,PHI,TE,1,CHI,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.3,0.3
57,Rico Gathers,DAL,TE,1,SEA,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.3,0.3
57,Sean Culkin,LAC,TE,1,BAL,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.3,0.3
57,Tyrone Swoopes,SEA,TE,1,DAL,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.3,0.3
62,Dion Sims,CHI,TE,1,PHI,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.2,0.2
62,Ben Braunecker,CHI,TE,1,PHI,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.2,0.2
62,Joshua Perkins,PHI,TE,1,CHI,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.2,0.2
65,Zach Miller,CHI,TE,1,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Jack Doyle,IND,TE,1,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Erik Swoope,IND,TE,1,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Geoff Swaim,DAL,TE,1,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Daniel Brown,CHI,TE,1,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Ross Travis,IND,TE,1,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Will Tye,PHI,TE,1,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Jerell Adams,HOU,TE,1,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Thomas Duarte,LAC,TE,1,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Will Dissly,SEA,TE,1,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Nick Keizer,BAL,TE,1,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Austin Roberts,LAC,TE,1,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Michael Hoomanawanui,NO,TE,2,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Jack Doyle,IND,TE,2,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Erik Swoope,IND,TE,2,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Geoff Swaim,DAL,TE,2,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Ross Travis,IND,TE,2,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Will Tye,PHI,TE,2,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Thomas Duarte,LAC,TE,2,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Henry Krieger-Coble,LAR,TE,2,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Stephen Anderson,NE,TE,2,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Dillon Gordon,KC,TE,2,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Alex Ellis,KC,TE,2,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Garrett Griffin,NO,TE,2,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Ryan Izzo,NE,TE,2,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,David Wells,KC,TE,2,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Deon Yelder,KC,TE,2,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Nate Wozniak,NO,TE,2,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Austin Roberts,LAC,TE,2,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Michael Hoomanawanui,NO,TE,3,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Dwayne Allen,NE,TE,3,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Henry Krieger-Coble,LAR,TE,3,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Stephen Anderson,NE,TE,3,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Dillon Gordon,KC,TE,3,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Alex Ellis,KC,TE,3,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Garrett Griffin,NO,TE,3,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Johnny Mundt,LAR,TE,3,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Jacob Hollister,NE,TE,3,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Dan Arnold,NO,TE,3,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Ryan Izzo,NE,TE,3,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,David Wells,KC,TE,3,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Deon Yelder,KC,TE,3,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Nate Wozniak,NO,TE,3,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Henry Krieger-Coble,LAR,TE,4,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Stephen Anderson,NE,TE,4,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Johnny Mundt,LAR,TE,4,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Jacob Hollister,NE,TE,4,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Ryan Izzo,NE,TE,4,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
