Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
43,George Kittle,SF,TE,16,CHI,8.79,5.3,55.6,69.8,0.3,0,7.8,14,0,0.1,0,0,0,0,11.4,11.44
44,Eric Ebron,IND,TE,13,JAX,6.16,4.5,66.7,52.1,0.6,0,8.7,13,0,0.7,0,0,0,0,11.1,11.13
45,George Kittle,SF,TE,10,NYG,7.63,4.6,62.5,63.2,0.4,0,7.9,12.6,0,0.1,0,0,0,0,11,11.03
46,Eric Ebron,IND,TE,7,BUF,6.85,5,71.4,54.2,0.5,0,7.7,10.8,0,0.2,0,0,0,0,10.9,10.94
47,Travis Kelce,KC,TE,2,PIT,6.67,4.8,71.4,60.9,0.4,0,8.7,12.2,0.1,0.1,0,0,0,0,10.9,10.9
48,Eric Ebron,IND,TE,16,NYG,6.02,4.4,66.7,50,0.6,0,8.3,12.5,0.2,0.7,0,0,0,0,10.9,10.87
49,Rob Gronkowski,NE,TE,8,BUF,7.52,4.4,50,61,0.4,0,7.6,15.2,0,0,0,0,0,0,10.7,10.7
50,Zach Ertz,PHI,TE,2,TB,8.99,5.2,55.6,56.8,0.4,0,6.3,11.4,0,0,0,0,0,0,10.7,10.68
51,Rob Gronkowski,NE,TE,15,PIT,7.35,4.3,57.1,60.8,0.4,0,8.7,15.2,0,0,0,0,0,0,10.6,10.63
52,Eric Ebron,IND,TE,17,TEN,6.3,4.6,83.3,52.3,0.5,0,8.7,10.4,0.1,0.8,0,0,0,0,10.6,10.61
53,Rob Gronkowski,NE,TE,5,IND,6.84,4,57.1,55.4,0.5,0,7.9,13.8,0,0,0,0,0,0,10.5,10.54
54,George Kittle,SF,TE,9,OAK,7.3,4.4,57.1,59.2,0.4,0,8.4,14.8,0,0,0,0,0,0,10.5,10.52
55,Rob Gronkowski,NE,TE,13,MIN,7.01,4.1,57.1,59.6,0.4,0,8.6,15,0,0,0,0,0,0,10.4,10.41
56,Jared Cook,OAK,TE,15,CIN,5.94,4.4,66.7,57.2,0.4,0,9.5,14.2,0,0,0,0,0,0,10.3,10.32
57,Jared Cook,OAK,TE,16,DEN,5.94,4.4,66.7,56,0.4,0,9.3,14,0,0,0,0,0,0,10.2,10.2
58,Jordan Reed,WAS,TE,2,IND,6.46,4.4,66.7,49.7,0.5,0,8.3,12.5,0,0,0,0,0,0,10.2,10.17
59,Rob Gronkowski,NE,TE,12,NYJ,7.01,4.1,57.1,57,0.4,0,8.1,14.2,0,0,0,0,0,0,10.2,10.15
60,George Kittle,SF,TE,8,ARI,7.47,4.5,57.1,59.4,0.3,0,8.4,14.8,0,0.1,0,0,0,0,10,10
60,Jordan Reed,WAS,TE,3,GB,7.05,4.8,71.4,51.9,0.4,0,7.4,10.4,0,0.1,0,0,0,0,10,10
62,Eric Ebron,IND,TE,8,OAK,5.75,4.2,66.7,48.6,0.5,0,8.2,12.2,0,0.1,0,0,0,0,10,9.97
63,Rob Gronkowski,NE,TE,14,MIA,6.66,3.9,57.1,56,0.4,0,8,14,0,0,0,0,0,0,10,9.95
64,Eric Ebron,IND,TE,6,NYJ,6.43,4.7,83.3,51.6,0.4,0,8.7,10.4,0,0,0,0,0,0,9.9,9.91
