Rank,Name,Team,Position,Week,Opponent,TacklesForLoss,Sacks,QuarterbackHits,Interceptions,FumblesRecovered,Safeties,DefensiveTouchdowns,SpecialTeamsTouchdowns,PointsAllowedByDefenseSpecialTeams,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Seattle Seahawks,SEA,DST,1,DAL,0,3,0,1.3,0.7,0,0,0,15.1,9.8,9.8
2,Los Angeles Rams,LAR,DST,2,DAL,0,2.8,0,1.1,0.6,0,0,0,19.4,9,9
2,Los Angeles Rams,LAR,DST,3,NO,0,2.8,0,1.1,0.6,0,0,0,19.4,9,9
2,Los Angeles Rams,LAR,DST,4,NE,0,2.8,0,1.1,0.6,0,0,0,19.4,9,9
5,Houston Texans,HOU,DST,1,IND,0,2.8,0,1.1,0.7,0.1,0,0,16.7,8.8,8.8
6,New Orleans Saints,NO,DST,2,PHI,0,2.9,0,1.1,0.7,0,0,0,20.6,8.7,8.7
6,New Orleans Saints,NO,DST,3,LAR,0,2.9,0,1.1,0.7,0,0,0,20.6,8.7,8.7
8,Kansas City Chiefs,KC,DST,2,IND,0,3.2,0,0.8,0.8,0,0,0,20.6,8.6,8.6
8,Kansas City Chiefs,KC,DST,3,NE,0,3.2,0,0.8,0.8,0,0,0,20.6,8.6,8.6
10,Philadelphia Eagles,PHI,DST,1,CHI,0,2.7,0,1.2,0.6,0,0,0,20.5,8.5,8.5
10,Philadelphia Eagles,PHI,DST,2,NO,0,2.7,0,1.2,0.6,0,0,0,20.5,8.5,8.5
12,Baltimore Ravens,BAL,DST,1,LAC,0,2.4,0,0.9,0.6,0.1,0,0,15.8,8.4,8.4
13,Chicago Bears,CHI,DST,1,PHI,0,2.5,0,0.9,0.6,0,0,0,19.7,8.3,8.3
14,New England Patriots,NE,DST,2,LAC,0,2.4,0,1.2,0.5,0,0,0,17.9,8,8
14,New England Patriots,NE,DST,3,KC,0,2.4,0,1.2,0.5,0,0,0,17.9,8,8
14,New England Patriots,NE,DST,4,LAR,0,2.4,0,1.2,0.5,0,0,0,17.9,8,8
17,Los Angeles Chargers,LAC,DST,1,BAL,0,2.6,0,1,0.5,0,0,0,19.6,7.8,7.8
17,Los Angeles Chargers,LAC,DST,2,NE,0,2.6,0,1,0.5,0,0,0,19.6,7.8,7.8
19,Indianapolis Colts,IND,DST,1,HOU,0,2.5,0,0.9,0.6,0,0,0,22.4,6.7,6.7
19,Indianapolis Colts,IND,DST,2,KC,0,2.5,0,0.9,0.6,0,0,0,22.4,6.7,6.7
21,Dallas Cowboys,DAL,DST,1,SEA,0,2.3,0,0.6,0.6,0,0,0,21.3,5.9,5.9
21,Dallas Cowboys,DAL,DST,2,LAR,0,2.3,0,0.6,0.6,0,0,0,21.3,5.9,5.9
