Rank,Name,Team,Position,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Ben Roethlisberger,PIT,QB,2,JAX,37,58,63.8,469,8.1,5,1,110.49,2,16,8,0,37.4,37.36
2,Nick Foles,PHI,QB,4,NE,28,43,65.1,373,8.7,3,1,106.06,0,0,0,0,32.5,32.52
3,Tom Brady,NE,QB,4,PHI,28,48,58.3,505,10.5,3,0,115.36,1,6,6,0,30.8,30.8
4,Marcus Mariota,TEN,QB,1,KC,19,31,61.3,205,6.6,2,1,88.78,8,46,5.8,0,26.9,26.9
5,Nick Foles,PHI,QB,3,MIN,26,33,78.8,352,10.7,3,0,141.41,0,0,0,0,26.1,26.08
6,Tom Brady,NE,QB,2,TEN,35,53,66,337,6.4,3,0,102.48,1,2,2,0,25.7,25.68
7,Cam Newton,CAR,QB,1,NO,24,40,60,349,8.7,2,0,105.1,8,37,4.6,0,25.7,25.66
8,Drew Brees,NO,QB,1,CAR,23,33,69.7,376,11.4,2,1,115.21,1,-1,-1,0,21.9,21.94
9,Marcus Mariota,TEN,QB,2,NE,22,37,59.5,254,6.9,2,0,98.25,4,37,9.2,0,21.9,21.86
9,Drew Brees,NO,QB,2,MIN,25,40,62.5,294,7.4,3,2,88.96,2,1,0.5,0,21.9,21.86
11,Alex Smith,KC,QB,1,TEN,24,33,72.7,264,8,2,0,116.22,4,13,3.2,0,19.9,19.86
12,Tom Brady,NE,QB,3,JAX,26,38,68.4,290,7.6,2,0,108.44,5,0,0,0,19.6,19.6
13,Blake Bortles,JAX,QB,1,BUF,12,23,52.2,87,3.8,1,0,75.82,10,88,8.8,0,16.3,16.28
14,Case Keenum,MIN,QB,2,NO,25,40,62.5,318,8,1,1,85.21,1,4,4,0,16.1,16.12
15,Blake Bortles,JAX,QB,2,PIT,14,26,53.8,214,8.2,1,0,94.07,5,35,7,0,16.1,16.06
16,Blake Bortles,JAX,QB,3,NE,23,36,63.9,293,8.1,1,0,98.5,2,-2,-1,0,15.5,15.52
17,Jared Goff,LAR,QB,1,ATL,24,45,53.3,259,5.8,1,0,77.92,0,0,0,0,14.4,14.36
18,Matt Ryan,ATL,QB,1,LAR,21,30,70,218,7.3,1,0,101.81,6,5,0.8,0,13.2,13.22
19,Matt Ryan,ATL,QB,2,PHI,22,36,61.1,210,5.8,1,0,86.57,0,0,0,0,12.4,12.4
20,Case Keenum,MIN,QB,3,PHI,28,48,58.3,271,5.6,1,2,63.8,1,8,8,0,11.6,11.64
21,Nick Foles,PHI,QB,2,ATL,23,30,76.7,246,8.2,0,0,100.14,5,-2,-0.4,0,9.6,9.64
22,Tyrod Taylor,BUF,QB,1,JAX,17,37,45.9,134,3.6,0,1,44.2,7,27,3.9,0,7.1,7.06
23,Joe Webb,BUF,QB,1,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Taysom Hill,NO,QB,1,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Derek Anderson,CAR,QB,1,NO,0,1,0,0,0,0,0,39.58,0,0,0,0,0,0
23,Taysom Hill,NO,QB,2,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Nathan Peterman,BUF,QB,1,JAX,1,3,33.3,14,4.7,0,1,9.72,1,4,4,0,0,-0.04
28,Brian Hoyer,NE,QB,2,TEN,0,0,0,0,0,0,0,0,3,-1,-0.3,0,-0.1,-0.1
29,Nate Sudfeld,PHI,QB,3,MIN,0,0,0,0,0,0,0,0,3,-4,-1.3,0,-0.4,-0.4
