Rank,Name,Team,Position,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Tom Brady,NE,QB,2,BAL,33,50,66,367,7.3,3,1,99.33,6,0,0,1,31.7,31.68
2,Tom Brady,NE,QB,4,SEA,37,50,74,328,6.6,4,2,101.08,2,-3,-1.5,0,26.8,26.82
3,Joe Flacco,BAL,QB,2,NE,28,45,62.2,292,6.5,4,2,92.08,0,0,0,0,25.7,25.68
4,Russell Wilson,SEA,QB,2,CAR,15,22,68.2,268,12.2,3,0,149.24,7,22,3.1,0,24.9,24.92
5,Aaron Rodgers,GB,QB,2,DAL,24,35,68.6,316,9,3,0,125.42,3,-4,-1.3,0,22.2,22.24
6,Tom Brady,NE,QB,3,IND,23,35,65.7,226,6.5,3,1,100.42,3,13,4.3,0,21.3,21.34
7,Andrew Luck,IND,QB,1,CIN,31,44,70.5,376,8.5,1,0,103.98,2,18,9,0,20.8,20.84
8,Russell Wilson,SEA,QB,4,NE,12,21,57.1,247,11.8,2,1,110.62,3,39,13,0,20.8,20.78
9,Tony Romo,DAL,QB,1,DET,19,31,61.3,293,9.5,2,0,114.05,2,-2,-1,0,19.5,19.52
10,Joe Flacco,BAL,QB,1,PIT,18,29,62.1,259,8.9,2,0,114.01,8,8,1,0,19.2,19.16
11,Russell Wilson,SEA,QB,3,GB,14,29,48.3,209,7.2,1,4,44.25,7,25,3.6,1,18.9,18.86
12,Andrew Luck,IND,QB,2,DEN,27,43,62.8,265,6.2,2,2,76.21,2,21,10.5,0,18.7,18.7
13,Cam Newton,CAR,QB,2,SEA,23,36,63.9,246,6.8,2,2,79.17,11,37,3.4,0,17.5,17.54
14,Ben Roethlisberger,PIT,QB,1,BAL,31,45,68.9,334,7.4,1,2,79.31,2,16,8,0,17,16.96
15,Cam Newton,CAR,QB,1,ARI,18,32,56.2,198,6.2,2,1,82.55,7,35,5,0,16.4,16.42
16,Tony Romo,DAL,QB,2,GB,15,19,78.9,191,10.1,2,0,143.64,1,7,7,0,16.3,16.34
17,Matthew Stafford,DET,QB,1,DAL,28,42,66.7,323,7.7,1,1,87.7,1,9,9,0,12.8,12.82
18,Peyton Manning,DEN,QB,2,IND,26,46,56.5,211,4.6,1,0,75.54,0,0,0,0,10.4,10.44
19,Aaron Rodgers,GB,QB,3,SEA,19,34,55.9,178,5.2,1,2,55.76,1,12,12,0,10.3,10.32
20,Andy Dalton,CIN,QB,1,IND,18,35,51.4,155,4.4,0,0,63.39,4,34,8.5,0,7.6,7.6
21,Ryan Lindley,ARI,QB,1,CAR,16,28,57.1,82,2.9,1,2,44.35,0,0,0,0,5.3,5.28
22,Andrew Luck,IND,QB,3,NE,12,33,36.4,126,3.8,0,2,23.04,4,18,4.5,0,4.8,4.84
23,Bruce Gradkowski,PIT,QB,1,BAL,2,3,66.7,22,7.3,0,0,88.19,0,0,0,0,0.9,0.88
24,Joe Webb,CAR,QB,1,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Derek Anderson,CAR,QB,1,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Joe Webb,CAR,QB,2,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Jimmy Garoppolo,NE,QB,3,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
