Rank,Name,Team,Position,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Cam Newton,CAR,QB,3,ARI,19,28,67.9,335,12,2,1,117.41,10,47,4.7,2,39.1,39.1
2,Russell Wilson,SEA,QB,2,CAR,31,48,64.6,366,7.6,3,2,91.15,3,32,10.7,0,27.8,27.84
3,Tom Brady,NE,QB,2,KC,28,42,66.7,302,7.2,2,0,103.47,6,6,1,1,26.7,26.68
4,Carson Palmer,ARI,QB,2,GB,25,41,61,349,8.5,3,2,92.43,0,0,0,0,24,23.96
5,Kirk Cousins,WAS,QB,1,GB,29,46,63,329,7.2,1,0,91.67,2,2,1,1,21.4,21.36
6,Aaron Rodgers,GB,QB,2,ARI,24,44,54.5,261,5.9,2,1,77.94,2,21,10.5,0,19.5,19.54
7,Aaron Rodgers,GB,QB,1,WAS,21,36,58.3,210,5.8,2,0,93.52,1,-1,-1,0,18.3,18.3
8,Alex Smith,KC,QB,2,NE,29,50,58,246,4.9,1,0,77.58,9,44,4.9,0,18.2,18.24
9,Tom Brady,NE,QB,3,DEN,27,56,48.2,310,5.5,1,2,56.4,3,13,4.3,0,15.7,15.7
10,Peyton Manning,DEN,QB,3,NE,17,32,53.1,176,5.5,2,0,90.1,3,11,3.7,0,14.1,14.14
11,Ben Roethlisberger,PIT,QB,2,DEN,24,37,64.9,339,9.2,0,0,94.31,0,0,0,0,13.6,13.56
12,Alex Smith,KC,QB,1,HOU,17,22,77.3,190,8.6,1,1,98.67,5,27,5.4,0,13.3,13.3
13,Ben Roethlisberger,PIT,QB,1,CIN,18,31,58.1,229,7.4,1,0,92,0,0,0,0,13.2,13.16
14,Peyton Manning,DEN,QB,2,PIT,21,37,56.8,222,6,0,0,74.38,2,-1,-0.5,0,10.8,10.78
14,Russell Wilson,SEA,QB,1,MIN,13,26,50,142,5.5,1,1,63.3,5,21,4.2,0,10.8,10.78
16,Cam Newton,CAR,QB,2,SEA,16,22,72.7,161,7.3,1,0,108.33,11,3,0.3,0,10.7,10.74
17,AJ McCarron,CIN,QB,1,PIT,23,41,56.1,212,5.2,1,1,68.34,5,9,1.8,0,10.4,10.38
18,Cam Newton,CAR,QB,4,DEN,18,41,43.9,265,6.5,0,1,55.44,6,45,7.5,0,10.1,10.1
19,Teddy Bridgewater,MIN,QB,1,SEA,17,24,70.8,146,6.1,0,0,86.46,3,0,0,0,5.8,5.84
20,Carson Palmer,ARI,QB,3,CAR,23,40,57.5,235,5.9,1,4,43.23,0,0,0,0,5.4,5.4
21,Peyton Manning,DEN,QB,4,CAR,13,23,56.5,141,6.1,0,1,56.61,0,0,0,0,4.6,4.64
22,Joe Webb,CAR,QB,2,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Joe Webb,CAR,QB,3,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Joe Webb,CAR,QB,4,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Chase Daniel,KC,QB,1,HOU,0,0,0,0,0,0,0,0,2,-2,-1,0,-0.2,-0.2
25,Derek Anderson,CAR,QB,3,ARI,0,0,0,0,0,0,0,0,2,-2,-1,0,-0.2,-0.2
27,Landry Jones,PIT,QB,1,CIN,2,5,40,11,2.2,0,1,8.33,0,0,0,0,-0.6,-0.56
28,Brian Hoyer,HOU,QB,1,KC,15,34,44.1,136,4,0,4,15.93,1,-1,-1,0,-0.7,-0.66
