Rank,Name,Team,Position,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Tom Brady,NE,QB,2,DEN,26,34,76.5,363,10.7,6,1,137.62,3,8,2.7,0,38.3,38.32
2,Drew Brees,NO,QB,2,SF,40,63,63.5,462,7.3,4,2,93.49,1,5,5,0,35,34.98
3,Tim Tebow,DEN,QB,1,PIT,10,21,47.6,316,15,2,0,125.6,10,50,5,1,31.6,31.64
4,Matthew Stafford,DET,QB,1,NO,28,43,65.1,380,8.8,3,2,97.04,2,1,0.5,1,31.3,31.3
5,Alex Smith,SF,QB,2,NO,24,42,57.1,299,7.1,3,0,103.17,1,28,28,1,30.8,30.76
6,Drew Brees,NO,QB,1,DET,33,43,76.7,466,10.8,3,0,134.45,4,-1,-0.2,0,28.5,28.54
7,Eli Manning,NYG,QB,2,GB,21,33,63.6,330,10,3,1,114.46,4,10,2.5,0,25.2,25.2
8,Eli Manning,NYG,QB,1,ATL,23,32,71.9,277,8.7,3,0,129.3,2,13,6.5,0,24.4,24.38
9,Aaron Rodgers,GB,QB,2,NYG,26,46,56.5,264,5.7,2,1,78.53,7,66,9.4,0,22.2,22.16
10,Joe Flacco,BAL,QB,3,NE,22,36,61.1,306,8.5,2,1,95.37,4,27,6.8,0,21.9,21.94
11,Eli Manning,NYG,QB,3,SF,32,58,55.2,316,5.4,2,0,82.26,1,-2,-2,0,20.4,20.44
12,Alex Smith,SF,QB,3,NYG,12,26,46.2,196,7.5,2,0,97.6,6,42,7,0,20,20.04
13,Tom Brady,NE,QB,4,NYG,27,41,65.9,276,6.7,2,1,91.11,0,0,0,0,18,18.04
14,Ben Roethlisberger,PIT,QB,1,DEN,22,40,55,289,7.2,1,1,75.94,3,15,5,0,16.1,16.06
15,Eli Manning,NYG,QB,4,NE,30,40,75,296,7.4,1,0,103.75,1,-1,-1,0,15.7,15.74
16,Joe Flacco,BAL,QB,2,HOU,14,27,51.9,176,6.5,2,0,97.15,2,-1,-0.5,0,14.9,14.94
17,Tom Brady,NE,QB,3,BAL,22,36,61.1,239,6.6,0,2,57.52,6,2,0.3,1,13.8,13.76
18,TJ Yates,HOU,QB,1,CIN,11,20,55,159,8,1,0,97.71,1,-2,-2,0,10.2,10.16
19,Andy Dalton,CIN,QB,1,HOU,27,42,64.3,257,6.1,0,3,51.39,3,17,5.7,0,9,8.98
20,Matt Ryan,ATL,QB,1,NYG,24,41,58.5,199,4.9,0,0,71.09,3,3,1,0,8.3,8.26
21,Tim Tebow,DEN,QB,2,NE,9,26,34.6,136,5.2,0,0,52.72,5,13,2.6,0,4.7,4.74
22,TJ Yates,HOU,QB,2,BAL,17,35,48.6,184,5.3,0,3,28.75,1,-1,-1,0,4.3,4.26
23,Chase Daniel,NO,QB,1,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chase Daniel,NO,QB,2,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
