Rank,Name,Team,Position,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Philip Rivers,LAC,QB,2,NE,25,51,49,331,6.5,3,1,81.41,0,0,0,0,26.2,26.24
2,Patrick Mahomes,KC,QB,3,NE,16,31,51.6,295,9.5,3,0,117,2,11,5.5,0,24.9,24.9
3,Dak Prescott,DAL,QB,2,LAR,20,32,62.5,266,8.3,1,0,99.22,2,3,1.5,1,22.9,22.94
4,Dak Prescott,DAL,QB,1,SEA,22,33,66.7,226,6.8,1,1,83.65,6,29,4.8,1,20.9,20.94
5,Russell Wilson,SEA,QB,1,DAL,18,27,66.7,233,8.6,1,0,105.94,3,14,4.7,1,20.7,20.72
6,Deshaun Watson,HOU,QB,1,IND,29,49,59.2,235,4.8,1,1,69.69,8,76,9.5,0,20,20
7,Drew Brees,NO,QB,2,PHI,28,38,73.7,301,7.9,2,1,103.07,3,0,0,0,19,19.04
8,Andrew Luck,IND,QB,1,HOU,19,32,59.4,222,6.9,2,1,88.28,8,29,3.6,0,18.8,18.78
9,Lamar Jackson,BAL,QB,1,LAC,14,29,48.3,194,6.7,2,1,78.81,9,54,6,0,18.2,18.16
10,Patrick Mahomes,KC,QB,2,IND,27,41,65.9,278,6.8,0,0,85.21,3,8,2.7,1,17.9,17.92
11,Tom Brady,NE,QB,2,LAC,34,44,77.3,343,7.8,1,0,106.53,2,-1,-0.5,0,17.6,17.62
12,Mitch Trubisky,CHI,QB,1,PHI,26,43,60.5,303,7,1,0,89.58,3,9,3,0,17,17.02
13,Drew Brees,NO,QB,3,LAR,26,40,65,249,6.2,2,1,88.44,2,-2,-1,0,16.8,16.76
14,Nick Foles,PHI,QB,1,CHI,25,40,62.5,266,6.6,2,2,77.71,1,-1,-1,0,16.5,16.54
15,Nick Foles,PHI,QB,2,NO,18,31,58.1,201,6.5,1,2,61.36,2,0,0,1,16,16.04
16,Jared Goff,LAR,QB,3,NO,25,40,62.5,297,7.4,1,1,83.02,3,10,3.3,0,15.9,15.88
17,Tom Brady,NE,QB,3,KC,30,46,65.2,348,7.6,1,2,77.08,1,-1,-1,0,15.8,15.82
18,Andrew Luck,IND,QB,2,KC,19,36,52.8,203,5.6,1,0,78.82,2,17,8.5,0,11.8,11.82
19,Philip Rivers,LAC,QB,1,BAL,22,32,68.8,160,5,0,0,80.21,3,15,5,0,9.9,9.9
20,Tom Brady,NE,QB,4,LAR,21,35,60,262,7.5,0,1,71.37,2,-2,-1,0,9.3,9.28
21,Jared Goff,LAR,QB,2,DAL,15,28,53.6,186,6.6,0,0,74.4,6,12,2,0,8.6,8.64
22,Jared Goff,LAR,QB,4,NE,19,38,50,229,6,0,1,57.89,0,0,0,0,8.2,8.16
23,Taysom Hill,NO,QB,3,LAR,0,1,0,0,0,0,0,39.58,1,0,0,0,6.7,6.7
24,Taysom Hill,NO,QB,2,PHI,0,0,0,0,0,0,0,0,2,8,4,0,0.8,0.8
25,Joe Webb,HOU,QB,1,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
