Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FanDuelSalary,FantasyPointsFanDuel
98,Keith Mumphery,HOU,WR,2,NE,2,9,4500,1.1
100,Wendall Williams,HOU,WR,2,NE,2,9,4500,1
101,Trevor Davis,GB,WR,3,ATL,29,19,4500,0.9
102,Eric Weems,ATL,WR,3,GB,23,32,4600,0.8
103,Eric Weems,ATL,WR,4,NE,2,9,4000,0.7
104,Demarcus Ayers,PIT,WR,2,KC,11,15,4500,0.5
105,Demarcus Robinson,KC,WR,2,PIT,9,4,4500,0.4
106,Eric Weems,ATL,WR,2,SEA,4,17,4500,0.3
106,Trevor Davis,GB,WR,2,DAL,14,11,4500,0.3
108,De'Anthony Thomas,KC,WR,2,PIT,9,4,4500,0.2
109,Frankie Hammond,KC,WR,2,PIT,9,4,null,0.1
110,Devin Hester,SEA,WR,1,DET,25,24,null,0
110,Dwayne Harris,NYG,WR,1,GB,23,32,4500,0
110,Markus Wheaton,PIT,WR,1,MIA,27,29,4500,0
110,Tavarres King,NYG,WR,1,GB,23,32,4500,0
110,Ryan Spadola,DET,WR,1,SEA,4,17,null,0
110,Rashad Ross,DET,WR,1,SEA,4,17,4500,0
110,Martavis Bryant,PIT,WR,1,MIA,27,29,null,0
110,TJ Jones,DET,WR,1,SEA,4,17,4500,0
110,Marcus Lucas,SEA,WR,1,DET,25,24,null,0
110,Kevin Norwood,NYG,WR,1,GB,23,32,null,0
110,Tyler Lockett,SEA,WR,1,DET,25,24,4900,0
110,Jaelen Strong,HOU,WR,1,OAK,22,14,4500,0
110,Tony Lippett,MIA,WR,1,PIT,9,4,null,0
110,Da'Ron Brown,MIA,WR,1,PIT,9,4,null,0
110,Antwan Goodley,GB,WR,1,NYG,5,7,null,0
110,Kasen Williams,SEA,WR,1,DET,25,24,null,0
110,Andrew Turzilli,DET,WR,1,SEA,4,17,null,0
110,Tyler Slavin,SEA,WR,1,DET,25,24,null,0
110,George Farmer,SEA,WR,1,DET,25,24,4500,0
110,Ben Edwards,NYG,WR,1,GB,23,32,null,0
110,Braxton Miller,HOU,WR,1,OAK,22,14,4500,0
110,Leonte Carroo,MIA,WR,1,PIT,9,4,4500,0
110,Trevor Davis,GB,WR,1,NYG,5,7,4500,0
110,Jakeem Grant,MIA,WR,1,PIT,9,4,4500,0
110,Demarcus Ayers,PIT,WR,1,MIA,27,29,4500,0
110,Kenny Lawler,SEA,WR,1,DET,25,24,null,0
110,Rashawn Scott,MIA,WR,1,PIT,9,4,4500,0
110,Johnny Holton,OAK,WR,1,HOU,3,5,4500,0
110,Devon Cajuste,GB,WR,1,NYG,5,7,null,0
110,Canaan Severin,PIT,WR,1,MIA,27,29,4500,0
110,Jace Billingsley,DET,WR,1,SEA,4,17,null,0
110,Herb Waters,GB,WR,1,NYG,5,7,null,0
110,Tevin Jones,HOU,WR,1,OAK,22,14,4500,0
110,Darius Powe,NYG,WR,1,GB,23,32,null,0
110,Quenton Bundrage,HOU,WR,1,OAK,22,14,null,0
110,Marcus Tucker,PIT,WR,1,MIA,27,29,null,0
110,KJ Brent,OAK,WR,1,HOU,3,5,null,0
110,Maxwell McCaffrey,GB,WR,1,NYG,5,7,null,0
110,Jaydon Mickens,OAK,WR,1,HOU,3,5,null,0
110,Matthew Slater,NE,WR,3,PIT,9,4,4500,0
110,Markus Wheaton,PIT,WR,3,NE,2,9,4500,0
110,Nick Williams,ATL,WR,3,GB,23,32,4500,0
110,Martavis Bryant,PIT,WR,3,NE,2,9,null,0
110,Antwan Goodley,GB,WR,3,ATL,29,19,null,0
110,Deandrew White,NE,WR,3,PIT,9,4,4500,0
110,Anthony Dable,ATL,WR,3,GB,23,32,null,0
110,Devin Lucien,NE,WR,3,PIT,9,4,null,0
110,Devin Fuller,ATL,WR,3,GB,23,32,null,0
110,Devon Cajuste,GB,WR,3,ATL,29,19,null,0
110,Canaan Severin,PIT,WR,3,NE,2,9,4500,0
110,Herb Waters,GB,WR,3,ATL,29,19,null,0
110,Marcus Tucker,PIT,WR,3,NE,2,9,null,0
110,Maxwell McCaffrey,GB,WR,3,ATL,29,19,null,0
110,Jordy Nelson,GB,WR,2,DAL,14,11,8100,0
110,Matthew Slater,NE,WR,2,HOU,3,5,4500,0
110,Markus Wheaton,PIT,WR,2,KC,11,15,4500,0
110,Nick Williams,ATL,WR,2,SEA,4,17,4500,0
110,Shaquelle Evans,DAL,WR,2,GB,23,32,4500,0
110,Martavis Bryant,PIT,WR,2,KC,11,15,null,0
110,Marcus Lucas,SEA,WR,2,ATL,29,19,null,0
110,Seantavious Jones,KC,WR,2,PIT,9,4,null,0
110,Tyler Lockett,SEA,WR,2,ATL,29,19,4900,0
110,Jaelen Strong,HOU,WR,2,NE,2,9,4500,0
110,Antwan Goodley,GB,WR,2,DAL,14,11,null,0
110,Kasen Williams,SEA,WR,2,ATL,29,19,null,0
110,Lucky Whitehead,DAL,WR,2,GB,23,32,4500,0
110,Deandrew White,NE,WR,2,HOU,3,5,4500,0
110,Kenny Cook,KC,WR,2,PIT,9,4,null,0
110,Tyler Slavin,SEA,WR,2,ATL,29,19,null,0
110,George Farmer,SEA,WR,2,ATL,29,19,4500,0
110,Anthony Dable,ATL,WR,2,SEA,4,17,null,0
110,Braxton Miller,HOU,WR,2,NE,2,9,4500,0
110,Devin Lucien,NE,WR,2,HOU,3,5,null,0
110,Devin Fuller,ATL,WR,2,SEA,4,17,null,0
110,Kenny Lawler,SEA,WR,2,ATL,29,19,null,0
110,Chris Brown,DAL,WR,2,GB,23,32,4500,0
110,Devon Cajuste,GB,WR,2,DAL,14,11,null,0
110,Canaan Severin,PIT,WR,2,KC,11,15,4500,0
110,Andy Jones,DAL,WR,2,GB,23,32,null,0
110,Herb Waters,GB,WR,2,DAL,14,11,null,0
110,Tevin Jones,HOU,WR,2,NE,2,9,4500,0
110,Quenton Bundrage,HOU,WR,2,NE,2,9,null,0
110,Marcus Tucker,PIT,WR,2,KC,11,15,null,0
110,Maxwell McCaffrey,GB,WR,2,DAL,14,11,null,0
110,Matthew Slater,NE,WR,4,ATL,29,19,4000,0
110,Nick Williams,ATL,WR,4,NE,2,9,4500,0
110,Deandrew White,NE,WR,4,ATL,29,19,4500,0
110,Anthony Dable,ATL,WR,4,NE,2,9,null,0
110,Devin Lucien,NE,WR,4,ATL,29,19,null,0
110,Devin Fuller,ATL,WR,4,NE,2,9,null,0
