Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FanDuelSalary,FantasyPointsFanDuel
1,DeAndre Hopkins,HOU,WR,1,KC,null,null,8800,22.2
2,Antonio Brown,PIT,WR,1,CIN,null,null,9500,22.1
3,Antonio Brown,PIT,WR,2,DEN,null,null,9100,21.1
4,Demaryius Thomas,DEN,WR,2,PIT,null,null,8100,19.6
5,AJ Green,CIN,WR,1,PIT,null,null,8300,19.4
6,Demaryius Thomas,DEN,WR,3,NE,null,null,7600,19
6,Demaryius Thomas,DEN,WR,4,CAR,null,null,null,19
8,Martavis Bryant,PIT,WR,2,DEN,null,null,7100,17.2
9,Larry Fitzgerald,ARI,WR,2,GB,null,null,7900,17.1
10,Randall Cobb,GB,WR,1,WAS,null,null,6500,15.6
11,Emmanuel Sanders,DEN,WR,2,PIT,null,null,7700,15.4
12,Martavis Bryant,PIT,WR,1,CIN,null,null,6900,14.8
13,Julian Edelman,NE,WR,2,KC,null,null,7800,11.1
14,Jeremy Maclin,KC,WR,2,NE,null,null,7000,10.9
15,Doug Baldwin,SEA,WR,1,MIN,null,null,7300,10.5
16,James Jones,GB,WR,1,WAS,null,null,5700,10.3
16,Jeremy Maclin,KC,WR,1,HOU,null,null,7200,10.3
18,Larry Fitzgerald,ARI,WR,3,CAR,null,null,8000,10.2
19,Michael Floyd,ARI,WR,3,CAR,null,null,7500,9.7
20,Julian Edelman,NE,WR,3,DEN,null,null,7800,9.3
21,Doug Baldwin,SEA,WR,2,CAR,null,null,7400,9.2
22,Emmanuel Sanders,DEN,WR,3,NE,null,null,7400,9.1
22,Emmanuel Sanders,DEN,WR,4,CAR,null,null,null,9.1
24,Randall Cobb,GB,WR,2,ARI,null,null,6600,8.8
25,Danny Amendola,NE,WR,2,KC,null,null,6200,8.5
26,Michael Floyd,ARI,WR,2,GB,null,null,6500,8.4
27,John Brown,ARI,WR,2,GB,null,null,6700,8.3
28,Jermaine Kearse,SEA,WR,1,MIN,null,null,6000,7.6
28,James Jones,GB,WR,2,ARI,null,null,6500,7.6
28,Danny Amendola,NE,WR,3,DEN,null,null,6000,7.6
31,Pierre Garcon,WAS,WR,1,GB,null,null,6300,7.5
32,Ted Ginn,CAR,WR,3,ARI,null,null,6200,7.4
32,John Brown,ARI,WR,3,CAR,null,null,6500,7.4
32,Ted Ginn,CAR,WR,4,DEN,null,null,null,7.4
35,Mohamed Sanu,CIN,WR,1,PIT,null,null,5100,7.3
35,Ted Ginn,CAR,WR,2,SEA,null,null,6500,7.3
37,Jermaine Kearse,SEA,WR,2,CAR,null,null,5800,7.2
37,Markus Wheaton,PIT,WR,2,DEN,null,null,6000,7.2
39,Nate Washington,HOU,WR,1,KC,null,null,5300,7
39,Jamison Crowder,WAS,WR,1,GB,null,null,4700,7
41,Marvin Jones,CIN,WR,1,PIT,null,null,5500,6.6
42,Stefon Diggs,MIN,WR,1,SEA,null,null,5800,6.2
43,Davante Adams,GB,WR,1,WAS,null,null,5300,5.8
44,Davante Adams,GB,WR,2,ARI,null,null,5400,5.6
45,Tyler Lockett,SEA,WR,2,CAR,null,null,6200,5.4
