Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FanDuelSalary,FantasyPointsFanDuel
1,Julio Jones,ATL,WR,2,PHI,5,21,8500,18.4
2,Brandin Cooks,NE,WR,3,JAX,2,1,7000,17.4
3,Michael Thomas,NO,WR,1,CAR,15,27,8300,17.3
4,Tyreek Hill,KC,WR,1,TEN,19,19,7700,17.1
5,Brandin Cooks,NE,WR,2,TEN,19,19,7700,16.8
6,Stefon Diggs,MIN,WR,3,PHI,5,21,6700,14.9
7,Alshon Jeffery,PHI,WR,2,ATL,10,11,7300,13.8
8,JuJu Smith-Schuster,PIT,WR,2,JAX,2,1,6900,13.7
9,Alshon Jeffery,PHI,WR,3,MIN,1,8,7300,13.4
10,Devin Funchess,CAR,WR,1,NO,13,19,7000,13.3
11,Chris Hogan,NE,WR,4,PHI,5,21,7100,13.1
12,Alshon Jeffery,PHI,WR,4,NE,20,29,7500,12.9
13,Nelson Agholor,PHI,WR,4,NE,20,29,6400,12.8
14,Julio Jones,ATL,WR,1,LAR,14,10,8500,12
15,Sammy Watkins,LAR,WR,1,ATL,10,11,6700,11.5
15,Michael Thomas,NO,WR,2,MIN,1,8,8100,11.5
17,Adam Thielen,MIN,WR,3,PHI,5,21,7400,10.3
18,Adam Thielen,MIN,WR,2,NO,13,19,7500,10.1
19,Stefon Diggs,MIN,WR,2,NO,13,19,7200,9.7
20,Brandin Cooks,NE,WR,4,PHI,5,21,7900,9.4
21,Robert Woods,LAR,WR,1,ATL,10,11,7400,9
21,Antonio Brown,PIT,WR,2,JAX,2,1,8400,9
23,Cooper Kupp,LAR,WR,1,ATL,10,11,6600,7.8
24,Ted Ginn,NO,WR,1,CAR,15,27,5900,7.7
24,Rishard Matthews,TEN,WR,1,KC,21,32,5500,7.7
26,Mohamed Sanu,ATL,WR,1,LAR,14,10,5800,7.2
27,Marqise Lee,JAX,WR,1,BUF,16,6,6400,7
27,Marqise Lee,JAX,WR,2,PIT,6,12,6000,7
27,Dede Westbrook,JAX,WR,2,PIT,6,12,5900,7
30,Allen Hurns,JAX,WR,1,BUF,16,6,5400,6.8
30,Dede Westbrook,JAX,WR,1,BUF,16,6,6100,6.8
