Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FanDuelSalary,FantasyPointsFanDuel
1,Antonio Brown,PIT,WR,11,CLE,32,31,8900,19.73
2,Julio Jones,ATL,WR,3,NO,26,29,9300,19.68
3,Antonio Brown,PIT,WR,1,WAS,24,29,9300,19.17
4,Julio Jones,ATL,WR,1,TB,21,25,9000,18.7
5,Odell Beckham Jr,NYG,WR,3,WAS,28,26,8900,18.37
6,Antonio Brown,PIT,WR,12,IND,29,19,8800,18.36
7,Julio Jones,ATL,WR,2,OAK,30,32,9300,18.35
8,AJ Green,CIN,WR,4,MIA,21,26,8100,18.09
9,Antonio Brown,PIT,WR,2,CIN,15,18,9200,17.98
10,Antonio Brown,PIT,WR,13,NYG,8,12,9000,17.79
11,Mike Evans,TB,WR,14,NO,27,19,8900,17.71
12,AJ Green,CIN,WR,11,BUF,14,13,8200,17.69
13,Odell Beckham Jr,NYG,WR,2,NO,28,29,9400,17.6
14,Mike Evans,TB,WR,10,CHI,14,32,8500,17.53
15,Antonio Brown,PIT,WR,14,BUF,16,13,8800,17.29
16,Julio Jones,ATL,WR,8,GB,11,21,9200,17.27
17,Odell Beckham Jr,NYG,WR,12,CLE,31,26,9000,17.26
18,Antonio Brown,PIT,WR,5,NYJ,22,22,9600,17.14
19,Antonio Brown,PIT,WR,6,MIA,24,29,9700,17.09
20,Mike Evans,TB,WR,8,OAK,26,27,7900,17.08
21,Antonio Brown,PIT,WR,4,KC,5,7,9400,17.03
22,Odell Beckham Jr,NYG,WR,14,DAL,18,18,8500,17
23,Antonio Brown,PIT,WR,3,PHI,1,6,9500,16.93
24,AJ Green,CIN,WR,7,CLE,31,21,8500,16.84
25,Odell Beckham Jr,NYG,WR,11,CHI,16,32,9000,16.79
26,Odell Beckham Jr,NYG,WR,1,DAL,14,7,9100,16.77
27,Julio Jones,ATL,WR,7,LAC,22,16,9200,16.68
28,Mike Evans,TB,WR,16,NO,29,14,8900,16.61
29,Antonio Brown,PIT,WR,15,CIN,17,4,8500,16.54
30,AJ Green,CIN,WR,8,WAS,15,14,8500,16.51
31,Mike Evans,TB,WR,13,LAC,21,14,8500,16.47
32,Julio Jones,ATL,WR,13,KC,16,31,8300,16.46
32,Antonio Brown,PIT,WR,10,DAL,8,8,8600,16.46
34,Antonio Brown,PIT,WR,16,BAL,5,22,8300,16.27
35,DeAndre Hopkins,HOU,WR,3,NE,20,27,7900,16.14
36,T.Y. Hilton,IND,WR,11,TEN,19,20,7900,16.08
37,DeAndre Hopkins,HOU,WR,6,IND,25,12,8100,16.07
38,Mike Evans,TB,WR,17,CAR,27,22,8400,16.04
39,Julio Jones,ATL,WR,10,PHI,7,14,8800,15.97
40,Mike Evans,TB,WR,15,DAL,11,15,8200,15.94
40,DeAndre Hopkins,HOU,WR,1,CHI,17,10,8400,15.94
