Rank,Name,Team,Position,Week,Opponent,TacklesForLoss,Sacks,QuarterbackHits,Interceptions,FumblesRecovered,Safeties,DefensiveTouchdowns,SpecialTeamsTouchdowns,PointsAllowedByDefenseSpecialTeams,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Pittsburgh Steelers,PIT,DST,1,MIA,10,5,9,1,2,0,0,0,6,18,18
2,New England Patriots,NE,DST,2,HOU,3,3,6,3,0,0,0,1,16,16,16
3,Atlanta Falcons,ATL,DST,4,NE,9,5,9,1,1,0,1,0,34,14,14
4,Houston Texans,HOU,DST,1,OAK,7,3,3,3,0,0,0,0,14,10,10
4,Seattle Seahawks,SEA,DST,1,DET,6,3,5,0,0,0,0,0,6,10,10
4,Green Bay Packers,GB,DST,1,NYG,2,2,4,1,1,0,0,0,13,10,10
4,Atlanta Falcons,ATL,DST,2,SEA,6,3,7,2,0,1,0,0,20,10,10
8,Houston Texans,HOU,DST,2,NE,3,2,8,2,1,0,0,0,34,7,7
8,New England Patriots,NE,DST,4,ATL,8,5,12,0,1,0,0,0,22,7,7
10,Pittsburgh Steelers,PIT,DST,2,KC,5,1,5,1,1,0,0,0,16,6,6
10,Atlanta Falcons,ATL,DST,3,GB,6,2,7,1,1,0,0,0,21,6,6
12,New England Patriots,NE,DST,3,PIT,3,0,1,1,1,0,0,0,17,5,5
13,Miami Dolphins,MIA,DST,1,PIT,6,1,2,2,0,0,0,0,30,4,4
13,Dallas Cowboys,DAL,DST,2,GB,6,3,5,1,0,0,0,0,34,4,4
13,Kansas City Chiefs,KC,DST,2,PIT,4,1,2,1,0,0,0,0,18,4,4
16,Detroit Lions,DET,DST,1,SEA,6,3,9,0,0,0,0,0,26,3,3
16,Green Bay Packers,GB,DST,2,DAL,3,2,4,1,0,0,0,0,31,3,3
18,Seattle Seahawks,SEA,DST,2,ATL,5,3,8,0,0,0,0,0,34,2,2
19,New York Giants,NYG,DST,1,GB,6,5,5,0,0,0,0,0,38,1,1
20,Oakland Raiders,OAK,DST,1,HOU,5,0,0,0,0,0,0,0,27,0,0
21,Pittsburgh Steelers,PIT,DST,3,NE,6,2,3,0,0,0,0,0,36,-2,-2
22,Green Bay Packers,GB,DST,3,ATL,3,0,6,0,0,0,0,0,44,-4,-4
