Rank,Name,Team,Position,Week,Opponent,TacklesForLoss,Sacks,QuarterbackHits,Interceptions,FumblesRecovered,Safeties,DefensiveTouchdowns,SpecialTeamsTouchdowns,PointsAllowedByDefenseSpecialTeams,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Denver Broncos,DEN,DST,2,BAL,0,1,3,0,1,0,0,2,32,14,14
2,Green Bay Packers,GB,DST,1,MIN,4,3,6,1,2,0,0,0,10,13,13
3,Baltimore Ravens,BAL,DST,4,SF,4,3,4,1,1,0,0,1,29,12,12
4,Baltimore Ravens,BAL,DST,1,IND,3,3,10,1,1,0,0,0,9,11,11
4,Baltimore Ravens,BAL,DST,2,DEN,3,3,5,2,1,0,1,0,35,11,11
6,Baltimore Ravens,BAL,DST,3,NE,0,0,7,2,1,0,0,0,13,10,10
7,Cincinnati Bengals,CIN,DST,1,HOU,2,0,2,1,0,0,1,0,19,9,9
8,Houston Texans,HOU,DST,1,CIN,5,2,3,1,0,0,0,0,7,8,8
9,Seattle Seahawks,SEA,DST,1,WAS,3,2,4,1,1,0,0,0,14,7,7
9,Washington Redskins,WAS,DST,1,SEA,4,5,7,0,1,0,0,0,24,7,7
11,Indianapolis Colts,IND,DST,1,BAL,1,1,2,0,2,0,0,0,24,5,5
11,Atlanta Falcons,ATL,DST,2,SEA,3,2,4,1,1,0,0,0,28,5,5
11,Green Bay Packers,GB,DST,2,SF,2,1,2,1,0,0,1,0,45,5,5
11,San Francisco 49ers,SF,DST,2,GB,1,1,3,1,1,0,0,0,25,5,5
11,San Francisco 49ers,SF,DST,3,ATL,1,1,4,1,1,0,0,0,24,5,5
11,San Francisco 49ers,SF,DST,4,BAL,5,2,7,0,1,1,0,0,34,5,5
17,Minnesota Vikings,MIN,DST,1,GB,7,3,5,0,0,0,0,0,24,3,3
17,Seattle Seahawks,SEA,DST,2,ATL,3,0,1,2,0,0,0,0,30,3,3
19,New England Patriots,NE,DST,2,HOU,4,1,3,1,0,0,0,0,28,2,2
19,Atlanta Falcons,ATL,DST,3,SF,3,1,1,0,1,0,0,0,28,2,2
21,New England Patriots,NE,DST,3,BAL,3,2,5,0,0,0,0,0,28,1,1
22,Houston Texans,HOU,DST,2,NE,3,1,7,0,0,0,0,0,41,-3,-3
