Rank,Name,Team,Position,Week,Opponent,TacklesForLoss,Sacks,QuarterbackHits,Interceptions,FumblesRecovered,Safeties,DefensiveTouchdowns,SpecialTeamsTouchdowns,PointsAllowedByDefenseSpecialTeams,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Philadelphia Eagles,PHI,DST,3,MIN,1,1,8,2,1,0,1,0,7,17,17
2,Jacksonville Jaguars,JAX,DST,1,BUF,6,2,6,2,0,0,0,0,3,13,13
3,Atlanta Falcons,ATL,DST,1,LAR,5,3,6,0,2,0,0,0,13,11,11
4,New England Patriots,NE,DST,2,TEN,8,8,10,0,0,0,0,0,14,9,9
5,Jacksonville Jaguars,JAX,DST,2,PIT,6,2,7,1,1,0,1,0,42,8,8
6,Philadelphia Eagles,PHI,DST,2,ATL,8,3,11,0,0,0,0,0,10,7,7
7,Kansas City Chiefs,KC,DST,1,TEN,4,2,3,1,1,0,0,0,22,6,6
7,Buffalo Bills,BUF,DST,1,JAX,6,2,5,0,0,0,0,0,10,6,6
7,Atlanta Falcons,ATL,DST,2,PHI,5,1,4,0,2,0,0,0,15,6,6
7,Minnesota Vikings,MIN,DST,2,NO,4,2,3,2,0,0,0,0,24,6,6
11,Jacksonville Jaguars,JAX,DST,3,NE,6,3,7,0,1,0,0,0,24,5,5
12,Tennessee Titans,TEN,DST,1,KC,4,4,5,0,0,0,0,0,21,4,4
12,New Orleans Saints,NO,DST,1,CAR,6,4,6,0,0,0,0,0,26,4,4
12,New England Patriots,NE,DST,3,JAX,5,3,8,0,0,0,0,0,20,4,4
15,Los Angeles Rams,LAR,DST,1,ATL,5,3,7,0,0,0,0,0,26,3,3
15,New Orleans Saints,NO,DST,2,MIN,3,2,8,1,0,0,0,0,29,3,3
17,Carolina Panthers,CAR,DST,1,NO,5,1,4,1,0,0,0,0,31,2,2
17,Philadelphia Eagles,PHI,DST,4,NE,1,1,9,0,1,0,0,0,33,2,2
19,Minnesota Vikings,MIN,DST,3,PHI,4,1,5,0,0,0,0,0,32,0,0
20,New England Patriots,NE,DST,4,PHI,5,0,5,1,0,0,0,0,41,-2,-2
21,Tennessee Titans,TEN,DST,2,NE,3,0,4,0,0,0,0,0,35,-4,-4
21,Pittsburgh Steelers,PIT,DST,2,JAX,0,0,4,0,0,0,0,0,39,-4,-4
