Rank,Name,Team,Position,Week,Opponent,TacklesForLoss,Sacks,QuarterbackHits,Interceptions,FumblesRecovered,Safeties,DefensiveTouchdowns,SpecialTeamsTouchdowns,PointsAllowedByDefenseSpecialTeams,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Seattle Seahawks,SEA,DST,4,DEN,6,1,4,2,2,1,1,1,8,27,27
2,Los Angeles Chargers,LAC,DST,1,CIN,5,3,6,2,2,0,0,0,10,15,15
3,San Francisco 49ers,SF,DST,2,CAR,3,5,9,2,0,0,0,0,10,13,13
4,New England Patriots,NE,DST,2,IND,4,3,10,4,0,0,0,0,20,12,12
5,Seattle Seahawks,SEA,DST,3,SF,2,2,1,2,1,0,0,0,17,9,9
6,Philadelphia Eagles,PHI,DST,1,NO,1,2,3,2,0,0,0,0,26,6,6
6,San Francisco 49ers,SF,DST,3,SEA,4,4,10,0,1,0,0,0,23,6,6
8,Green Bay Packers,GB,DST,1,SF,5,3,2,1,0,0,0,0,23,5,5
8,Kansas City Chiefs,KC,DST,1,IND,1,1,4,3,1,0,0,0,45,5,5
8,San Francisco 49ers,SF,DST,1,GB,4,4,6,0,0,0,0,0,20,5,5
8,Denver Broncos,DEN,DST,2,LAC,4,4,5,0,0,0,0,0,17,5,5
12,Los Angeles Chargers,LAC,DST,2,DEN,2,0,1,1,1,0,0,0,24,4,4
12,Seattle Seahawks,SEA,DST,2,NO,3,1,3,0,1,0,0,0,15,4,4
14,New Orleans Saints,NO,DST,2,SEA,3,3,2,0,0,0,0,0,23,3,3
14,Denver Broncos,DEN,DST,3,NE,3,2,3,0,0,0,0,0,16,3,3
16,New Orleans Saints,NO,DST,1,PHI,3,2,3,0,0,0,0,0,24,2,2
17,Cincinnati Bengals,CIN,DST,1,LAC,1,1,4,0,0,0,0,0,27,1,1
17,Carolina Panthers,CAR,DST,2,SF,6,1,6,0,0,0,0,0,23,1,1
19,Indianapolis Colts,IND,DST,1,KC,4,2,5,0,1,0,0,0,44,0,0
19,Indianapolis Colts,IND,DST,2,NE,4,2,4,0,0,1,0,0,43,0,0
19,New England Patriots,NE,DST,3,DEN,3,0,0,0,0,0,0,0,26,0,0
22,Denver Broncos,DEN,DST,4,SEA,3,0,0,0,0,0,0,0,35,-4,-4
