Rank,Name,Team,Position,Week,Opponent,TacklesForLoss,Sacks,QuarterbackHits,Interceptions,FumblesRecovered,Safeties,DefensiveTouchdowns,SpecialTeamsTouchdowns,PointsAllowedByDefenseSpecialTeams,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Kansas City Chiefs,KC,DST,1,HOU,2,3,2,4,1,0,0,1,0,29,29
2,Denver Broncos,DEN,DST,4,CAR,5,7,13,1,3,0,1,0,10,25,25
3,Carolina Panthers,CAR,DST,3,ARI,3,3,6,4,3,0,1,0,15,24,24
4,Carolina Panthers,CAR,DST,2,SEA,2,5,14,2,0,0,1,0,24,15,15
5,Pittsburgh Steelers,PIT,DST,1,CIN,5,3,7,1,4,0,0,0,16,14,14
6,Seattle Seahawks,SEA,DST,1,MIN,7,3,7,0,3,0,0,0,9,13,13
7,Carolina Panthers,CAR,DST,4,DEN,8,5,5,1,1,0,0,0,18,10,10
8,Denver Broncos,DEN,DST,3,NE,3,4,17,2,0,0,0,0,18,9,9
8,Cincinnati Bengals,CIN,DST,1,PIT,4,4,6,1,1,0,0,0,18,9,9
8,Green Bay Packers,GB,DST,1,WAS,6,6,9,0,1,0,0,0,16,9,9
11,Minnesota Vikings,MIN,DST,1,SEA,5,2,7,1,0,0,0,0,10,8,8
12,Green Bay Packers,GB,DST,2,ARI,5,3,5,2,0,0,0,0,26,7,7
13,Denver Broncos,DEN,DST,2,PIT,5,3,3,0,1,0,0,0,16,6,6
13,New England Patriots,NE,DST,3,DEN,8,3,4,0,1,0,0,0,20,6,6
15,New England Patriots,NE,DST,2,KC,3,1,5,0,1,0,0,0,20,4,4
15,Arizona Cardinals,ARI,DST,2,GB,5,1,2,1,0,0,0,0,20,4,4
15,Houston Texans,HOU,DST,1,KC,4,3,4,1,0,0,0,0,30,4,4
18,Pittsburgh Steelers,PIT,DST,2,DEN,7,1,3,0,1,0,0,0,23,3,3
19,Seattle Seahawks,SEA,DST,2,CAR,3,1,1,0,0,0,0,0,25,1,1
19,Washington Redskins,WAS,DST,1,GB,4,1,2,0,1,1,0,0,35,1,1
21,Kansas City Chiefs,KC,DST,2,NE,2,0,1,0,0,0,0,0,27,0,0
22,Arizona Cardinals,ARI,DST,3,CAR,3,1,2,1,0,0,0,0,43,-1,-1
