Rank,Name,Team,Position,Week,Opponent,TacklesForLoss,Sacks,QuarterbackHits,Interceptions,FumblesRecovered,Safeties,DefensiveTouchdowns,SpecialTeamsTouchdowns,PointsAllowedByDefenseSpecialTeams,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Houston Texans,HOU,DST,1,CIN,8,4,5,3,0,0,1,0,10,20,20
2,New York Giants,NYG,DST,2,GB,4,4,5,1,3,0,0,0,20,13,13
3,New York Giants,NYG,DST,1,ATL,5,2,7,0,0,0,0,0,0,12,12
3,Baltimore Ravens,BAL,DST,2,HOU,2,0,2,3,1,0,0,0,13,12,12
3,San Francisco 49ers,SF,DST,2,NO,5,3,11,2,3,0,0,0,32,12,12
6,New England Patriots,NE,DST,2,DEN,10,5,8,0,1,0,0,0,10,11,11
7,New York Giants,NYG,DST,3,SF,5,3,6,0,2,0,0,0,17,8,8
8,Denver Broncos,DEN,DST,1,PIT,6,5,6,1,0,0,0,0,23,7,7
8,Baltimore Ravens,BAL,DST,3,NE,2,1,3,2,1,0,0,0,23,7,7
8,San Francisco 49ers,SF,DST,3,NYG,5,6,12,0,0,0,0,0,20,7,7
8,New York Giants,NYG,DST,4,NE,5,2,8,1,0,1,0,0,17,7,7
12,Houston Texans,HOU,DST,2,BAL,6,5,6,0,0,0,0,0,20,6,6
12,New England Patriots,NE,DST,3,BAL,5,3,7,1,0,0,0,0,20,6,6
14,New England Patriots,NE,DST,4,NYG,3,3,6,0,0,0,0,0,19,4,4
15,Atlanta Falcons,ATL,DST,1,NYG,6,1,5,0,0,1,0,0,24,3,3
15,New Orleans Saints,NO,DST,1,DET,1,0,5,2,0,0,0,0,28,3,3
17,Cincinnati Bengals,CIN,DST,1,HOU,2,2,3,0,0,0,0,0,25,2,2
17,Detroit Lions,DET,DST,1,NO,3,2,4,0,2,0,0,0,45,2,2
17,New Orleans Saints,NO,DST,2,SF,5,4,7,0,1,0,0,0,36,2,2
20,Pittsburgh Steelers,PIT,DST,1,DEN,1,0,0,0,1,0,0,0,29,1,1
20,Green Bay Packers,GB,DST,2,NYG,6,1,7,1,0,0,0,0,37,1,1
22,Denver Broncos,DEN,DST,2,NE,1,0,2,1,1,0,0,0,45,0,0
