Rank,Name,Team,Position,Week,Opponent,TacklesForLoss,Sacks,QuarterbackHits,Interceptions,FumblesRecovered,Safeties,DefensiveTouchdowns,SpecialTeamsTouchdowns,PointsAllowedByDefenseSpecialTeams,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Los Angeles Chargers,LAC,DST,1,BAL,9,7,10,1,2,0,0,0,17,14,14
2,New England Patriots,NE,DST,4,LAR,7,4,12,1,0,0,0,0,3,13,13
2,Indianapolis Colts,IND,DST,2,KC,8,4,7,0,1,0,0,1,31,13,13
4,Indianapolis Colts,IND,DST,1,HOU,3,3,8,1,0,0,0,0,7,9,9
4,Kansas City Chiefs,KC,DST,2,IND,5,3,6,0,1,0,0,0,13,9,9
6,Los Angeles Rams,LAR,DST,4,NE,2,1,4,1,0,0,0,0,13,7,7
7,Chicago Bears,CHI,DST,1,PHI,7,1,5,2,0,0,0,0,16,6,6
8,New England Patriots,NE,DST,2,LAC,4,2,7,1,1,0,0,0,28,5,5
8,Philadelphia Eagles,PHI,DST,2,NO,5,2,6,1,0,0,0,0,20,5,5
8,New Orleans Saints,NO,DST,2,PHI,0,0,4,2,0,0,0,0,14,5,5
8,Baltimore Ravens,BAL,DST,1,LAC,7,1,8,0,1,0,0,0,23,5,5
12,Los Angeles Rams,LAR,DST,3,NO,6,2,7,1,0,0,0,0,23,4,4
13,Seattle Seahawks,SEA,DST,1,DAL,2,1,4,1,0,0,0,0,24,3,3
13,Philadelphia Eagles,PHI,DST,1,CHI,7,2,6,0,0,0,0,0,15,3,3
13,New Orleans Saints,NO,DST,3,LAR,6,1,6,1,0,0,0,0,26,3,3
13,New England Patriots,NE,DST,3,KC,5,4,10,0,0,0,0,0,31,3,3
17,Houston Texans,HOU,DST,1,IND,1,0,4,1,0,0,0,0,21,2,2
18,Dallas Cowboys,DAL,DST,1,SEA,6,1,3,0,0,0,0,0,22,1,1
18,Los Angeles Rams,LAR,DST,2,DAL,6,1,3,0,0,0,0,0,22,1,1
20,Kansas City Chiefs,KC,DST,3,NE,0,0,1,2,0,0,0,0,37,0,0
21,Dallas Cowboys,DAL,DST,2,LAR,2,0,1,0,0,0,0,0,30,-1,-1
22,Los Angeles Chargers,LAC,DST,2,NE,6,0,2,0,0,0,0,0,41,-4,-4
