Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Rob Gronkowski,NE,TE,1,PIT,8,5,62.5,94,3,52,11.8,18.8,0,0,0,0,0,0,29.9,29.9
2,Greg Olsen,CAR,TE,3,NO,11,8,72.7,134,2,52,12.2,16.8,0,0,0,0,0,0,29.4,29.4
2,Jordan Reed,WAS,TE,16,PHI,11,9,81.8,129,2,28,11.7,14.3,0,0,0,0,0,0,29.4,29.4
4,Delanie Walker,TEN,TE,9,NO,8,7,87.5,95,2,61,11.9,13.6,0,0,0,0,0,0,27,27
5,Tyler Eifert,CIN,TE,1,OAK,12,9,75,104,2,31,8.7,11.6,0,0,0,0,0,0,26.9,26.9
6,Tyler Eifert,CIN,TE,9,CLE,6,5,83.3,53,3,19,8.8,10.6,0,0,0,0,0,0,25.8,25.8
7,Antonio Gates,LAC,TE,5,PIT,11,9,81.8,92,2,12,8.4,10.2,0,0,0,0,0,0,25.7,25.7
8,Travis Kelce,KC,TE,1,HOU,6,6,100,106,2,42,17.7,17.7,0,0,0,0,0,0,25.6,25.6
9,Austin Seferian-Jenkins,TB,TE,1,TEN,7,5,71.4,110,2,41,15.7,22,0,0,0,0,0,0,25.5,25.5
10,Zach Miller,CHI,TE,10,LAR,5,5,100,107,2,87,21.4,21.4,0,0,0,0,0,0,25.2,25.2
10,Benjamin Watson,NO,TE,8,NYG,10,9,90,147,1,46,14.7,16.3,0,0,0,0,0,0,25.2,25.2
12,Tyler Eifert,CIN,TE,5,SEA,12,8,66.7,90,2,25,7.5,11.2,0,0,0,0,0,0,25,25
13,Jordan Reed,WAS,TE,7,TB,13,11,84.6,72,2,13,5.5,6.5,0,0,0,0,0,0,24.7,24.7
14,Richard Rodgers,GB,TE,13,DET,8,8,100,146,1,61,18.2,18.2,0,0,0,0,0,0,24.6,24.6
15,Jordan Reed,WAS,TE,15,BUF,7,7,100,84,2,24,12,12,0,0,0,0,0,0,23.9,23.9
15,Gary Barnidge,CLE,TE,5,BAL,10,8,80,139,1,35,13.9,17.4,0,0,0,0,0,0,23.9,23.9
17,Benjamin Watson,NO,TE,6,ATL,12,10,83.3,127,1,28,10.6,12.7,0,0,0,0,0,0,23.7,23.7
18,Crockett Gillmore,BAL,TE,2,OAK,6,5,83.3,88,2,38,14.7,17.6,0,0,0,0,0,0,23.3,23.3
