Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
48,Vernon Davis,SF,TE,15,PIT,10,6,60,72,1,31,7.2,12,0,0,0,0,0,0,16.2,16.2
49,Owen Daniels,HOU,TE,3,NO,9,5,55.6,76,1,23,8.4,15.2,0,0,0,0,0,0,16.1,16.1
49,Tony Gonzalez,ATL,TE,10,NO,10,6,60,71,1,20,7.1,11.8,0,0,0,0,0,0,16.1,16.1
51,Jason Witten,DAL,TE,11,WAS,3,3,100,85,1,59,28.3,28.3,0,0,0,0,1,0,16,16
52,Tony Gonzalez,ATL,TE,11,TEN,6,5,83.3,74,1,19,12.3,14.8,0,0,0,0,0,0,15.9,15.9
52,Jimmy Graham,NO,TE,6,TB,11,7,63.6,124,0,43,11.3,17.7,0,0,0,0,0,0,15.9,15.9
52,Jermichael Finley,GB,TE,17,DET,8,7,87.5,64,1,16,8,9.1,0,0,0,0,0,0,15.9,15.9
55,Vernon Davis,SF,TE,17,LAR,9,8,88.9,118,0,44,13.1,14.8,0,0,0,0,0,0,15.8,15.8
56,Aaron Hernandez,NE,TE,2,LAC,8,7,87.5,62,1,16,7.8,8.9,0,0,0,0,0,0,15.7,15.7
57,Owen Daniels,HOU,TE,4,PIT,7,5,71.4,69,1,30,9.9,13.8,0,0,0,0,0,0,15.4,15.4
58,Greg Olsen,CAR,TE,8,MIN,7,4,57.1,73,1,39,10.4,18.2,0,0,0,0,0,0,15.3,15.3
58,Jermaine Gresham,CIN,TE,12,CLE,9,5,55.6,68,1,22,7.6,13.6,0,0,0,0,0,0,15.3,15.3
60,Vernon Davis,SF,TE,11,ARI,10,5,50,67,1,27,6.7,13.4,0,0,0,0,0,0,15.2,15.2
60,Dennis Pitta,BAL,TE,17,CIN,7,6,85.7,62,1,39,8.9,10.3,0,0,0,0,0,0,15.2,15.2
60,Vernon Davis,SF,TE,3,CIN,9,8,88.9,114,0,39,12.7,14.2,1,-2,-2,0,1,0,15.2,15.2
63,Jason Witten,DAL,TE,9,SEA,7,4,57.1,71,1,33,10.1,17.8,0,0,0,0,0,0,15.1,15.1
63,Tony Gonzalez,ATL,TE,4,SEA,9,7,77.8,56,1,22,6.2,8,0,0,0,0,0,0,15.1,15.1
63,Brandon Pettigrew,DET,TE,17,GB,11,7,63.6,116,0,26,10.5,16.6,0,0,0,0,0,0,15.1,15.1
66,Jermaine Gresham,CIN,TE,4,BUF,7,4,57.1,70,1,25,10,17.5,0,0,0,0,0,0,15,15
67,Charles Clay,MIA,TE,11,BUF,4,4,100,69,1,46,17.2,17.2,0,0,0,0,0,0,14.9,14.9
68,Jermaine Gresham,CIN,TE,1,CLE,8,6,75,58,1,22,7.2,9.7,0,0,0,0,0,0,14.8,14.8
68,Aaron Hernandez,NE,TE,6,DAL,14,8,57.1,68,1,16,4.9,8.5,0,0,0,0,1,1,14.8,14.8
70,Jake Ballard,NYG,TE,5,SEA,4,3,75,72,1,32,18,24,0,0,0,0,0,0,14.7,14.7
70,Jake Ballard,NYG,TE,9,NE,7,4,57.1,67,1,30,9.6,16.8,0,0,0,0,0,0,14.7,14.7
70,Brandon Pettigrew,DET,TE,14,MIN,7,6,85.7,57,1,17,8.1,9.5,0,0,0,0,0,0,14.7,14.7
73,Dustin Keller,NYJ,TE,1,DAL,8,5,62.5,61,1,19,7.6,12.2,0,0,0,0,0,0,14.6,14.6
74,Heath Miller,PIT,TE,7,ARI,4,4,100,59,1,21,14.8,14.8,1,6,6,0,0,0,14.5,14.5
74,Jimmy Graham,NO,TE,15,MIN,10,7,70,70,1,18,7,10,0,0,0,0,1,1,14.5,14.5
76,Ed Dickson,BAL,TE,1,PIT,5,5,100,59,1,18,11.8,11.8,0,0,0,0,0,0,14.4,14.4
77,Antonio Gates,LAC,TE,11,CHI,4,4,100,63,1,26,15.8,15.8,0,0,0,0,0,0,14.3,14.3
78,Brandon Pettigrew,DET,TE,6,SF,14,8,57.1,42,1,16,3,5.2,0,0,0,0,0,0,14.2,14.2
79,Jermaine Gresham,CIN,TE,16,ARI,7,5,71.4,56,1,12,8,11.2,0,0,0,0,0,0,14.1,14.1
80,Jason Witten,DAL,TE,1,NYJ,9,6,66.7,110,0,64,12.2,18.3,0,0,0,0,0,0,14,14
80,Dustin Keller,NYJ,TE,17,MIA,7,7,100,45,1,13,6.4,6.4,0,0,0,0,0,0,14,14
82,Rob Gronkowski,NE,TE,12,PHI,4,4,100,59,1,24,14.8,14.8,0,0,0,0,0,0,13.9,13.9
82,Antonio Gates,LAC,TE,7,NYJ,7,5,71.4,54,1,18,7.7,10.8,0,0,0,0,0,0,13.9,13.9
82,Antonio Gates,LAC,TE,12,DEN,10,6,60,49,1,17,4.9,8.2,0,0,0,0,0,0,13.9,13.9
85,Fred Davis,WAS,TE,12,SEA,4,4,100,58,1,31,14.5,14.5,0,0,0,0,0,0,13.8,13.8
85,Benjamin Watson,CLE,TE,4,TEN,9,6,66.7,48,1,18,5.3,8,0,0,0,0,0,0,13.8,13.8
87,Jason Witten,DAL,TE,2,SF,14,7,50,102,0,25,7.3,14.6,0,0,0,0,0,0,13.7,13.7
88,Jimmy Graham,NO,TE,1,GB,7,4,57.1,56,1,21,8,14,0,0,0,0,0,0,13.6,13.6
89,Greg Olsen,CAR,TE,4,CHI,7,5,71.4,50,1,23,7.1,10,0,0,0,0,0,0,13.5,13.5
89,Tony Gonzalez,ATL,TE,13,HOU,10,7,70,100,0,26,10,14.3,0,0,0,0,0,0,13.5,13.5
