Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FanDuelSalary,FantasyPointsFanDuel
93,Hunter Henry,LAC,TE,15,KC,25,12,5900,9.04
94,Jimmy Graham,SEA,TE,8,HOU,14,20,6400,9.02
95,Cameron Brate,TB,TE,9,NO,14,7,6100,9.01
96,Vernon Davis,WAS,TE,13,DAL,27,22,5600,8.98
96,Delanie Walker,TEN,TE,3,SEA,9,7,6500,8.98
96,Jack Doyle,IND,TE,16,BAL,3,20,5300,8.98
99,Jimmy Graham,SEA,TE,4,IND,29,13,6200,8.93
100,Kyle Rudolph,MIN,TE,16,GB,28,2,6700,8.92
101,Delanie Walker,TEN,TE,7,CLE,21,31,5900,8.88
102,Jared Cook,OAK,TE,11,NE,30,20,5600,8.87
103,Kyle Rudolph,MIN,TE,7,BAL,9,30,5400,8.86
103,Delanie Walker,TEN,TE,5,MIA,19,20,6000,8.86
105,Martellus Bennett,GB,TE,2,ATL,29,27,5800,8.79
106,Delanie Walker,TEN,TE,4,HOU,25,20,6500,8.78
107,Hunter Henry,LAC,TE,14,WAS,22,29,5600,8.76
108,Jack Doyle,IND,TE,10,PIT,2,4,6100,8.72
109,Jimmy Graham,SEA,TE,17,ARI,12,15,6700,8.71
109,Jack Doyle,IND,TE,15,DEN,10,30,5200,8.71
111,Cameron Brate,TB,TE,8,CAR,6,11,5800,8.67
111,Vernon Davis,WAS,TE,9,SEA,9,16,5400,8.67
111,Kyle Rudolph,MIN,TE,13,ATL,11,8,6000,8.67
111,Jason Witten,DAL,TE,3,ARI,19,9,5500,8.67
115,Charles Clay,BUF,TE,2,CAR,25,31,5200,8.66
115,Evan Engram,NYG,TE,6,DEN,7,26,6100,8.66
117,Kyle Rudolph,MIN,TE,10,WAS,19,29,5400,8.6
118,Tyler Eifert,CIN,TE,2,HOU,3,3,5800,8.59
119,Tyler Eifert,CIN,TE,1,BAL,8,8,6100,8.55
120,Kyle Rudolph,MIN,TE,6,GB,13,2,5300,8.51
120,Delanie Walker,TEN,TE,10,CIN,8,9,5500,8.51
122,Charles Clay,BUF,TE,4,ATL,23,9,5300,8.5
123,Cameron Brate,TB,TE,10,NYJ,23,28,5700,8.48
123,Eric Ebron,DET,TE,17,GB,27,4,5600,8.48
125,Kyle Rudolph,MIN,TE,11,LAR,7,11,5400,8.46
126,Jack Doyle,IND,TE,9,HOU,24,27,5700,8.44
127,Kyle Rudolph,MIN,TE,14,CAR,8,4,6000,8.43
128,Jared Cook,OAK,TE,12,DEN,14,31,5500,8.38
129,Kyle Rudolph,MIN,TE,12,DET,14,17,5800,8.36
130,Kyle Rudolph,MIN,TE,4,DET,9,14,5300,8.35
131,Cameron Brate,TB,TE,7,BUF,4,5,6200,8.34
131,Austin Seferian-Jenkins,NYJ,TE,8,ATL,19,5,6300,8.34
133,Jason Witten,DAL,TE,8,WAS,22,31,5400,8.33
134,Cameron Brate,TB,TE,14,DET,19,24,5400,8.31
135,Hunter Henry,LAC,TE,13,CLE,20,30,5400,8.3
136,Eric Ebron,DET,TE,3,ATL,25,16,5200,8.26
137,Jared Cook,OAK,TE,15,DAL,20,19,6500,8.22
137,Coby Fleener,NO,TE,2,NE,2,6,5300,8.22
139,Austin Seferian-Jenkins,NYJ,TE,7,MIA,8,18,5900,8.21
140,Charles Clay,BUF,TE,17,MIA,23,30,5600,8.2
141,Delanie Walker,TEN,TE,17,JAX,2,10,6100,8.18
142,Charles Clay,BUF,TE,5,CIN,3,5,5700,8.1
143,Charles Clay,BUF,TE,16,NE,23,8,5500,8.09
144,Cameron Brate,TB,TE,6,ARI,22,14,5900,8.07
145,Austin Hooper,ATL,TE,2,GB,28,21,5500,8.04
146,Kyle Rudolph,MIN,TE,8,CLE,16,30,5800,8.03
