Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FanDuelSalary,FantasyPointsFanDuel
65,Alex Ellis,KC,TE,3,NE,15,18,4000,0
65,Dillon Gordon,KC,TE,3,NE,15,18,null,0
65,Jacob Hollister,NE,TE,3,KC,30,32,4000,0
65,Ryan Izzo,NE,TE,3,KC,30,32,null,0
65,Deon Yelder,KC,TE,3,NE,15,18,4000,0
65,David Wells,KC,TE,3,NE,15,18,4000,0
65,Nate Wozniak,NO,TE,3,LAR,19,25,4000,0
65,Dan Arnold,NO,TE,3,LAR,19,25,4000,0
65,Johnny Mundt,LAR,TE,3,NO,18,12,4000,0
65,Garrett Griffin,NO,TE,3,LAR,19,25,4000,0
65,Henry Krieger-Coble,LAR,TE,3,NO,18,12,4000,0
65,Michael Hoomanawanui,NO,TE,3,LAR,19,25,null,0
65,Henry Krieger-Coble,LAR,TE,4,NE,15,18,null,0
65,Stephen Anderson,NE,TE,4,LAR,19,25,null,0
65,Johnny Mundt,LAR,TE,4,NE,15,18,null,0
65,Jacob Hollister,NE,TE,4,LAR,19,25,null,0
65,Ryan Izzo,NE,TE,4,LAR,19,25,null,0
