Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FanDuelSalary,FantasyPointsFanDuel
1,Travis Kelce,KC,TE,14,BAL,1,18,8000,15.77
2,Travis Kelce,KC,TE,13,OAK,28,25,7800,15.74
3,Travis Kelce,KC,TE,15,LAC,8,10,7900,15.56
4,Travis Kelce,KC,TE,17,OAK,29,31,7700,15.33
5,Travis Kelce,KC,TE,16,SEA,11,8,7700,15
6,Rob Gronkowski,NE,TE,1,HOU,31,28,7900,14.33
7,Travis Kelce,KC,TE,11,LAR,17,19,7800,14.12
8,Zach Ertz,PHI,TE,11,NO,28,4,7600,14.07
9,Travis Kelce,KC,TE,10,ARI,12,7,8000,13.92
10,Rob Gronkowski,NE,TE,3,DET,25,11,8100,13.6
11,Zach Ertz,PHI,TE,14,DAL,2,20,7400,13.49
12,Travis Kelce,KC,TE,8,DEN,18,22,7300,13.42
13,Zach Ertz,PHI,TE,12,NYG,19,12,7600,13.36
14,Travis Kelce,KC,TE,6,NE,16,27,7700,13.32
15,Travis Kelce,KC,TE,4,DEN,19,25,7700,13.22
16,Zach Ertz,PHI,TE,7,CAR,14,28,7500,13.2
17,Travis Kelce,KC,TE,7,CIN,25,26,7600,13.16
18,George Kittle,SF,TE,17,LAR,17,17,6700,13.08
19,Travis Kelce,KC,TE,9,CLE,23,12,7600,13.04
20,Rob Gronkowski,NE,TE,2,JAX,8,13,8100,13.02
21,Zach Ertz,PHI,TE,13,WAS,11,7,7600,12.86
22,Zach Ertz,PHI,TE,8,JAX,3,3,7800,12.85
23,George Kittle,SF,TE,15,SEA,11,3,7500,12.68
24,Zach Ertz,PHI,TE,17,WAS,11,11,7800,12.65
25,Zach Ertz,PHI,TE,15,LAR,19,20,7400,12.55
26,Travis Kelce,KC,TE,1,LAC,3,6,7100,12.45
27,Zach Ertz,PHI,TE,16,HOU,10,26,7400,12.4
28,Travis Kelce,KC,TE,3,SF,23,22,7500,12.35
29,Zach Ertz,PHI,TE,6,NYG,11,4,7500,12.32
30,Travis Kelce,KC,TE,5,JAX,1,4,7700,12.3
31,Rob Gronkowski,NE,TE,4,MIA,10,15,8100,12.18
32,Eric Ebron,IND,TE,14,HOU,9,26,6400,12.11
33,George Kittle,SF,TE,12,TB,31,31,7500,12.1
34,Zach Ertz,PHI,TE,3,IND,11,10,7000,12.03
35,George Kittle,SF,TE,13,SEA,11,3,6800,12.02
36,Zach Ertz,PHI,TE,5,MIN,24,17,7500,11.99
37,Rob Gronkowski,NE,TE,6,KC,31,30,7900,11.93
38,Zach Ertz,PHI,TE,10,DAL,3,9,7500,11.87
39,George Kittle,SF,TE,14,DEN,19,22,6600,11.84
40,Eric Ebron,IND,TE,15,DAL,4,24,6500,11.79
41,Zach Ertz,PHI,TE,1,ATL,10,13,6600,11.51
42,Zach Ertz,PHI,TE,4,TEN,6,1,7000,11.48
43,George Kittle,SF,TE,16,CHI,2,11,7400,11.44
44,Eric Ebron,IND,TE,13,JAX,7,21,5600,11.13
45,George Kittle,SF,TE,10,NYG,18,9,7400,11.03
46,Eric Ebron,IND,TE,7,BUF,6,11,6800,10.94
47,Travis Kelce,KC,TE,2,PIT,15,11,6800,10.9
48,Eric Ebron,IND,TE,16,NYG,17,16,6100,10.87
49,Rob Gronkowski,NE,TE,8,BUF,10,13,7200,10.7
50,Zach Ertz,PHI,TE,2,TB,31,21,6500,10.68
51,Rob Gronkowski,NE,TE,15,PIT,13,29,6900,10.63
52,Eric Ebron,IND,TE,17,TEN,6,1,5800,10.61
53,Rob Gronkowski,NE,TE,5,IND,18,23,7900,10.54
54,George Kittle,SF,TE,9,OAK,29,26,6800,10.52
55,Rob Gronkowski,NE,TE,13,MIN,6,13,6700,10.41
56,Jared Cook,OAK,TE,15,CIN,32,21,6300,10.32
57,Jared Cook,OAK,TE,16,DEN,20,28,6000,10.2
58,Jordan Reed,WAS,TE,2,IND,19,19,6200,10.17
59,Rob Gronkowski,NE,TE,12,NYJ,16,6,6900,10.15
60,George Kittle,SF,TE,8,ARI,17,8,6800,10
60,Jordan Reed,WAS,TE,3,GB,22,12,6000,10
62,Eric Ebron,IND,TE,8,OAK,27,11,6400,9.97
63,Rob Gronkowski,NE,TE,14,MIA,25,24,6200,9.95
64,Eric Ebron,IND,TE,6,NYJ,13,3,6500,9.91
65,Jordan Reed,WAS,TE,5,NO,30,2,6200,9.9
66,Delanie Walker,TEN,TE,1,MIA,22,31,6100,9.88
67,Greg Olsen,CAR,TE,1,DAL,12,18,6300,9.86
68,Jared Cook,OAK,TE,17,KC,31,32,6000,9.85
69,Evan Engram,NYG,TE,17,DAL,7,18,5900,9.76
70,Greg Olsen,CAR,TE,10,PIT,21,28,6500,9.73
71,Rob Gronkowski,NE,TE,16,BUF,4,3,6600,9.63
72,Kyle Rudolph,MIN,TE,4,LAR,1,21,6000,9.62
72,Eric Ebron,IND,TE,3,PHI,19,24,5500,9.62
74,Jared Cook,OAK,TE,8,IND,16,19,5900,9.61
75,Eric Ebron,IND,TE,5,NE,12,1,5700,9.59
76,OJ Howard,TB,TE,10,WAS,11,10,6500,9.55
76,Jared Cook,OAK,TE,6,SEA,10,6,6400,9.55
78,Jordan Reed,WAS,TE,6,CAR,18,23,6200,9.52
79,Jared Cook,OAK,TE,5,LAC,22,16,5900,9.5
80,Jared Cook,OAK,TE,9,SF,27,19,5900,9.49
81,Evan Engram,NYG,TE,16,IND,9,18,5700,9.48
82,Jimmy Graham,GB,TE,8,LAR,6,23,6400,9.33
83,Eric Ebron,IND,TE,4,HOU,17,24,5500,9.3
84,George Kittle,SF,TE,5,ARI,14,14,6400,9.24
85,George Kittle,SF,TE,7,LAR,8,16,6400,9.23
86,George Kittle,SF,TE,6,GB,8,10,6400,9.21
87,Greg Olsen,CAR,TE,11,DET,25,16,6500,9.2
88,Jimmy Graham,GB,TE,10,MIA,23,22,6300,9.19
88,Jared Cook,OAK,TE,14,PIT,13,21,6300,9.19
90,Trey Burton,CHI,TE,8,NYJ,20,13,6400,9.18
90,Kyle Rudolph,MIN,TE,1,SF,28,16,5900,9.18
92,Jimmy Graham,GB,TE,6,SF,23,25,6400,9.13
93,OJ Howard,TB,TE,9,CAR,14,32,6000,9.11
94,Greg Olsen,CAR,TE,9,TB,32,31,6200,9.1
95,Jared Cook,OAK,TE,13,KC,29,31,6200,9.07
95,David Njoku,CLE,TE,7,TB,32,32,5700,9.07
97,Jimmy Graham,GB,TE,4,BUF,20,23,6000,9.05
98,Rob Gronkowski,NE,TE,17,NYJ,27,9,5800,8.99
99,Jimmy Graham,GB,TE,9,NE,21,26,6400,8.96
99,Austin Hooper,ATL,TE,14,GB,14,3,5700,8.96
101,Jimmy Graham,GB,TE,1,CHI,7,8,6000,8.93
102,Jimmy Graham,GB,TE,3,WAS,2,14,6200,8.91
103,Trey Burton,CHI,TE,1,GB,30,3,5700,8.88
104,Evan Engram,NYG,TE,3,HOU,10,23,5800,8.84
105,George Kittle,SF,TE,3,KC,32,31,5800,8.83
106,Greg Olsen,CAR,TE,12,SEA,10,5,6500,8.81
107,Jimmy Graham,GB,TE,5,DET,17,13,6100,8.77
108,Jack Doyle,IND,TE,12,MIA,22,18,5500,8.73
109,Jared Cook,OAK,TE,3,MIA,5,18,5600,8.72
110,David Njoku,CLE,TE,8,PIT,26,30,5700,8.7
111,George Kittle,SF,TE,2,DET,25,3,5600,8.69
112,Jack Doyle,IND,TE,1,CIN,17,19,5600,8.67
113,Trey Burton,CHI,TE,10,DET,21,18,6100,8.64
114,Kyle Rudolph,MIN,TE,9,DET,24,24,5700,8.63
115,Kyle Rudolph,MIN,TE,7,NYJ,19,18,6000,8.61
116,OJ Howard,TB,TE,11,NYG,16,9,6300,8.57
117,Greg Olsen,CAR,TE,13,TB,31,30,6000,8.56
117,Evan Engram,NYG,TE,2,DAL,3,7,5800,8.56
119,OJ Howard,TB,TE,4,CHI,9,20,5600,8.52
119,Jordan Reed,WAS,TE,10,TB,32,31,5200,8.52
121,Trey Burton,CHI,TE,9,BUF,10,11,6100,8.51
121,Austin Hooper,ATL,TE,7,NYG,18,9,5900,8.51
123,OJ Howard,TB,TE,8,CIN,30,28,5800,8.5
123,Jordan Reed,WAS,TE,12,DAL,4,18,6000,8.5
125,Jared Cook,OAK,TE,10,LAC,13,16,5500,8.47
125,Kyle Rudolph,MIN,TE,6,ARI,15,14,6200,8.47
127,Jordan Reed,WAS,TE,14,NYG,20,17,6400,8.46
127,Jack Doyle,IND,TE,2,WAS,1,7,5600,8.46
129,Evan Engram,NYG,TE,1,JAX,2,12,6000,8.44
130,Trey Burton,CHI,TE,11,MIN,7,17,6100,8.39
130,Jared Cook,OAK,TE,12,BAL,1,17,5700,8.39
130,Jordan Reed,WAS,TE,11,HOU,8,21,5400,8.39
133,Jared Cook,OAK,TE,2,DEN,20,31,5000,8.37
134,Jordan Reed,WAS,TE,7,DAL,2,9,6000,8.36
135,Eric Ebron,IND,TE,11,TEN,1,1,6000,8.35
135,Jordan Reed,WAS,TE,13,PHI,23,4,6400,8.35
137,Jared Cook,OAK,TE,11,ARI,13,6,5500,8.33
138,Kyle Rudolph,MIN,TE,3,BUF,31,19,5900,8.31
139,Jordan Reed,WAS,TE,9,ATL,30,19,5600,8.29
140,Jordan Reed,WAS,TE,8,NYG,19,9,5800,8.26
141,Jack Doyle,IND,TE,10,JAX,5,10,5600,8.25
142,Greg Olsen,CAR,TE,7,PHI,9,4,5900,8.24
143,David Njoku,CLE,TE,6,LAC,19,8,5500,8.23
