Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Todd Gurley,LAR,RB,3,NO,18.3,89.4,4.9,1.2,5.71,4.2,41.4,0.3,0.1,0.1,24,23.98
2,Ezekiel Elliott,DAL,RB,1,SEA,21,95,4.5,1,6.65,5,37,0,0,0,21.7,21.7
3,Ezekiel Elliott,DAL,RB,2,LAR,18,88,4.9,1,6.65,5,37,0,0,0,21,21
4,Alvin Kamara,NO,RB,3,LAR,12.9,58.9,4.5,0.9,7.07,5.4,47.3,0.3,0.1,0.1,20.3,20.32
5,Todd Gurley,LAR,RB,2,DAL,17,74,4.4,1,6.8,5,42,0,0,0,20.1,20.1
6,Melvin Gordon,LAC,RB,2,NE,16,78,4.9,1,5.92,4,36,0,0,0,19.4,19.4
7,Todd Gurley,LAR,RB,4,NE,8.1,46.3,5.8,1.2,5.84,4.3,42.4,0.2,0.1,0.1,19.2,19.22
8,Alvin Kamara,NO,RB,2,PHI,11,51,4.6,1,6.55,5,47,0,0,0,18.3,18.3
9,Sony Michel,NE,RB,4,LAR,22.3,99.2,4.5,1.1,0.68,0.5,3.9,0,0.1,0.1,17,16.96
10,Melvin Gordon,LAC,RB,1,BAL,14,60,4.3,1,5.92,4,29,0,0,0,16.9,16.9
11,Chris Carson,SEA,RB,1,DAL,18,80,4.4,1,2.98,2,14,0,0,0,16.4,16.4
12,Damien Williams,KC,RB,3,NE,11,51,4.6,0.9,5.9,4.1,30.5,0.1,0.1,0.1,16,16
13,Marlon Mack,IND,RB,2,KC,15,76,5.1,1,2.9,2,13,0,0,0,15.9,15.9
14,Damien Williams,KC,RB,2,IND,11,44,4,1,5.76,4,30,0,0,0,15.4,15.4
15,James White,NE,RB,3,KC,5.9,26.6,4.5,0.3,7.83,5.4,46.9,0.4,0,0,14.2,14.25
16,Sony Michel,NE,RB,2,LAC,16,69,4.3,1,1.37,1,8,0,0,0,14.2,14.2
17,Jordan Howard,CHI,RB,1,PHI,16,67,4.2,1,1.37,1,9,0,0,0,14.1,14.1
18,Marlon Mack,IND,RB,1,HOU,15,60,4,1,2.9,2,10,0,0,0,14,14
19,Gus Edwards,BAL,RB,1,LAC,15,67,4.5,1,1.31,1,7,0,0,0,13.9,13.9
20,James White,NE,RB,4,LAR,5.8,24.6,4.2,0.3,7.39,5.1,45.9,0.4,0,0,13.8,13.8
21,Mark Ingram,NO,RB,2,PHI,12,52,4.3,1,2.72,2,15,0,0,0,13.7,13.7
22,Rex Burkhead,NE,RB,4,LAR,11.7,42.1,3.5,0.7,2.3,1.6,16.1,0.1,0.3,0.3,10.8,10.82
23,Mark Ingram,NO,RB,3,LAR,11.5,53.8,4.5,0.5,2.44,1.8,14.2,0.1,0.3,0.3,10.7,10.7
24,Sony Michel,NE,RB,3,KC,16.1,71.6,4.5,0.5,0.68,0.5,3.8,0,0.1,0.1,10.6,10.59
25,CJ Anderson,LAR,RB,4,NE,15.7,64.8,4.1,0.4,0.7,0.5,4.2,0.1,0,0,10.2,10.15
26,Lamar Miller,HOU,RB,1,IND,16,64,4,0,2.78,2,16,0,0,0,9,9
27,James White,NE,RB,2,LAC,4,18,4.5,0,7.25,5,45,0,0,0,8.8,8.8
28,Tarik Cohen,CHI,RB,1,PHI,7,30,4.3,0,5.48,4,37,0,0,0,8.7,8.7
29,Spencer Ware,KC,RB,2,IND,10,42,4.2,0,2.78,2,23,0,0,0,7.5,7.5
30,Darren Sproles,PHI,RB,2,NO,6,25,4.2,0,4.32,3,29,0,0,0,6.9,6.9
31,Kenneth Dixon,BAL,RB,1,LAC,9,41,4.6,0,2.66,2,13,0,0,0,6.4,6.4
32,CJ Anderson,LAR,RB,3,NO,7.62,36.6,4.6,0.2,0.7,0.5,3.7,0.1,0,0,6.1,6.08
33,Austin Ekeler,LAC,RB,2,NE,5,26,5.2,0,2.76,2,24,0,0,0,6,6
34,Wendell Smallwood,PHI,RB,2,NO,7,27,3.9,0,2.98,2,21,0,0,0,5.8,5.8
35,Darren Sproles,PHI,RB,1,CHI,5,19,3.8,0,4.32,3,22,0,0,0,5.6,5.6
36,Spencer Ware,KC,RB,3,NE,3.9,18.9,4.8,0.2,2.08,1.5,17.2,0,0,0,5.6,5.56
37,Nyheim Hines,IND,RB,1,HOU,4,14,3.5,0,4.05,3,25,0,0,0,5.4,5.4
38,Josh Adams,PHI,RB,1,CHI,11,41,3.7,0,1.38,1,5,0,0,0,5.1,5.1
38,Austin Ekeler,LAC,RB,1,BAL,5,22,4.4,0,2.76,2,19,0,0,0,5.1,5.1
40,Wendell Smallwood,PHI,RB,1,CHI,7,26,3.7,0,2.98,2,14,0,0,0,5,5
41,Nyheim Hines,IND,RB,2,KC,3,12,4,0,4.05,3,22,0,0,0,4.9,4.9
42,Rex Burkhead,NE,RB,3,KC,7.1,23.3,3.3,0,2.59,1.8,16.4,0.1,0.3,0.3,4.9,4.87
43,Rex Burkhead,NE,RB,2,LAC,5,18,3.6,0,2.88,2,17,0,0,0,4.5,4.5
44,Mike Davis,SEA,RB,1,DAL,4,16,4,0,2.96,2,15,0,0,0,4.1,4.1
45,Charcandrick West,KC,RB,3,NE,0.7,0.3,0,0,1.03,0.7,12.3,0.3,0,0,3.4,3.41
46,Alfred Blue,HOU,RB,1,IND,6,21,3.5,0,1.35,1,8,0,0,0,3.4,3.4
47,Rashaad Penny,SEA,RB,1,DAL,5,21,4.2,0,1.34,1,4,0,0,0,3,3
47,Josh Adams,PHI,RB,2,NO,6,21,3.5,0,1.38,1,4,0,0,0,3,3
49,CJ Anderson,LAR,RB,2,DAL,4,17,4.2,0,1.41,1,7,0,0,0,2.9,2.9
