Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Le'Veon Bell,PIT,RB,16,HOU,20.4,94.3,4.7,0.7,7.93,5.4,46,0.2,0,0,22.1,22.13
2,Le'Veon Bell,PIT,RB,1,CLE,20.6,96.2,4.6,0.7,7.2,4.9,42.4,0.2,0.2,0.2,21.3,21.31
3,David Johnson,ARI,RB,1,DET,18.3,77.8,4.3,0.8,6.63,5.1,49.3,0.2,0.2,0.2,20.9,20.86
4,Le'Veon Bell,PIT,RB,10,IND,21,95.4,4.5,0.8,5.88,4,31.6,0.2,0.1,0.1,20.5,20.5
5,Le'Veon Bell,PIT,RB,3,CHI,19.4,88.4,4.6,0.7,6.61,4.5,38,0.2,0.1,0.1,20.1,20.09
6,Le'Veon Bell,PIT,RB,5,JAX,20.8,93.6,4.5,0.7,6.32,4.3,32.9,0.2,0.1,0.1,20,20
7,Ezekiel Elliott,DAL,RB,4,LAR,21.9,98.3,4.5,0.9,3.85,2.9,23.5,0.1,0.1,0.1,19.4,19.43
8,Le'Veon Bell,PIT,RB,8,DET,21.2,90.7,4.3,0.6,6.46,4.4,34.4,0.2,0.1,0.1,19.3,19.31
9,Ezekiel Elliott,DAL,RB,9,KC,22.6,101.8,4.4,0.9,3.19,2.4,20.7,0.1,0.1,0.1,19.2,19.25
10,Le'Veon Bell,PIT,RB,15,NE,17.9,82.9,4.6,0.5,7.64,5.2,39.9,0.2,0,0,19.1,19.08
11,Ezekiel Elliott,DAL,RB,5,GB,20.5,94.7,4.8,0.8,4.25,3.2,27.7,0.1,0.1,0.1,19,19.04
12,Le'Veon Bell,PIT,RB,14,BAL,20,86.1,4.3,0.5,6.9,4.7,36.3,0.2,0,0,18.8,18.79
13,Le'Veon Bell,PIT,RB,7,CIN,20.5,89.7,4.5,0.5,6.61,4.5,32.8,0.2,0,0,18.7,18.7
14,LeSean McCoy,BUF,RB,9,NYJ,19.7,87.8,4.4,0.5,6.25,4.6,32.8,0.2,0.1,0.1,18.4,18.36
15,Le'Veon Bell,PIT,RB,13,CIN,21.2,84.7,4,0.5,7.2,4.9,33.2,0.2,0.1,0.1,18.2,18.24
16,Le'Veon Bell,PIT,RB,6,KC,18.2,84.2,4.7,0.5,6.9,4.7,34.3,0.2,0.1,0.1,18.2,18.2
17,Le'Veon Bell,PIT,RB,4,BAL,19.1,79.6,4.2,0.5,7.05,4.8,37,0.2,0.1,0.1,18.1,18.06
