Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,David Johnson,ARI,RB,2,GB,3,92,30.7,2,1,1,8,0,0,0,22.5,22.5
2,David Johnson,ARI,RB,3,CAR,3,82,27.3,2,1,1,7,0,0,0,21.4,21.4
3,Marshawn Lynch,SEA,RB,2,CAR,3,66,22,2,2,2,14,0,0,0,21,21
4,DeAngelo Williams,PIT,RB,2,DEN,3,66,22,1,4,2,21,0,0,0,15.7,15.7
5,Jonathan Stewart,CAR,RB,3,ARI,3,70,23.3,1,3,2,14,0,0,0,15.4,15.4
5,Jonathan Stewart,CAR,RB,4,DEN,3,70,23.3,1,3,2,14,0,0,0,15.4,15.4
7,Jonathan Stewart,CAR,RB,2,SEA,3,69,23,1,3,2,13,0,0,0,15.2,15.2
8,Marshawn Lynch,SEA,RB,1,MIN,0,0,0,2,2,2,16,0,0,0,14.6,14.6
9,CJ Anderson,DEN,RB,3,NE,3,53,17.7,1,2,2,15,0,0,0,13.8,13.8
9,CJ Anderson,DEN,RB,4,CAR,3,53,17.7,1,2,2,15,0,0,0,13.8,13.8
11,Eddie Lacy,GB,RB,1,WAS,0,0,0,2,2,1,12,0,0,0,13.7,13.7
12,Adrian Peterson,MIN,RB,1,SEA,0,0,0,2,2,1,8,0,0,0,13.3,13.3
13,Fitzgerald Toussaint,PIT,RB,2,DEN,3,47,15.7,1,4,1,13,0,0,0,12.5,12.5
13,Eddie Lacy,GB,RB,2,ARI,3,47,15.7,1,2,1,13,0,0,0,12.5,12.5
15,Christine Michael,SEA,RB,2,CAR,3,63,21,1,0,0,0,0,0,0,12.3,12.3
16,Cameron Artis-Payne,CAR,RB,2,SEA,3,42,14,1,2,1,11,0,0,0,11.8,11.8
17,CJ Anderson,DEN,RB,2,PIT,3,32,10.7,1,2,2,13,0,0,0,11.5,11.5
18,Ronnie Hillman,DEN,RB,2,PIT,3,26,8.7,1,3,2,17,0,0,0,11.3,11.3
19,Brandon Bolden,NE,RB,2,KC,3,30,10,1,2,1,10,0,0,0,10.5,10.5
19,Charcandrick West,KC,RB,2,NE,3,32,10.7,1,3,1,8,0,0,0,10.5,10.5
21,Brandon Bolden,NE,RB,3,DEN,3,29,9.7,1,2,1,10,0,0,0,10.4,10.4
22,Spencer Ware,KC,RB,2,NE,3,32,10.7,1,2,1,5,0,0,0,10.2,10.2
23,DeAngelo Williams,PIT,RB,1,CIN,0,0,0,1,4,3,25,0,0,0,10,10
24,James Starks,GB,RB,2,ARI,3,24,8,1,2,1,9,0,0,0,9.8,9.8
25,Knile Davis,KC,RB,2,NE,3,19,6.3,1,2,1,10,0,0,0,9.4,9.4
26,Jeremy Hill,CIN,RB,1,PIT,0,0,0,1,2,2,12,0,0,0,8.2,8.2
27,Knile Davis,KC,RB,1,HOU,0,0,0,1,2,1,10,0,0,0,7.5,7.5
27,Alfred Morris,WAS,RB,1,GB,0,0,0,1,2,1,10,0,0,0,7.5,7.5
29,Charcandrick West,KC,RB,1,HOU,0,0,0,1,3,1,8,0,0,0,7.3,7.3
29,James Starks,GB,RB,1,WAS,0,0,0,1,2,1,8,0,0,0,7.3,7.3
31,Alfred Blue,HOU,RB,1,KC,0,0,0,1,2,1,7,0,0,0,7.2,7.2
31,Fitzgerald Toussaint,PIT,RB,1,CIN,0,0,0,1,2,1,7,0,0,0,7.2,7.2
33,Spencer Ware,KC,RB,1,HOU,0,0,0,1,2,1,5,0,0,0,7,7
