Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Todd Gurley,LAR,RB,11,KC,19.4,97,5.1,1,5.98,4.4,44.1,0.3,0.1,0.1,23.9,23.91
2,Todd Gurley,LAR,RB,7,SF,21,96.8,4.6,1,5.44,4,42.2,0.3,0.1,0.1,23.5,23.5
3,Todd Gurley,LAR,RB,8,GB,19.9,92.7,4.6,1.1,5.3,3.9,40.5,0.3,0.2,0.2,23.3,23.27
4,Todd Gurley,LAR,RB,10,SEA,19.5,87.8,4.4,1,5.84,4.3,40.1,0.3,0.2,0.2,22.3,22.34
5,Todd Gurley,LAR,RB,9,NO,19.3,86.8,4.6,0.9,5.57,4.1,43,0.3,0.1,0.1,22,22.03
6,Todd Gurley,LAR,RB,15,PHI,18.8,95.9,5.1,0.8,5.44,4,40.2,0.3,0.2,0.2,21.8,21.81
7,Alvin Kamara,NO,RB,4,NYG,13.4,58.2,4.5,0.5,9.17,7,66.4,0.4,0.1,0.1,21.2,21.16
8,Ezekiel Elliott,DAL,RB,16,TB,21.2,99.6,4.8,0.7,5.98,4.5,35.8,0.2,0.1,0.1,21,20.99
9,Todd Gurley,LAR,RB,3,LAC,19.4,89.6,4.7,0.8,5.44,4,40.4,0.2,0.1,0.1,20.8,20.8
10,Alvin Kamara,NO,RB,2,CLE,15.5,74.3,4.6,0.6,6.55,5,50.4,0.4,0.1,0.1,20.8,20.77
11,Saquon Barkley,NYG,RB,11,TB,17.3,73.8,4.4,0.7,9.23,6.2,50.5,0.2,0.1,0.1,20.7,20.73
12,Alvin Kamara,NO,RB,12,ATL,12.2,60.4,5,0.7,7.59,5.8,53.5,0.4,0.1,0.1,20.7,20.69
13,Todd Gurley,LAR,RB,5,SEA,18.9,88.1,4.6,0.8,5.57,4.1,41.5,0.2,0.2,0.2,20.6,20.61
14,Todd Gurley,LAR,RB,13,DET,18.2,87.7,4.9,0.8,5.57,4.1,41.2,0.2,0.2,0.2,20.5,20.54
15,Todd Gurley,LAR,RB,1,OAK,19.3,87.9,4.6,0.8,5.57,4.1,40.5,0.2,0.2,0.2,20.5,20.49
16,Saquon Barkley,NYG,RB,7,ATL,16.2,76.4,4.8,0.5,8.94,6,52.3,0.3,0.1,0.1,20.5,20.47
17,Todd Gurley,LAR,RB,6,DEN,19.4,87.5,4.6,0.8,5.44,4,40.8,0.2,0.2,0.2,20.4,20.43
18,Melvin Gordon,LAC,RB,10,OAK,16.9,84.7,5,0.8,5.62,3.8,36.5,0.3,0.1,0.1,20.4,20.42
19,Todd Gurley,LAR,RB,2,ARI,19.9,87.5,4.4,0.8,5.98,4.4,37.6,0.2,0.2,0.2,20.3,20.31
20,Christian McCaffrey,CAR,RB,16,ATL,15.8,73.1,4.6,0.6,7.98,5.7,49,0.3,0.1,0.1,20.3,20.26
21,Ezekiel Elliott,DAL,RB,15,IND,20.2,89.8,4.5,0.7,6.11,4.6,36.8,0.2,0.1,0.1,20.2,20.16
22,Christian McCaffrey,CAR,RB,13,TB,14.7,70.7,4.7,0.5,7.7,5.5,53.1,0.4,0.2,0.2,20.1,20.13
23,Alvin Kamara,NO,RB,11,PHI,12.8,61.9,4.8,0.7,7.07,5.4,47.9,0.4,0.1,0.1,20.1,20.08
24,Alvin Kamara,NO,RB,10,CIN,13.3,66.4,5.1,0.7,6.94,5.3,47,0.3,0.1,0.1,19.8,19.79
25,Todd Gurley,LAR,RB,14,CHI,19,85.5,4.5,0.8,5.3,3.9,36.5,0.2,0.2,0.2,19.8,19.75
26,Alvin Kamara,NO,RB,1,TB,14.4,73.2,5.2,0.6,6.55,5,47,0.3,0.1,0.1,19.7,19.72
26,Saquon Barkley,NYG,RB,12,PHI,17,74,4.4,0.6,8.64,5.8,48.2,0.2,0.1,0.1,19.7,19.72
28,Ezekiel Elliott,DAL,RB,14,PHI,19.9,94.9,4.8,0.7,4.92,3.7,31.3,0.2,0.1,0.1,19.7,19.67
29,Alvin Kamara,NO,RB,5,WAS,12.2,56.3,4.7,0.6,7.99,6.1,57.7,0.3,0.1,0.1,19.6,19.65
30,Saquon Barkley,NYG,RB,15,TEN,18.4,77.3,4.3,0.6,8.19,5.5,45.1,0.2,0.1,0.1,19.6,19.59
31,David Johnson,ARI,RB,1,WAS,18.9,77.5,4.1,0.6,6.5,5,48.7,0.2,0.2,0.2,19.5,19.52
32,Kareem Hunt,KC,RB,10,ARI,17.7,81.9,4.6,0.8,4.37,3.1,30.9,0.3,0.1,0.1,19.2,19.23
32,Christian McCaffrey,CAR,RB,14,CLE,15.7,73.7,4.6,0.5,7.56,5.4,47.6,0.3,0.2,0.2,19.2,19.23
34,Saquon Barkley,NYG,RB,10,SF,16.2,69.5,4.4,0.5,9.23,6.2,51.7,0.2,0.1,0.1,19.2,19.22
35,Melvin Gordon,LAC,RB,5,OAK,17.2,75.7,4.5,0.6,6.8,4.6,41,0.3,0.1,0.1,19.2,19.17
36,Melvin Gordon,LAC,RB,11,DEN,17.8,82.5,4.6,0.7,6.06,4.1,36.6,0.2,0.1,0.1,19.2,19.16
37,Saquon Barkley,NYG,RB,13,CHI,16.1,64.4,4,0.6,8.49,5.7,46.3,0.3,0.1,0.1,19.1,19.12
38,Todd Gurley,LAR,RB,4,MIN,18.9,82.3,4.3,0.7,5.3,3.9,39.2,0.2,0.2,0.2,19.1,19.1
39,Ezekiel Elliott,DAL,RB,11,ATL,19,91.9,4.8,0.7,5.32,4,32.8,0.1,0.1,0.1,19.1,19.07
39,Christian McCaffrey,CAR,RB,15,NO,16.4,68.1,4.2,0.5,8.4,6,48.6,0.3,0.2,0.2,19.1,19.07
39,Alvin Kamara,NO,RB,3,ATL,12.5,58.8,4.9,0.5,7.99,6.1,55.4,0.3,0.1,0.1,19.1,19.07
42,Kareem Hunt,KC,RB,11,LAR,16.8,82.8,4.9,0.7,4.65,3.3,33.1,0.3,0.1,0.1,19,19.04
43,Alvin Kamara,NO,RB,14,TB,13.1,64.1,4.9,0.7,6.15,4.7,44.6,0.3,0.1,0.1,19,19.02
44,Saquon Barkley,NYG,RB,17,DAL,17.6,73.6,4.1,0.6,8.04,5.4,42.4,0.2,0.1,0.1,18.9,18.9
45,Christian McCaffrey,CAR,RB,11,DET,14.4,67.8,4.9,0.5,7.56,5.4,47.8,0.3,0.1,0.1,18.9,18.86
46,Saquon Barkley,NYG,RB,8,WAS,15.9,69.8,4.4,0.5,8.79,5.9,48.7,0.2,0.1,0.1,18.8,18.8
47,Ezekiel Elliott,DAL,RB,12,WAS,20.2,92.2,4.6,0.6,4.92,3.7,31.2,0.2,0.1,0.1,18.8,18.79
48,Saquon Barkley,NYG,RB,14,WAS,17,72.7,4.3,0.5,8.34,5.6,46.7,0.2,0.1,0.1,18.7,18.74
49,James Conner,PIT,RB,10,CAR,19.3,85.4,4.5,0.7,5.92,4,35.7,0.1,0.1,0.1,18.7,18.71
49,Saquon Barkley,NYG,RB,16,IND,17.3,71.2,4.2,0.5,8.19,5.5,48.4,0.2,0.1,0.1,18.7,18.71
51,Alvin Kamara,NO,RB,9,LAR,11.3,56.6,5.2,0.6,7.07,5.4,50.1,0.3,0.1,0.1,18.6,18.57
52,David Johnson,ARI,RB,11,OAK,17.6,72.7,4.1,0.7,5.33,4.1,40.4,0.2,0.1,0.1,18.6,18.56
53,Ezekiel Elliott,DAL,RB,4,DET,19.6,95.8,4.8,0.8,4.25,3.2,23.3,0.1,0.2,0.2,18.5,18.51
54,James Conner,PIT,RB,12,DEN,18.3,78.7,4.4,0.7,5.77,3.9,33.7,0.2,0.1,0.1,18.4,18.39
55,Ezekiel Elliott,DAL,RB,2,NYG,21,94.2,4.5,0.8,3.59,2.7,23.6,0.1,0.1,0.1,18.3,18.33
56,Kareem Hunt,KC,RB,9,CLE,16.8,79,4.6,0.6,4.93,3.5,34,0.3,0.1,0.1,18.2,18.25
57,Alvin Kamara,NO,RB,13,DAL,12.8,57.4,4.4,0.6,6.55,5,47.9,0.3,0.1,0.1,18.2,18.23
58,James Conner,PIT,RB,8,CLE,17.9,75.8,4.2,0.8,5.92,4,33.4,0.1,0.1,0.1,18.1,18.12
59,Christian McCaffrey,CAR,RB,5,NYG,14.3,65,4.6,0.4,8.12,5.8,48.9,0.3,0.2,0.2,18.1,18.09
60,Ezekiel Elliott,DAL,RB,13,NO,19.5,81.1,4,0.6,5.18,3.9,32,0.2,0.1,0.1,17.9,17.86
61,Melvin Gordon,LAC,RB,12,ARI,16.6,74.4,4.4,0.6,5.92,4,37.8,0.2,0.1,0.1,17.8,17.82
62,Kareem Hunt,KC,RB,8,DEN,16.7,81,4.8,0.7,4.23,3,30,0.2,0.1,0.1,17.8,17.8
63,Melvin Gordon,LAC,RB,6,CLE,17.1,69.5,4.1,0.5,7.25,4.9,42.7,0.2,0.1,0.1,17.7,17.67
64,Christian McCaffrey,CAR,RB,12,SEA,14.7,65.5,4.4,0.5,7.28,5.2,45.1,0.2,0.1,0.1,17.7,17.66
65,Ezekiel Elliott,DAL,RB,7,WAS,19.6,94.5,4.7,0.6,4.12,3.1,26.2,0.1,0.2,0.2,17.4,17.42
66,Melvin Gordon,LAC,RB,2,BUF,18.9,80.9,4.3,0.7,5.32,3.6,29.2,0.1,0.1,0.1,17.4,17.41
67,Ezekiel Elliott,DAL,RB,3,SEA,19.9,85.6,4.3,0.7,4.52,3.4,25.1,0.1,0.1,0.1,17.4,17.37
68,Saquon Barkley,NYG,RB,4,NO,15.7,67.9,4.2,0.5,7.59,5.1,39.9,0.2,0.1,0.1,17.3,17.33
69,James Conner,PIT,RB,11,JAX,18.2,78.9,4.4,0.6,5.77,3.9,34.3,0.1,0.1,0.1,17.3,17.27
70,Melvin Gordon,LAC,RB,4,SF,17.4,68.7,4.1,0.6,6.06,4.1,37,0.2,0.1,0.1,17.2,17.22
71,Alvin Kamara,NO,RB,15,CAR,12.6,55.4,4.2,0.5,6.15,4.7,46.4,0.3,0.1,0.1,17.1,17.13
72,Saquon Barkley,NYG,RB,6,PHI,15.8,61.5,3.9,0.4,7.74,5.2,43,0.3,0.1,0.1,17,17.05
73,Ezekiel Elliott,DAL,RB,5,HOU,18.8,86.7,4.6,0.6,4.52,3.4,28.3,0.1,0.2,0.2,17,17
74,James Conner,PIT,RB,5,ATL,17.3,70.9,4.2,0.7,6.06,4.1,32.1,0.1,0.1,0.1,17,16.95
74,David Johnson,ARI,RB,2,LAR,15.8,62.5,3.9,0.5,6.24,4.8,43,0.2,0.1,0.1,17,16.95
76,James Conner,PIT,RB,13,LAC,17.5,74.7,4.2,0.6,6.06,4.1,35.4,0.1,0.2,0.2,16.9,16.86
77,James Conner,PIT,RB,6,CIN,17.6,73.5,4.1,0.6,5.92,4,34.5,0.1,0.1,0.1,16.8,16.8
78,Alvin Kamara,NO,RB,16,PIT,12.9,58.1,4.5,0.5,6.15,4.7,40.3,0.3,0.1,0.1,16.8,16.79
79,Christian McCaffrey,CAR,RB,6,WAS,14.2,64.2,4.6,0.3,7.56,5.4,44.4,0.3,0.2,0.2,16.8,16.76
79,Christian McCaffrey,CAR,RB,9,TB,13.7,57,4.1,0.4,7.56,5.4,45.6,0.3,0.2,0.2,16.8,16.76
81,Saquon Barkley,NYG,RB,5,CAR,15.7,68,4.2,0.5,7.45,5,38.9,0.1,0.1,0.1,16.6,16.59
82,Joe Mixon,CIN,RB,7,KC,16.9,79,4.6,0.6,5.11,3.6,28.8,0.1,0.1,0.1,16.6,16.58
83,Ezekiel Elliott,DAL,RB,1,CAR,20.1,87.2,4.4,0.6,3.59,2.7,24.4,0.1,0.1,0.1,16.5,16.51
84,Ezekiel Elliott,DAL,RB,9,TEN,19.7,84.5,4.2,0.6,4.12,3.1,24.5,0.1,0.1,0.1,16.4,16.45
85,James Conner,PIT,RB,9,BAL,17.1,69,4.1,0.6,6.06,4.1,34.9,0.1,0.1,0.1,16.4,16.44
86,Melvin Gordon,LAC,RB,9,SEA,15,64,4.3,0.5,6.36,4.3,38.4,0.2,0.1,0.1,16.4,16.39
87,Kareem Hunt,KC,RB,7,CIN,17,78.4,4.6,0.6,3.66,2.6,24.4,0.2,0,0,16.4,16.38
87,Ezekiel Elliott,DAL,RB,6,JAX,19.3,86.3,4.5,0.5,4.78,3.6,27.5,0.1,0.2,0.2,16.4,16.38
89,James White,NE,RB,9,GB,7.4,30,4.3,0.3,9.13,6.3,55.1,0.5,0.1,0.1,16.3,16.26
90,James Conner,PIT,RB,2,KC,18.3,79,4.4,0.7,4.58,3.1,23.5,0.1,0.2,0.2,16.2,16.2
90,Melvin Gordon,LAC,RB,1,KC,17.8,75.5,4.2,0.6,5.03,3.4,29.5,0.1,0.1,0.1,16.2,16.2
90,David Johnson,ARI,RB,5,SF,17.2,63.4,3.7,0.5,5.46,4.2,39.6,0.2,0.2,0.2,16.2,16.2
93,Christian McCaffrey,CAR,RB,10,PIT,13.5,56.2,4,0.4,7.56,5.4,44.5,0.2,0.1,0.1,16.2,16.17
