Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Todd Gurley,LAR,RB,16,TEN,22,118,5.4,0,13,10,158,2,0,0,44.6,44.6
2,Todd Gurley,LAR,RB,15,SEA,21,152,7.2,3,3,3,28,1,0,0,43.5,43.5
3,Kareem Hunt,KC,RB,1,NE,17,148,8.7,1,5,5,98,2,1,1,43.1,43.1
4,Ezekiel Elliott,DAL,RB,7,SF,26,147,5.7,2,3,1,72,1,0,0,40.4,40.4
5,Kareem Hunt,KC,RB,15,LAC,24,155,6.5,1,9,7,51,1,0,0,36.1,36.1
6,Todd Gurley,LAR,RB,3,SF,28,113,4,2,7,5,36,1,1,0,35.4,35.4
7,Le'Veon Bell,PIT,RB,14,BAL,13,48,3.7,2,10,9,77,1,0,0,35,35
8,Alvin Kamara,NO,RB,12,LAR,5,87,17.4,1,6,6,101,1,0,0,33.8,33.8
9,Le'Veon Bell,PIT,RB,4,BAL,35,144,4.1,2,6,4,42,0,1,0,32.6,32.6
10,Melvin Gordon,LAC,RB,6,OAK,25,83,3.3,1,12,9,67,1,0,0,31.5,31.5
11,Melvin Gordon,LAC,RB,5,NYG,20,105,5.2,0,8,6,58,2,0,0,31.3,31.3
12,Mark Ingram,NO,RB,10,BUF,21,131,6.2,3,0,0,0,0,0,0,31.1,31.1
13,Todd Gurley,LAR,RB,4,DAL,23,121,5.3,0,8,7,94,1,0,0,31,31
14,Leonard Fournette,JAX,RB,5,PIT,28,181,6.5,2,1,1,3,0,0,0,30.9,30.9
15,Rod Smith,DAL,RB,14,NYG,6,47,7.8,1,5,5,113,1,0,0,30.5,30.5
16,Dion Lewis,NE,RB,16,BUF,24,129,5.4,1,5,5,24,1,0,0,29.8,29.8
17,Mark Ingram,NO,RB,15,NYJ,12,74,6.2,2,6,5,77,0,0,0,29.6,29.6
18,Jordan Howard,CHI,RB,3,PIT,23,140,6.1,2,5,5,26,0,1,1,29.1,29.1
19,CJ Anderson,DEN,RB,2,DAL,25,118,4.7,1,3,3,36,1,0,0,28.9,28.9
20,Jonathan Stewart,CAR,RB,14,MIN,16,103,6.4,3,1,0,0,0,0,0,28.3,28.3
20,Dion Lewis,NE,RB,17,NYJ,26,93,3.6,1,7,6,40,1,0,0,28.3,28.3
22,Alvin Kamara,NO,RB,9,TB,10,68,6.8,1,7,6,84,1,1,1,28.2,28.2
23,Jordan Howard,CHI,RB,14,CIN,23,147,6.4,2,2,1,8,0,0,0,28,28
24,Ezekiel Elliott,DAL,RB,4,LAR,21,85,4,1,5,4,54,1,0,0,27.9,27.9
24,Devonta Freeman,ATL,RB,15,TB,22,126,5.7,1,7,5,68,0,2,0,27.9,27.9
26,Chris Thompson,WAS,RB,3,OAK,8,38,4.8,0,7,6,150,1,0,0,27.8,27.8
26,Alvin Kamara,NO,RB,17,TB,9,44,4.9,1,7,6,84,0,0,0,27.8,27.8
28,Jamaal Williams,GB,RB,12,PIT,21,66,3.1,1,5,4,69,1,0,0,27.5,27.5
28,Mark Ingram,NO,RB,6,DET,25,114,4.6,2,5,5,36,0,1,1,27.5,27.5
30,Jamaal Williams,GB,RB,14,CLE,15,49,3.3,1,7,7,69,1,0,0,27.3,27.3
31,DeMarco Murray,TEN,RB,10,CIN,14,42,3,2,4,4,30,1,0,0,27.2,27.2
32,Lamar Miller,HOU,RB,4,TEN,19,75,3.9,1,5,4,56,1,0,0,27.1,27.1
32,Alvin Kamara,NO,RB,13,CAR,9,60,6.7,2,6,5,66,0,0,0,27.1,27.1
34,Todd Gurley,LAR,RB,14,PHI,13,96,7.4,2,5,3,39,0,0,0,27,27
34,Bilal Powell,NYJ,RB,4,JAX,21,163,7.8,1,5,4,27,0,0,0,27,27
36,Le'Veon Bell,PIT,RB,13,CIN,18,76,4.2,0,6,5,106,1,0,0,26.7,26.7
37,Le'Veon Bell,PIT,RB,6,KC,32,179,5.6,1,6,3,12,0,0,0,26.6,26.6
38,LeSean McCoy,BUF,RB,8,OAK,27,151,5.6,1,7,6,22,0,0,0,26.3,26.3
38,Giovani Bernard,CIN,RB,16,DET,23,116,5,1,7,7,52,0,0,0,26.3,26.3
40,Ty Montgomery,GB,RB,2,ATL,10,35,3.5,1,7,6,75,1,0,0,26,26
41,Ezekiel Elliott,DAL,RB,8,WAS,33,150,4.5,2,2,1,4,0,1,1,25.9,25.9
41,Melvin Gordon,LAC,RB,15,KC,19,78,4.1,1,8,6,91,0,0,0,25.9,25.9
43,Adrian Peterson,ARI,RB,6,TB,26,134,5.2,2,0,0,0,0,1,0,25.4,25.4
43,Dalvin Cook,MIN,RB,3,TB,27,97,3.6,1,5,5,72,0,0,0,25.4,25.4
45,LeSean McCoy,BUF,RB,11,LAC,13,114,8.8,1,1,1,12,1,0,0,25.1,25.1
45,Corey Clement,PHI,RB,9,DEN,12,51,4.2,2,1,1,15,1,0,0,25.1,25.1
45,Todd Gurley,LAR,RB,2,WAS,16,88,5.5,1,4,3,48,1,2,1,25.1,25.1
48,Le'Veon Bell,PIT,RB,15,NE,24,117,4.9,1,6,5,48,0,0,0,25,25
49,Kareem Hunt,KC,RB,3,LAC,17,172,10.1,1,1,1,11,0,0,0,24.8,24.8
49,CJ Anderson,DEN,RB,16,WAS,16,88,5.5,1,9,7,45,0,0,0,24.8,24.8
51,LeSean McCoy,BUF,RB,7,TB,23,91,4,2,7,5,31,0,1,1,24.7,24.7
52,Kareem Hunt,KC,RB,2,PHI,13,81,6.2,2,3,3,28,0,0,0,24.4,24.4
