Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,David Johnson,ARI,RB,15,PHI,29,187,6.4,3,4,4,42,0,0,0,42.9,42.9
2,Devonta Freeman,ATL,RB,3,DAL,30,141,4.7,3,5,5,52,0,0,0,39.8,39.8
3,Thomas Rawls,SEA,RB,11,SF,30,209,7,1,3,3,46,1,0,0,39,39
4,DeAngelo Williams,PIT,RB,9,OAK,27,170,6.3,2,4,2,55,0,0,0,37.5,37.5
5,Lamar Miller,MIA,RB,7,HOU,14,175,12.5,1,3,3,61,1,0,0,37.1,37.1
6,Devonta Freeman,ATL,RB,4,HOU,14,68,4.9,3,6,5,81,0,0,0,35.4,35.4
7,Doug Martin,TB,RB,5,JAX,24,123,5.1,2,3,3,35,1,0,0,35.3,35.3
8,Jeremy Langford,CHI,RB,10,LAR,20,73,3.6,1,9,7,109,1,0,0,33.7,33.7
9,Danny Woodhead,LAC,RB,15,MIA,8,10,1.2,1,6,6,50,3,0,0,33,33
10,Adrian Peterson,MIN,RB,12,ATL,29,158,5.4,2,4,2,29,0,0,0,31.7,31.7
11,Devonta Freeman,ATL,RB,6,NO,13,100,7.7,1,10,8,56,1,0,0,31.6,31.6
12,Carlos Hyde,SF,RB,1,MIN,26,168,6.5,2,2,2,14,0,0,0,31.2,31.2
13,Tim Hightower,NO,RB,16,JAX,27,122,4.5,2,3,3,47,0,0,0,30.4,30.4
14,Todd Gurley,LAR,RB,7,CLE,19,128,6.7,2,5,4,35,0,0,0,30.3,30.3
15,Charcandrick West,KC,RB,10,DEN,24,69,2.9,1,5,3,92,1,0,0,29.6,29.6
15,Lamar Miller,MIA,RB,9,BUF,12,44,3.7,2,7,7,97,0,0,0,29.6,29.6
17,Joseph Randle,DAL,RB,3,ATL,14,87,6.2,3,2,2,18,0,0,0,29.5,29.5
18,CJ Anderson,DEN,RB,12,NE,15,113,7.5,2,4,4,40,0,0,0,29.3,29.3
19,DeAngelo Williams,PIT,RB,2,SF,20,77,3.8,3,5,4,15,0,0,0,29.2,29.2
