Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Arian Foster,HOU,RB,1,CIN,24,153,6.4,2,3,3,29,0,0,0,31.7,31.7
2,Darren Sproles,NO,RB,2,SF,3,3,1,0,19,15,119,1,1,1,25.7,25.7
3,Arian Foster,HOU,RB,2,BAL,27,132,4.9,1,5,5,22,0,1,0,23.9,23.9
4,Darren Sproles,NO,RB,1,DET,10,51,5.1,2,5,4,34,0,0,0,22.5,22.5
5,Pierre Thomas,NO,RB,1,DET,8,66,8.2,1,6,6,55,0,0,0,21.1,21.1
6,Frank Gore,SF,RB,2,NO,13,89,6.8,0,7,7,38,0,1,0,16.2,16.2
7,Ahmad Bradshaw,NYG,RB,4,NE,17,72,4.2,1,3,2,19,0,1,0,16.1,16.1
8,Ahmad Bradshaw,NYG,RB,3,SF,20,74,3.7,0,8,6,52,0,0,0,15.6,15.6
9,Isaac Redman,PIT,RB,1,DEN,17,121,7.1,0,2,2,21,0,0,0,15.2,15.2
10,Frank Gore,SF,RB,3,NYG,16,74,4.6,0,8,6,45,0,0,0,14.9,14.9
11,Danny Woodhead,NE,RB,4,NYG,7,18,2.6,0,4,4,42,1,0,0,14,14
12,Willis McGahee,DEN,RB,2,NE,17,76,4.5,1,2,0,0,0,0,0,13.6,13.6
13,BenJarvus Green-Ellis,NE,RB,3,BAL,15,68,4.5,1,1,0,0,0,0,0,12.8,12.8
14,Brandon Jacobs,NYG,RB,1,ATL,14,92,6.6,0,2,2,8,0,0,0,11,11
14,Ahmad Bradshaw,NYG,RB,1,ATL,14,63,4.5,0,5,5,22,0,0,0,11,11
16,Ray Rice,BAL,RB,2,HOU,21,60,2.9,0,5,4,20,0,1,0,10,10
16,Brian Leonard,CIN,RB,1,HOU,3,34,11.3,0,7,6,36,0,0,0,10,10
18,Ahmad Bradshaw,NYG,RB,2,GB,12,63,5.2,0,5,3,21,0,0,0,9.9,9.9
19,James Starks,GB,RB,2,NYG,6,43,7.2,0,5,4,24,0,0,0,8.7,8.7
20,Ray Rice,BAL,RB,3,NE,21,67,3.2,0,3,1,11,0,0,0,8.3,8.3
21,Brandon Jacobs,NYG,RB,2,GB,9,22,2.4,1,0,0,0,0,0,0,8.2,8.2
22,Cedric Benson,CIN,RB,1,HOU,7,14,2,1,2,1,-2,0,0,0,7.7,7.7
23,BenJarvus Green-Ellis,NE,RB,4,NYG,10,44,4.4,0,3,2,15,0,0,0,6.9,6.9
24,John Kuhn,GB,FB,2,NYG,1,2,2,0,3,1,8,1,1,1,5.5,5.5
24,Bernard Scott,CIN,RB,1,HOU,6,11,1.8,0,4,3,29,0,0,0,5.5,5.5
26,Michael Turner,ATL,RB,1,NYG,15,41,2.7,0,1,1,5,0,0,0,5.1,5.1
26,Kevin Smith,DET,RB,1,NO,6,21,3.5,0,4,2,20,0,0,0,5.1,5.1
28,Chris Ivory,NO,RB,1,DET,13,47,3.6,0,0,0,0,0,0,0,4.7,4.7
