Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,LeGarrette Blount,NE,RB,3,IND,30,148,4.9,3,0,0,0,0,0,0,32.8,32.8
2,Marshawn Lynch,SEA,RB,3,GB,25,157,6.3,1,3,1,26,0,0,0,24.8,24.8
3,Dan Herron,IND,RB,1,CIN,12,56,4.7,1,11,10,85,0,2,1,23.1,23.1
4,Justin Forsett,BAL,RB,2,NE,24,129,5.4,0,3,2,17,1,0,0,21.6,21.6
5,Marshawn Lynch,SEA,RB,4,NE,24,102,4.2,1,2,1,31,0,0,0,19.8,19.8
6,Dan Herron,IND,RB,2,DEN,23,63,2.7,1,8,8,32,0,0,0,19.5,19.5
7,Jonathan Stewart,CAR,RB,1,ARI,24,123,5.1,1,1,1,-3,0,0,0,18.5,18.5
8,DeMarco Murray,DAL,RB,2,GB,25,123,4.9,1,2,1,5,0,1,1,17.3,17.3
9,DeMarco Murray,DAL,RB,1,DET,19,75,3.9,1,4,3,22,0,0,0,17.2,17.2
10,CJ Anderson,DEN,RB,2,IND,18,80,4.4,0,6,6,29,0,0,0,13.9,13.9
11,Shane Vereen,NE,RB,4,SEA,4,13,3.2,0,12,11,64,0,0,0,13.2,13.2
12,Reggie Bush,DET,RB,1,DAL,8,37,4.6,1,5,3,10,0,1,0,12.2,12.2
13,Eddie Lacy,GB,RB,2,DAL,19,101,5.3,0,1,1,10,0,0,0,11.6,11.6
14,Fozzy Whittaker,CAR,RB,1,ARI,1,4,4,0,1,1,39,1,0,0,10.8,10.8
15,Jeremy Hill,CIN,RB,1,IND,13,47,3.6,1,0,0,0,0,0,0,10.7,10.7
16,Joique Bell,DET,RB,1,DAL,12,43,3.6,0,4,4,42,0,0,0,10.5,10.5
17,Giovani Bernard,CIN,RB,1,IND,3,6,2,0,9,8,46,0,0,0,9.2,9.2
18,Zurlon Tipton,IND,RB,3,NE,5,14,2.8,1,4,1,4,0,0,0,8.3,8.3
19,Marshawn Lynch,SEA,RB,2,CAR,14,59,4.2,0,3,3,6,0,1,0,8,8
20,Jonathan Stewart,CAR,RB,2,SEA,13,70,5.4,0,1,1,4,0,1,0,7.9,7.9
21,Eddie Lacy,GB,RB,3,SEA,21,73,3.5,0,3,0,0,0,0,0,7.3,7.3
