Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Derrick Henry,TEN,RB,14,JAX,17,238,14,4,0,0,0,0,0,0,47.8,47.8
2,Christian McCaffrey,CAR,RB,12,SEA,17,125,7.4,1,11,11,112,1,3,0,41.2,41.2
3,Alvin Kamara,NO,RB,4,NYG,19,134,7.1,3,9,5,47,0,0,0,38.6,38.6
3,Alvin Kamara,NO,RB,1,TB,8,29,3.6,2,12,9,112,1,0,0,38.6,38.6
5,James Conner,PIT,RB,8,CLE,24,146,6.1,2,6,5,66,0,1,0,35.7,35.7
6,Todd Gurley,LAR,RB,6,DEN,28,208,7.4,2,5,2,17,0,0,0,35.5,35.5
7,Kareem Hunt,KC,RB,7,CIN,15,86,5.7,1,6,5,55,2,0,0,34.6,34.6
8,Nick Chubb,CLE,RB,10,ATL,20,176,8.8,1,3,3,33,1,0,0,34.4,34.4
9,Christian McCaffrey,CAR,RB,10,PIT,14,77,5.5,1,5,5,61,2,0,0,34.3,34.3
10,Saquon Barkley,NYG,RB,11,TB,27,142,5.3,2,3,2,10,1,0,0,34.2,34.2
11,Melvin Gordon,LAC,RB,6,CLE,18,132,7.3,3,4,2,18,0,0,0,34,34
12,David Johnson,ARI,RB,10,KC,21,98,4.7,1,9,7,85,1,0,0,33.8,33.8
13,Ezekiel Elliott,DAL,RB,10,PHI,19,151,7.9,1,7,6,36,1,1,0,33.7,33.7
14,Saquon Barkley,NYG,RB,6,PHI,13,130,10,1,12,9,99,0,0,0,33.4,33.4
15,Kareem Hunt,KC,RB,9,CLE,17,91,5.4,2,2,1,50,1,0,0,32.6,32.6
16,James Conner,PIT,RB,5,ATL,21,110,5.2,2,4,4,75,0,1,0,32.5,32.5
17,Ezekiel Elliott,DAL,RB,4,DET,25,152,6.1,0,4,4,88,1,1,0,32,32
