Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Jamaal Charles,KC,RB,15,OAK,8,20,2.5,1,8,8,195,4,0,0,55.5,55.5
2,Bobby Rainey,TB,RB,11,ATL,30,163,5.4,2,2,2,4,1,0,0,35.7,35.7
2,Matt Forte,CHI,RB,17,GB,22,110,5,2,4,4,47,1,0,0,35.7,35.7
4,LeSean McCoy,PHI,RB,14,DET,29,217,7.5,2,1,1,4,0,0,0,34.6,34.6
5,Marshawn Lynch,SEA,RB,2,SF,28,98,3.5,2,3,3,37,1,0,0,33,33
6,Zac Stacy,LAR,RB,9,TEN,27,127,4.7,2,7,6,51,0,0,0,32.8,32.8
7,Knowshon Moreno,DEN,RB,6,JAX,15,42,2.8,3,10,7,62,0,0,0,31.9,31.9
8,LeSean McCoy,PHI,RB,16,CHI,18,133,7.4,2,6,6,29,0,0,0,31.2,31.2
9,Adrian Peterson,MIN,RB,1,DET,18,93,5.2,2,4,4,18,1,0,0,31.1,31.1
10,LeGarrette Blount,NE,RB,17,BUF,24,189,7.9,2,0,0,0,0,1,0,30.9,30.9
11,DeMarco Murray,DAL,RB,13,OAK,17,63,3.7,3,5,5,39,0,0,0,30.7,30.7
12,Chris Johnson,TEN,RB,9,LAR,23,150,6.5,2,4,3,20,0,0,0,30.5,30.5
13,Matt Forte,CHI,RB,7,WAS,16,91,5.7,3,3,2,18,0,0,0,29.9,29.9
14,Jamaal Charles,KC,RB,12,LAC,14,115,8.2,2,6,4,42,0,0,0,29.7,29.7
15,Knowshon Moreno,DEN,RB,12,NE,37,224,6.1,1,1,1,6,0,0,0,29.5,29.5
15,Marshawn Lynch,SEA,RB,6,TEN,21,77,3.7,2,5,4,78,0,1,0,29.5,29.5
17,LeSean McCoy,PHI,RB,11,WAS,20,77,3.8,2,4,4,73,0,0,0,29,29
18,Jamaal Charles,KC,RB,14,WAS,19,150,7.9,1,3,2,8,1,0,0,28.8,28.8
