Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
708,Robert Turbin,SEA,RB,9,OAK,5,35,7,0,2,1,14,0,0,0,5.4,5.4
708,Dexter McCluster,TEN,RB,13,HOU,9,33,3.7,0,3,2,11,0,0,0,5.4,5.4
708,Stepfan Taylor,ARI,RB,16,SEA,11,19,1.7,0,3,2,25,0,0,0,5.4,5.4
708,Darren Sproles,PHI,RB,11,GB,2,21,10.5,0,6,2,23,0,0,0,5.4,5.4
708,Jonathan Stewart,CAR,RB,11,ATL,7,24,3.4,0,3,3,15,0,0,0,5.4,5.4
708,Jamaal Charles,KC,RB,1,TEN,7,19,2.7,0,4,4,15,0,0,0,5.4,5.4
708,Reggie Bush,DET,RB,14,TB,8,26,3.2,0,6,4,8,0,0,0,5.4,5.4
719,Chris Ivory,NYJ,RB,16,NE,11,53,4.8,0,0,0,0,0,0,0,5.3,5.3
719,Ryan Mathews,LAC,RB,14,NE,11,44,4,0,1,1,4,0,0,0,5.3,5.3
719,Doug Martin,TB,RB,6,BAL,11,45,4.1,0,2,1,3,0,0,0,5.3,5.3
719,Reggie Bush,DET,RB,5,BUF,6,13,2.2,0,5,2,30,0,0,0,5.3,5.3
719,Roy Helu,WAS,RB,8,DAL,5,29,5.8,0,2,2,14,0,0,0,5.3,5.3
719,Chris Ivory,NYJ,RB,12,BUF,7,31,4.4,0,3,3,7,0,0,0,5.3,5.3
725,DuJuan Harris,GB,RB,10,CHI,8,52,6.5,0,0,0,0,0,0,0,5.2,5.2
725,Matt Asiata,MIN,RB,5,GB,15,72,4.8,0,3,0,0,0,1,1,5.2,5.2
725,Joseph Randle,DAL,RB,6,SEA,5,52,10.4,0,0,0,0,0,0,0,5.2,5.2
725,Donald Brown,LAC,RB,17,KC,10,39,3.9,0,1,1,8,0,0,0,5.2,5.2
725,Justin Forsett,BAL,RB,15,JAX,16,48,3,0,2,1,-1,0,0,0,5.2,5.2
725,Mark Ingram,NO,RB,12,BAL,11,27,2.5,0,2,2,15,0,1,0,5.2,5.2
725,James Starks,GB,RB,6,MIA,8,31,3.9,0,5,2,11,0,0,0,5.2,5.2
725,Trent Richardson,IND,RB,9,NYG,7,33,4.7,0,2,2,9,0,0,0,5.2,5.2
725,Jonathan Stewart,CAR,RB,1,TB,9,20,2.2,0,3,3,17,0,0,0,5.2,5.2
725,Darrin Reaves,CAR,RB,4,BAL,12,26,2.2,0,5,3,11,0,0,0,5.2,5.2
725,Zac Stacy,LAR,RB,8,KC,5,17,3.4,0,4,3,20,0,0,0,5.2,5.2
725,Rex Burkhead,CIN,RB,11,NO,2,1,0.5,0,3,3,36,0,0,0,5.2,5.2
725,Justin Forsett,BAL,RB,16,HOU,10,19,1.9,0,4,4,13,0,0,0,5.2,5.2
725,Ben Tate,CLE,RB,9,TB,10,3,0.3,0,4,4,29,0,0,0,5.2,5.2
739,Andre Williams,NYG,RB,7,DAL,18,51,2.8,0,3,0,0,0,0,0,5.1,5.1
739,Chris Ivory,NYJ,RB,10,PIT,14,51,3.6,0,0,0,0,0,0,0,5.1,5.1
739,Darren Sproles,PHI,RB,5,LAR,7,51,7.3,0,0,0,0,0,0,0,5.1,5.1
739,Joique Bell,DET,RB,12,NE,19,48,2.5,0,2,1,-2,0,0,0,5.1,5.1
739,Dexter McCluster,TEN,RB,1,KC,9,29,3.2,0,2,1,17,0,0,0,5.1,5.1
739,Trent Richardson,IND,RB,15,HOU,9,32,3.6,0,3,2,9,0,0,0,5.1,5.1
739,James White,NE,RB,4,KC,3,21,7,0,3,3,15,0,0,0,5.1,5.1
739,Giovani Bernard,CIN,RB,14,PIT,6,17,2.8,0,5,3,19,0,0,0,5.1,5.1
739,Denard Robinson,JAX,RB,6,TEN,5,22,4.4,0,3,3,14,0,0,0,5.1,5.1
748,Bernard Pierce,BAL,RB,14,MIA,3,50,16.7,0,0,0,0,0,0,0,5,5
748,Marcel Reece,OAK,FB,12,KC,8,37,4.6,0,5,1,8,0,0,0,5,5
748,Patrick DiMarco,ATL,FB,3,TB,0,0,0,0,3,3,35,0,0,0,5,5
748,Lorenzo Taliaferro,BAL,RB,9,PIT,7,21,3,0,3,3,34,0,1,1,5,5
748,Pierre Thomas,NO,RB,7,DET,6,13,2.2,0,4,4,17,0,0,0,5,5
753,Chris Polk,PHI,RB,13,DAL,11,49,4.5,0,0,0,0,0,0,0,4.9,4.9
753,Alfred Morris,WAS,RB,15,NYG,14,49,3.5,0,0,0,0,0,0,0,4.9,4.9
753,Isaiah Crowell,CLE,RB,13,BUF,17,29,1.7,0,2,1,15,0,0,0,4.9,4.9
753,Joique Bell,DET,RB,4,NYJ,8,32,4,0,4,2,7,0,0,0,4.9,4.9
757,George Winn,DET,RB,5,BUF,11,48,4.4,0,2,0,0,0,0,0,4.8,4.8
757,Damien Williams,MIA,RB,11,BUF,0,0,0,0,3,2,38,0,0,0,4.8,4.8
757,Jordan Todman,JAX,RB,10,DAL,2,6,3,0,6,3,27,0,0,0,4.8,4.8
760,Ronnie Brown,LAC,RB,16,SF,7,33,4.7,0,3,1,9,0,0,0,4.7,4.7
760,Andre Williams,NYG,RB,13,JAX,8,21,2.6,0,3,2,16,0,0,0,4.7,4.7
760,Pierre Thomas,NO,RB,13,PIT,3,21,7,0,4,2,16,0,0,0,4.7,4.7
760,Darren Sproles,PHI,RB,13,DAL,1,13,13,0,3,3,19,0,0,0,4.7,4.7
760,Denard Robinson,JAX,RB,4,LAC,9,25,2.8,0,3,3,7,0,0,0,4.7,4.7
760,CJ Spiller,BUF,RB,5,DET,9,7,0.8,0,4,3,25,0,0,0,4.7,4.7
760,Pierre Thomas,NO,RB,2,CLE,3,16,5.3,0,3,3,16,0,0,0,4.7,4.7
760,Matt Asiata,MIN,RB,8,TB,4,1,0.2,0,5,4,26,0,0,0,4.7,4.7
768,Jonathan Stewart,CAR,RB,9,NO,8,46,5.8,0,0,0,0,0,0,0,4.6,4.6
768,Jeremy Hill,CIN,RB,10,CLE,12,55,4.6,0,2,1,6,0,1,1,4.6,4.6
768,James Starks,GB,RB,13,NE,1,2,2,0,2,2,34,0,0,0,4.6,4.6
768,Lance Dunbar,DAL,RB,4,NO,0,0,0,0,3,2,36,0,0,0,4.6,4.6
768,Fozzy Whittaker,CAR,RB,10,PHI,6,29,4.8,0,2,2,7,0,0,0,4.6,4.6
768,Mark Ingram,NO,RB,14,CAR,10,43,4.3,0,2,2,13,0,1,1,4.6,4.6
768,Roy Helu,WAS,RB,2,JAX,8,25,3.1,0,2,2,11,0,0,0,4.6,4.6
768,Robert Turbin,SEA,RB,7,LAR,2,7,3.5,0,4,3,24,0,0,0,4.6,4.6
768,Shane Vereen,NE,RB,14,LAC,1,1,1,0,4,3,30,0,0,0,4.6,4.6
768,Orleans Darkwa,MIA,RB,2,BUF,0,0,0,0,3,3,31,0,0,0,4.6,4.6
768,Donald Brown,LAC,RB,2,SEA,7,21,3,0,4,3,10,0,0,0,4.6,4.6
779,Maurice Jones-Drew,OAK,RB,6,LAC,4,30,7.5,0,1,1,10,0,0,0,4.5,4.5
779,Shane Vereen,NE,RB,2,MIN,6,40,6.7,0,2,1,0,0,0,0,4.5,4.5
779,Toby Gerhart,JAX,RB,14,HOU,5,19,3.8,0,3,2,16,0,0,0,4.5,4.5
779,Jacquizz Rodgers,ATL,RB,8,DET,1,2,2,0,3,3,28,0,0,0,4.5,4.5
779,Darren Sproles,PHI,RB,3,WAS,2,20,10,0,4,3,30,0,1,1,4.5,4.5
779,Travaris Cadet,NO,RB,9,CAR,2,1,0.5,0,5,3,29,0,0,0,4.5,4.5
779,James Starks,GB,RB,16,TB,7,3,0.4,0,5,4,22,0,0,0,4.5,4.5
786,Chris Ivory,NYJ,RB,5,LAC,9,44,4.9,0,1,0,0,0,0,0,4.4,4.4
786,Anthony Dixon,BUF,RB,8,NYJ,22,44,2,0,0,0,0,0,0,0,4.4,4.4
786,Branden Oliver,LAC,RB,11,OAK,13,36,2.8,0,3,1,3,0,0,0,4.4,4.4
786,Dexter McCluster,TEN,RB,2,DAL,4,30,7.5,0,1,1,9,0,0,0,4.4,4.4
786,Darren McFadden,OAK,RB,12,KC,12,29,2.4,0,2,2,5,0,0,0,4.4,4.4
786,Bilal Powell,NYJ,RB,16,NE,5,21,4.2,0,2,2,13,0,0,0,4.4,4.4
786,Leon Washington,TEN,RB,1,KC,2,23,11.5,0,2,2,11,0,1,0,4.4,4.4
786,Zac Stacy,LAR,RB,6,SF,8,17,2.1,0,3,2,17,0,0,0,4.4,4.4
786,Charles Sims,TB,RB,16,GB,4,-1,-0.2,0,6,3,30,0,0,0,4.4,4.4
