Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Shane Vereen,NE,RB,2,HOU,7,41,5.9,1,6,5,83,2,0,0,32.9,32.9
2,Arian Foster,HOU,RB,2,NE,22,90,4.1,1,9,7,63,1,0,0,30.8,30.8
3,Arian Foster,HOU,RB,1,CIN,32,140,4.4,1,8,8,34,0,0,0,27.4,27.4
4,Frank Gore,SF,RB,2,GB,23,119,5.2,1,2,2,48,0,0,0,23.7,23.7
5,Frank Gore,SF,RB,3,ATL,21,90,4.3,2,0,0,0,0,0,0,21,21
6,Ray Rice,BAL,RB,2,DEN,30,131,4.4,1,2,0,0,0,0,0,19.1,19.1
7,Marshawn Lynch,SEA,RB,1,WAS,20,132,6.6,1,1,1,9,0,1,1,18.6,18.6
8,DuJuan Harris,GB,RB,1,MIN,17,47,2.8,1,6,5,53,0,0,0,18.5,18.5
9,Frank Gore,SF,RB,4,BAL,19,110,5.8,1,0,0,0,0,0,0,17,17
10,Stevan Ridley,NE,RB,2,HOU,15,82,5.5,1,2,1,13,0,0,0,16,16
11,John Kuhn,GB,FB,1,MIN,3,4,1.3,1,3,2,15,1,0,0,14.9,14.9
12,Ray Rice,BAL,RB,3,NE,19,48,2.5,1,4,3,22,0,0,0,14.5,14.5
13,Marshawn Lynch,SEA,RB,2,ATL,16,46,2.9,1,3,3,37,0,1,1,13.8,13.8
14,DuJuan Harris,GB,RB,2,SF,11,53,4.8,1,4,2,11,0,0,0,13.4,13.4
15,Knowshon Moreno,DEN,RB,2,BAL,10,32,3.2,0,2,2,21,1,0,0,12.3,12.3
16,Ronnie Hillman,DEN,RB,2,BAL,22,83,3.8,0,4,3,20,0,0,0,11.8,11.8
17,Adrian Peterson,MIN,RB,1,GB,22,99,4.5,0,3,1,8,0,0,0,11.2,11.2
18,Bernard Pierce,BAL,RB,1,IND,13,103,7.9,0,0,0,0,0,0,0,10.3,10.3
18,LaMichael James,SF,RB,3,ATL,5,34,6.8,1,1,1,4,0,0,0,10.3,10.3
20,Vick Ballard,IND,RB,1,BAL,22,91,4.1,0,2,1,3,0,0,0,9.9,9.9
21,Michael Turner,ATL,RB,2,SEA,14,98,7,0,0,0,0,0,0,0,9.8,9.8
22,Michael Robinson,SEA,RB,1,WAS,1,3,3,0,3,2,23,1,0,0,9.6,9.6
23,Jacquizz Rodgers,ATL,RB,2,SEA,10,64,6.4,0,2,2,8,0,0,0,8.2,8.2
24,Alfred Morris,WAS,RB,1,SEA,16,80,5,0,0,0,0,0,0,0,8,8
24,Ray Rice,BAL,RB,1,IND,15,68,4.5,0,4,1,47,0,2,2,8,8
26,Ray Rice,BAL,RB,4,SF,20,59,3,0,4,4,19,0,1,1,7.8,7.8
27,Jason Snelling,ATL,RB,2,SEA,0,0,0,0,1,1,5,1,0,0,7,7
28,Evan Royster,WAS,RB,1,SEA,0,0,0,0,1,1,4,1,0,0,6.9,6.9
29,Bernard Pierce,BAL,RB,3,NE,9,52,5.8,0,1,1,8,0,0,0,6.5,6.5
29,Robert Turbin,SEA,RB,2,ATL,4,18,4.5,0,3,2,37,0,0,0,6.5,6.5
31,BenJarvus Green-Ellis,CIN,RB,1,HOU,11,63,5.7,0,2,2,-9,0,0,0,6.4,6.4
32,Vonta Leach,BAL,RB,1,IND,1,2,2,1,0,0,0,0,0,0,6.2,6.2
32,Anthony Dixon,SF,RB,2,GB,1,2,2,1,0,0,0,0,0,0,6.2,6.2
34,Stevan Ridley,NE,RB,3,BAL,18,70,3.9,0,0,0,0,0,1,1,5,5
35,Shane Vereen,NE,RB,3,BAL,4,16,4,0,4,2,22,0,0,0,4.8,4.8
36,Vonta Leach,BAL,RB,3,NE,2,9,4.5,0,2,2,20,0,1,0,3.9,3.9
37,Bernard Pierce,BAL,RB,4,SF,12,33,2.8,0,0,0,0,0,0,0,3.3,3.3
37,Robert Turbin,SEA,RB,1,WAS,8,22,2.8,0,1,1,6,0,0,0,3.3,3.3
37,LaMichael James,SF,RB,2,GB,3,21,7,0,1,1,7,0,0,0,3.3,3.3
40,Jacquizz Rodgers,ATL,RB,3,SF,10,32,3.2,0,3,0,0,0,0,0,3.2,3.2
41,Michael Turner,ATL,RB,3,SF,8,30,3.8,0,0,0,0,0,0,0,3,3
42,Ryan Grant,GB,RB,1,MIN,7,7,1,0,1,1,16,0,0,0,2.8,2.8
42,Danny Woodhead,NE,RB,3,BAL,3,11,3.7,0,3,1,12,0,0,0,2.8,2.8
44,Vonta Leach,BAL,RB,4,SF,1,1,1,0,3,3,10,0,0,0,2.6,2.6
45,Jacob Hester,DEN,RB,2,BAL,8,11,1.4,0,2,1,7,0,0,0,2.3,2.3
46,Jason Snelling,ATL,RB,3,SF,2,12,6,0,1,1,5,0,0,0,2.2,2.2
47,Bernard Pierce,BAL,RB,2,DEN,5,14,2.8,0,0,0,0,0,0,0,1.4,1.4
48,Mewelde Moore,IND,RB,1,BAL,3,11,3.7,0,0,0,0,0,0,0,1.1,1.1
49,Vonta Leach,BAL,RB,2,DEN,1,3,3,0,1,1,1,0,0,0,0.9,0.9
