Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,James White,NE,RB,4,ATL,6,29,4.8,2,16,14,110,1,0,0,40.9,40.9
2,Le'Veon Bell,PIT,RB,1,MIA,29,167,5.8,2,2,2,7,0,0,0,30.4,30.4
3,Dion Lewis,NE,RB,2,HOU,13,41,3.2,1,7,2,23,1,2,1,23.4,23.4
4,Ty Montgomery,GB,RB,2,DAL,11,47,4.3,2,7,6,34,0,0,0,23.1,23.1
5,Thomas Rawls,SEA,RB,1,DET,27,161,6,1,2,1,1,0,0,0,22.7,22.7
6,Devonta Freeman,ATL,RB,2,SEA,14,45,3.2,1,5,4,80,0,0,0,20.5,20.5
7,DeAngelo Williams,PIT,RB,3,NE,14,34,2.4,1,7,7,51,0,0,0,20,20
8,Devonta Freeman,ATL,RB,4,NE,11,75,6.8,1,2,2,46,0,0,0,19.1,19.1
9,Le'Veon Bell,PIT,RB,2,KC,30,170,5.7,0,5,2,-4,0,0,0,17.6,17.6
10,Devonta Freeman,ATL,RB,3,GB,14,42,3,0,5,4,42,1,0,0,16.4,16.4
11,Tevin Coleman,ATL,RB,2,SEA,11,57,5.2,0,4,3,22,1,0,0,15.4,15.4
12,Tevin Coleman,ATL,RB,3,GB,11,29,2.6,1,3,3,35,0,0,0,13.9,13.9
13,Lamar Miller,HOU,RB,1,OAK,31,73,2.4,1,1,0,0,0,0,0,13.3,13.3
14,Ezekiel Elliott,DAL,RB,2,GB,22,125,5.7,0,1,1,-2,0,0,0,12.8,12.8
15,LeGarrette Blount,NE,RB,3,PIT,16,47,2.9,1,1,1,8,0,0,0,12,12
16,Zach Zenner,DET,RB,1,SEA,11,34,3.1,0,6,6,54,0,0,0,11.8,11.8
17,Latavius Murray,OAK,RB,1,HOU,12,39,3.2,1,4,1,12,0,0,0,11.6,11.6
18,Lamar Miller,HOU,RB,2,NE,19,73,3.8,0,7,4,16,0,0,0,10.9,10.9
19,Spencer Ware,KC,RB,2,PIT,8,35,4.4,1,4,2,1,0,0,0,10.6,10.6
20,Tevin Coleman,ATL,RB,4,NE,7,29,4.1,0,1,1,6,1,0,0,10,10
21,James White,NE,RB,2,HOU,0,0,0,0,1,1,19,1,0,0,8.4,8.4
22,Damien Williams,MIA,RB,1,PIT,3,14,4.7,0,2,1,4,1,0,0,8.3,8.3
22,Ty Montgomery,GB,RB,1,NYG,11,27,2.5,0,4,3,41,0,0,0,8.3,8.3
24,Aaron Ripkowski,GB,FB,1,NYG,2,1,0.5,1,2,2,11,0,0,0,8.2,8.2
25,Jonathan Grimes,HOU,RB,2,NE,2,11,5.5,0,4,4,43,0,0,0,7.4,7.4
26,Paul Perkins,NYG,RB,1,GB,10,30,3,0,5,3,27,0,0,0,7.2,7.2
27,Jay Ajayi,MIA,RB,1,PIT,16,33,2.1,0,3,3,12,0,0,0,6,6
28,Aaron Ripkowski,GB,FB,3,ATL,3,11,3.7,0,3,2,28,0,1,1,4.9,4.9
29,Christine Michael,GB,RB,1,NYG,10,47,4.7,0,0,0,0,0,0,0,4.7,4.7
30,Alex Collins,SEA,RB,2,ATL,2,14,7,0,4,2,17,0,0,0,4.1,4.1
31,Rashad Jennings,NYG,RB,1,GB,5,29,5.8,0,1,1,4,0,0,0,3.8,3.8
32,Patrick DiMarco,ATL,FB,3,GB,0,0,0,0,1,1,31,0,0,0,3.6,3.6
33,Thomas Rawls,SEA,RB,2,ATL,11,34,3.1,0,0,0,0,0,0,0,3.4,3.4
33,Dion Lewis,NE,RB,4,ATL,6,27,4.5,0,3,1,2,0,0,0,3.4,3.4
35,LeGarrette Blount,NE,RB,2,HOU,8,31,3.9,0,0,0,0,0,0,0,3.1,3.1
36,Jonathan Grimes,HOU,RB,1,OAK,4,30,7.5,0,0,0,0,0,0,0,3,3
37,Alex Collins,SEA,RB,1,DET,6,13,2.2,0,1,1,11,0,0,0,2.9,2.9
37,Dion Lewis,NE,RB,3,PIT,6,11,1.8,0,2,2,8,0,0,0,2.9,2.9
39,Akeem Hunt,HOU,RB,2,NE,0,0,0,0,2,2,15,0,0,0,2.5,2.5
40,Aaron Ripkowski,GB,FB,2,DAL,4,24,6,0,0,0,0,0,0,0,2.4,2.4
40,Ty Montgomery,GB,RB,3,ATL,3,17,5.7,0,3,1,2,0,0,0,2.4,2.4
42,James White,NE,RB,3,PIT,1,0,0,0,4,3,8,0,0,0,2.3,2.3
43,Patrick DiMarco,ATL,FB,4,NE,0,0,0,0,2,2,12,0,0,0,2.2,2.2
44,Jalen Richard,OAK,RB,1,HOU,3,3,1,0,2,2,8,0,0,0,2.1,2.1
45,Le'Veon Bell,PIT,RB,3,NE,6,20,3.3,0,0,0,0,0,0,0,2,2
46,Christine Michael,GB,RB,3,ATL,6,11,1.8,0,2,1,3,0,0,0,1.9,1.9
47,James Develin,NE,RB,3,PIT,0,0,0,0,1,1,13,0,0,0,1.8,1.8
48,Deandre Washington,OAK,RB,1,HOU,4,16,4,0,1,0,0,0,0,0,1.6,1.6
49,Marcel Reece,SEA,FB,2,ATL,0,0,0,0,1,1,10,0,0,0,1.5,1.5
50,Bobby Rainey,NYG,RB,1,GB,1,0,0,0,1,1,8,0,0,0,1.3,1.3
50,JD McKissic,SEA,RB,2,ATL,1,3,3,0,1,1,5,0,0,0,1.3,1.3
52,LeGarrette Blount,NE,RB,4,ATL,11,31,2.8,0,0,0,0,0,1,1,1.1,1.1
53,Marcel Reece,SEA,FB,1,DET,1,0,0,0,1,1,5,0,0,0,1,1
54,Anthony Sherman,KC,FB,2,PIT,0,0,0,0,1,1,3,0,0,0,0.8,0.8
55,Jamize Olawale,OAK,FB,1,HOU,1,6,6,0,0,0,0,0,0,0,0.6,0.6
55,David Johnson,PIT,RB,3,NE,0,0,0,0,1,1,1,0,0,0,0.6,0.6
57,James Develin,NE,RB,2,HOU,0,0,0,0,2,1,0,0,0,0,0.5,0.5
58,Alfred Blue,HOU,RB,1,OAK,2,4,2,0,0,0,0,0,0,0,0.4,0.4
59,Charcandrick West,KC,RB,2,PIT,1,-1,-1,0,2,2,14,0,1,1,0.3,0.3
60,DeAngelo Williams,PIT,RB,1,MIA,2,2,1,0,0,0,0,0,0,0,0.2,0.2
60,Alfred Blue,HOU,RB,2,NE,1,2,2,0,0,0,0,0,0,0,0.2,0.2
62,Jay Prosch,HOU,FB,1,OAK,1,1,1,0,0,0,0,0,0,0,0.1,0.1
63,Roosevelt Nix,PIT,RB,3,NE,0,0,0,0,1,0,0,0,0,0,0,0
63,Fitzgerald Toussaint,PIT,RB,3,NE,0,0,0,0,0,0,0,0,0,0,0,0
63,Brandon Bolden,NE,RB,3,PIT,0,0,0,0,0,0,0,0,0,0,0,0
63,Taiwan Jones,OAK,RB,1,HOU,0,0,0,0,0,0,0,0,0,0,0,0
63,Akeem Hunt,HOU,RB,1,OAK,0,0,0,0,0,0,0,0,0,0,0,0
63,Tyler Ervin,HOU,RB,1,OAK,0,0,0,0,0,0,0,0,2,0,0,0
63,JD McKissic,SEA,RB,1,DET,0,0,0,0,1,0,0,0,0,0,0,0
