,date,favorite,spread,underdog,total,awayMoneyLine,homeMoneyLine,season,week
4,"September 30, 2012 1:00 PM",at Texans,-13.0,Titans,45.0,,,2012,4
5,"September 30, 2012 1:00 PM",Chargers,-2.0,at Chiefs,44.0,,,2012,4
6,"September 30, 2012 1:00 PM",Seahawks,-2.5,at Rams,39.5,,,2012,4
7,"September 30, 2012 1:00 PM",49ers,-4.0,at Jets,41.0,,,2012,4
8,"September 30, 2012 4:05 PM",at Broncos,-6.5,Raiders,47.0,,,2012,4
9,"September 30, 2012 4:05 PM",at Jaguars,-1.0,Bengals,45.5,,,2012,4
10,"September 30, 2012 4:05 PM",at Cardinals,-4.0,Dolphins,39.0,,,2012,4
11,"September 30, 2012 4:25 PM",at Packers,-7.5,Saints,54.0,,,2012,4
12,"September 30, 2012 4:25 PM",at Buccaneers,-2.0,Redskins,44.5,,,2012,4
13,"September 30, 2012 8:20 PM",at Eagles,-2.5,Giants,46.0,,,2012,4
14,"October 1, 2012 8:30 PM",at Cowboys,-3.0,Bears,41.5,,,2012,4
0,"October 4, 2012 8:20 PM",Cardinals,-2.0,at Rams,39.0,,,2012,5
1,"October 7, 2012 1:00 PM",at Vikings,-6.0,Titans,44.0,,,2012,5
2,"October 7, 2012 1:00 PM",at Bengals,-3.0,Dolphins,45.5,,,2012,5
3,"October 7, 2012 1:00 PM",Packers,-6.5,at Colts,49.0,,,2012,5
4,"October 7, 2012 1:00 PM",Ravens,-6.0,at Chiefs,47.0,,,2012,5
5,"October 7, 2012 1:00 PM",at Giants,-8.0,Browns,43.5,,,2012,5
6,"October 7, 2012 1:00 PM",at Steelers,-3.5,Eagles,44.0,,,2012,5
7,"October 7, 2012 1:00 PM",Falcons,-3.0,at Redskins,51.0,,,2012,5
8,"October 7, 2012 4:05 PM",at Panthers,-2.0,Seahawks,42.5,,,2012,5
9,"October 7, 2012 4:05 PM",Bears,-6.5,at Jaguars,39.0,,,2012,5
10,"October 7, 2012 4:25 PM",at Patriots,-6.0,Broncos,50.5,,,2012,5
11,"October 7, 2012 4:25 PM",at 49ers,-10.0,Bills,45.5,,,2012,5
12,"October 7, 2012 8:20 PM",at Saints,-3.5,Chargers,52.5,,,2012,5
13,"October 8, 2012 8:30 PM",Texans,-9.5,at Jets,40.5,,,2012,5
0,"October 11, 2012 8:20 PM",Steelers,-6.0,at Titans,43.5,,,2012,6
1,"October 14, 2012 1:00 PM",at Buccaneers,-4.5,Chiefs,40.0,,,2012,6
2,"October 14, 2012 1:00 PM",at Falcons,-9.5,Raiders,49.0,,,2012,6
3,"October 14, 2012 1:00 PM",at Ravens,-3.0,Cowboys,44.5,,,2012,6
4,"October 14, 2012 1:00 PM",Bengals,-1.5,at Browns,42.0,,,2012,6
5,"October 14, 2012 1:00 PM",at Dolphins,-5.5,Rams,38.0,,,2012,6
6,"October 14, 2012 1:00 PM",at Jets,-3.5,Colts,44.0,,,2012,6
7,"October 14, 2012 1:00 PM",at Eagles,-3.5,Lions,47.5,,,2012,6
8,"October 14, 2012 4:05 PM",Patriots,-4.0,at Seahawks,42.5,,,2012,6
9,"October 14, 2012 4:05 PM",at Cardinals,-5.0,Bills,44.5,,,2012,6
10,"October 14, 2012 4:25 PM",Vikings,-2.5,at Redskins,44.0,,,2012,6
11,"October 14, 2012 4:25 PM",at 49ers,-7.0,Giants,47.0,,,2012,6
12,"October 14, 2012 8:20 PM",at Texans,-4.0,Packers,46.5,,,2012,6
13,"October 15, 2012 8:30 PM",at Chargers,-1.0,Broncos,47.5,,,2012,6
0,"October 18, 2012 8:20 PM",at 49ers,-9.0,Seahawks,37.5,,,2012,7
1,"October 21, 2012 1:00 PM",Saints,-1.0,at Buccaneers,49.0,,,2012,7
2,"October 21, 2012 1:00 PM",at Texans,-7.0,Ravens,47.5,,,2012,7
3,"October 21, 2012 1:00 PM",at Colts,-1.0,Browns,46.5,,,2012,7
4,"October 21, 2012 1:00 PM",Packers,-4.5,at Rams,45.0,,,2012,7
5,"October 21, 2012 1:00 PM",at Vikings,-7.0,Cardinals,39.5,,,2012,7
6,"October 21, 2012 1:00 PM",at Bills,-4.0,Titans,46.5,,,2012,7
7,"October 21, 2012 1:00 PM",Cowboys,-2.5,at Panthers,45.0,,,2012,7
8,"October 21, 2012 1:00 PM",at Giants,-6.5,Redskins,51.5,,,2012,7
9,"October 21, 2012 4:25 PM",at Raiders,-6.0,Jaguars,44.5,,,2012,7
10,"October 21, 2012 4:25 PM",at Patriots,-11.0,Jets,47.5,,,2012,7
11,"October 21, 2012 8:20 PM",Steelers,-1.0,at Bengals,46.0,,,2012,7
12,"October 22, 2012 8:30 PM",at Bears,-6.5,Lions,46.5,,,2012,7
0,"October 25, 2012 8:20 PM",at Vikings,-5.5,Buccaneers,43.5,,,2012,8
1,"October 28, 2012 1:00 PM",at Jets,-1.0,Dolphins,39.0,,,2012,8
2,"October 28, 2012 1:00 PM",at Eagles,-3.0,Falcons,43.0,,,2012,8
3,"October 28, 2012 1:00 PM",at Steelers,-4.5,Redskins,44.5,,,2012,8
4,"October 28, 2012 1:00 PM",at Titans,-3.0,Colts,47.0,,,2012,8
5,"October 28, 2012 1:00 PM",at Bears,-7.0,Panthers,41.0,,,2012,8
6,"October 28, 2012 1:00 PM",Chargers,-3.0,at Browns,41.0,,,2012,8
7,"October 28, 2012 1:00 PM",at Lions,-2.5,Seahawks,43.0,,,2012,8
8,"October 28, 2012 1:00 PM",at Packers,-15.5,Jaguars,45.5,,,2012,8
9,"October 28, 2012 1:00 PM",Patriots,-7.0,at Rams,46.0,,,2012,8
10,"October 28, 2012 4:05 PM",at Chiefs,-1.0,Raiders,41.5,,,2012,8
11,"October 28, 2012 4:25 PM",Giants,-3.0,at Cowboys,47.5,,,2012,8
12,"October 28, 2012 8:20 PM",at Broncos,-6.5,Saints,55.0,,,2012,8
13,"October 29, 2012 8:30 PM",49ers,-7.0,at Cardinals,37.5,,,2012,8
0,"November 1, 2012 8:20 PM",at Chargers,-7.0,Chiefs,41.0,,,2012,9
1,"November 4, 2012 1:00 PM",Broncos,-5.0,at Bengals,47.5,,,2012,9
2,"November 4, 2012 1:00 PM",Ravens,-3.5,at Browns,44.0,,,2012,9
3,"November 4, 2012 1:00 PM",at Packers,-10.5,Cardinals,43.0,,,2012,9
4,"November 4, 2012 1:00 PM",at Texans,-11.0,Bills,48.0,,,2012,9
5,"November 4, 2012 1:00 PM",Dolphins,-2.5,at Colts,44.0,,,2012,9
6,"November 4, 2012 1:00 PM",Lions,-6.0,at Jaguars,44.0,,,2012,9
7,"November 4, 2012 1:00 PM",Bears,-5.0,at Titans,44.0,,,2012,9
8,"November 4, 2012 1:00 PM",at Redskins,-3.0,Panthers,48.0,,,2012,9
9,"November 4, 2012 4:05 PM",at Raiders,-1.0,Buccaneers,47.0,,,2012,9
10,"November 4, 2012 4:05 PM",at Seahawks,-4.5,Vikings,38.5,,,2012,9
11,"November 4, 2012 4:25 PM",at Giants,-3.5,Steelers,48.0,,,2012,9
12,"November 4, 2012 8:20 PM",at Falcons,-4.0,Cowboys,47.5,,,2012,9
13,"November 5, 2012 8:30 PM",at Saints,-2.5,Eagles,52.0,,,2012,9
0,"November 8, 2012 8:20 PM",Colts,-3.0,at Jaguars,43.0,,,2012,10
1,"November 11, 2012 1:00 PM",at Dolphins,-6.5,Titans,44.0,,,2012,10
2,"November 11, 2012 1:00 PM",Lions,-3.0,at Vikings,46.0,,,2012,10
3,"November 11, 2012 1:00 PM",at Patriots,-13.5,Bills,54.0,,,2012,10
4,"November 11, 2012 1:00 PM",Falcons,-2.0,at Saints,53.5,,,2012,10
5,"November 11, 2012 1:00 PM",at Ravens,-7.5,Raiders,48.0,,,2012,10
6,"November 11, 2012 1:00 PM",Broncos,-3.5,at Panthers,46.5,,,2012,10
7,"November 11, 2012 1:00 PM",Giants,-4.0,at Bengals,47.5,,,2012,10
8,"November 11, 2012 1:00 PM",at Buccaneers,-3.0,Chargers,47.5,,,2012,10
9,"November 11, 2012 4:05 PM",at Seahawks,-5.5,Jets,38.5,,,2012,10
10,"November 11, 2012 4:25 PM",at 49ers,-13.0,Rams,38.0,,,2012,10
11,"November 11, 2012 4:25 PM",Cowboys,-2.0,at Eagles,44.0,,,2012,10
12,"November 11, 2012 8:20 PM",at Bears,-1.0,Texans,37.0,,,2012,10
13,"November 12, 2012 8:30 PM",at Steelers,-12.5,Chiefs,39.5,,,2012,10
0,"November 15, 2012 8:20 PM",at Bills,-2.5,Dolphins,46.0,,,2012,11
1,"November 18, 2012 1:00 PM",at Panthers,-1.0,Buccaneers,47.0,,,2012,11
2,"November 18, 2012 1:00 PM",at Cowboys,-7.0,Browns,43.5,,,2012,11
3,"November 18, 2012 1:00 PM",at Falcons,-9.5,Cardinals,43.0,,,2012,11
4,"November 18, 2012 1:00 PM",at Redskins,-3.5,Eagles,45.5,,,2012,11
5,"November 18, 2012 1:00 PM",Packers,-3.0,at Lions,53.5,,,2012,11
6,"November 18, 2012 1:00 PM",at Texans,-15.0,Jaguars,40.5,,,2012,11
7,"November 18, 2012 1:00 PM",Bengals,-3.0,at Chiefs,42.0,,,2012,11
8,"November 18, 2012 1:00 PM",at Rams,-3.5,Jets,39.0,,,2012,11
9,"November 18, 2012 1:00 PM",at Patriots,-9.5,Colts,53.5,,,2012,11
10,"November 18, 2012 4:05 PM",Saints,-6.0,at Raiders,55.5,,,2012,11
11,"November 18, 2012 4:25 PM",at Broncos,-7.5,Chargers,47.5,,,2012,11
12,"November 18, 2012 8:20 PM",Ravens,-3.0,at Steelers,41.0,,,2012,11
13,"November 19, 2012 8:30 PM",at 49ers,-3.5,Bears,34.5,,,2012,11
0,"November 22, 2012 12:30 PM",Texans,-3.5,at Lions,49.0,,,2012,12
1,"November 22, 2012 4:25 PM",at Cowboys,-3.5,Redskins,47.0,,,2012,12
2,"November 22, 2012 8:20 PM",Patriots,-7.0,at Jets,48.5,,,2012,12
3,"November 25, 2012 1:00 PM",Seahawks,-3.0,at Dolphins,37.5,,,2012,12
4,"November 25, 2012 1:00 PM",Falcons,-1.0,at Buccaneers,51.0,,,2012,12
5,"November 25, 2012 1:00 PM",at Bears,-6.5,Vikings,38.5,,,2012,12
6,"November 25, 2012 1:00 PM",at Bengals,-8.0,Raiders,50.0,,,2012,12
7,"November 25, 2012 1:00 PM",Steelers,-1.0,at Browns,33.0,,,2012,12
8,"November 25, 2012 1:00 PM",at Colts,-2.0,Bills,51.0,,,2012,12
9,"November 25, 2012 1:00 PM",Titans,-3.5,at Jaguars,45.0,,,2012,12
10,"November 25, 2012 1:00 PM",Broncos,-10.5,at Chiefs,41.5,,,2012,12
11,"November 25, 2012 4:05 PM",Ravens,-1.0,at Chargers,47.0,,,2012,12
12,"November 25, 2012 4:25 PM",at Cardinals,-1.0,Rams,36.5,,,2012,12
13,"November 25, 2012 4:25 PM",49ers,-2.5,at Saints,50.0,,,2012,12
14,"November 25, 2012 8:20 PM",at Giants,-2.5,Packers,50.5,,,2012,12
15,"November 26, 2012 8:30 PM",Panthers,-3.0,at Eagles,41.5,,,2012,12
0,"November 29, 2012 8:20 PM",at Falcons,-3.5,Saints,54.5,,,2012,13
1,"December 2, 2012 1:00 PM",at Bills,-6.0,Jaguars,41.0,,,2012,13
2,"December 2, 2012 1:00 PM",at Bears,-3.0,Seahawks,37.0,,,2012,13
3,"December 2, 2012 1:00 PM",at Lions,-7.0,Colts,51.5,,,2012,13
4,"December 2, 2012 1:00 PM",at Packers,-7.0,Vikings,47.0,,,2012,13
5,"December 2, 2012 1:00 PM",Panthers,-5.5,at Chiefs,41.0,,,2012,13
6,"December 2, 2012 1:00 PM",49ers,-7.5,at Rams,41.0,,,2012,13
7,"December 2, 2012 1:00 PM",Patriots,-7.0,at Dolphins,51.0,,,2012,13
8,"December 2, 2012 1:00 PM",at Jets,-6.0,Cardinals,37.0,,,2012,13
9,"December 2, 2012 1:00 PM",Texans,-7.0,at Titans,48.0,,,2012,13
10,"December 2, 2012 4:05 PM",at Broncos,-8.0,Buccaneers,49.5,,,2012,13
11,"December 2, 2012 4:25 PM",Browns,-2.5,at Raiders,39.5,,,2012,13
12,"December 2, 2012 4:25 PM",at Chargers,-1.0,Bengals,46.0,,,2012,13
13,"December 2, 2012 4:25 PM",at Ravens,-7.0,Steelers,36.5,,,2012,13
14,"December 2, 2012 8:20 PM",at Cowboys,-10.5,Eagles,44.5,,,2012,13
15,"December 3, 2012 8:30 PM",Giants,-3.0,at Redskins,50.0,,,2012,13
0,"December 6, 2012 8:20 PM",Broncos,-10.0,at Raiders,47.0,,,2012,14
1,"December 9, 2012 1:00 PM",at Steelers,-7.0,Chargers,37.5,,,2012,14
2,"December 9, 2012 1:00 PM",at Buccaneers,-7.0,Eagles,48.0,,,2012,14
3,"December 9, 2012 1:00 PM",at Redskins,-1.5,Ravens,48.0,,,2012,14
4,"December 9, 2012 1:00 PM",at Bills,-3.5,Rams,42.5,,,2012,14
5,"December 9, 2012 1:00 PM",Falcons,-3.0,at Panthers,46.5,,,2012,14
6,"December 9, 2012 1:00 PM",at Bengals,-3.0,Cowboys,46.0,,,2012,14
7,"December 9, 2012 1:00 PM",at Browns,-7.0,Chiefs,38.0,,,2012,14
8,"December 9, 2012 1:00 PM",at Colts,-3.5,Titans,47.0,,,2012,14
9,"December 9, 2012 1:00 PM",Jets,-3.0,at Jaguars,39.0,,,2012,14
10,"December 9, 2012 1:00 PM",Bears,-1.0,at Vikings,40.5,,,2012,14
11,"December 9, 2012 4:05 PM",at 49ers,-10.5,Dolphins,38.5,,,2012,14
12,"December 9, 2012 4:25 PM",at Giants,-4.0,Saints,52.5,,,2012,14
13,"December 9, 2012 4:25 PM",at Seahawks,-10.0,Cardinals,36.0,,,2012,14
14,"December 9, 2012 8:20 PM",at Packers,-6.0,Lions,48.5,,,2012,14
15,"December 10, 2012 8:30 PM",at Patriots,-5.5,Texans,50.5,,,2012,14
0,"December 13, 2012 8:20 PM",Bengals,-5.0,at Eagles,45.0,,,2012,15
1,"December 16, 2012 1:00 PM",at Saints,-3.5,Buccaneers,54.5,,,2012,15
2,"December 16, 2012 1:00 PM",at Falcons,-1.0,Giants,50.0,,,2012,15
3,"December 16, 2012 1:00 PM",Broncos,-3.0,at Ravens,48.0,,,2012,15
4,"December 16, 2012 1:00 PM",Packers,-3.0,at Bears,43.5,,,2012,15
5,"December 16, 2012 1:00 PM",at Browns,-4.0,Redskins,40.5,,,2012,15
6,"December 16, 2012 1:00 PM",at Texans,-10.0,Colts,48.0,,,2012,15
7,"December 16, 2012 1:00 PM",at Rams,-2.5,Vikings,39.5,,,2012,15
8,"December 16, 2012 1:00 PM",at Dolphins,-7.5,Jaguars,38.5,,,2012,15
9,"December 16, 2012 4:05 PM",at Chargers,-3.0,Panthers,45.0,,,2012,15
10,"December 16, 2012 4:05 PM",Seahawks,-4.5,at Bills,44.0,,,2012,15
11,"December 16, 2012 4:05 PM",Lions,-6.0,at Cardinals,43.5,,,2012,15
12,"December 16, 2012 4:25 PM",at Raiders,-4.5,Chiefs,43.5,,,2012,15
13,"December 16, 2012 4:25 PM",Steelers,-1.0,at Cowboys,45.5,,,2012,15
14,"December 16, 2012 8:20 PM",at Patriots,-4.0,49ers,47.5,,,2012,15
15,"December 17, 2012 8:30 PM",Jets,-1.0,at Titans,40.5,,,2012,15
0,"December 22, 2012 8:30 PM",Falcons,-3.5,at Lions,50.0,,,2012,16
1,"December 23, 2012 1:00 PM",at Packers,-10.5,Titans,44.0,,,2012,16
2,"December 23, 2012 1:00 PM",at Texans,-7.5,Vikings,43.5,,,2012,16
3,"December 23, 2012 1:00 PM",Patriots,-14.0,at Jaguars,51.5,,,2012,16
4,"December 23, 2012 1:00 PM",Colts,-5.0,at Chiefs,41.5,,,2012,16
5,"December 23, 2012 1:00 PM",at Dolphins,-5.0,Bills,43.0,,,2012,16
6,"December 23, 2012 1:00 PM",at Jets,-3.0,Chargers,38.0,,,2012,16
7,"December 23, 2012 1:00 PM",Redskins,-4.5,at Eagles,46.0,,,2012,16
8,"December 23, 2012 1:00 PM",at Steelers,-3.0,Bengals,41.0,,,2012,16
9,"December 23, 2012 1:00 PM",at Panthers,-9.5,Raiders,47.0,,,2012,16
10,"December 23, 2012 1:00 PM",at Cowboys,-3.0,Saints,54.5,,,2012,16
11,"December 23, 2012 1:00 PM",at Buccaneers,-3.0,Rams,43.5,,,2012,16
12,"December 23, 2012 4:05 PM",at Broncos,-11.0,Browns,43.5,,,2012,16
13,"December 23, 2012 4:25 PM",Bears,-7.0,at Cardinals,36.5,,,2012,16
14,"December 23, 2012 4:25 PM",Giants,-2.5,at Ravens,47.0,,,2012,16
15,"December 23, 2012 8:20 PM",at Seahawks,-2.5,49ers,40.5,,,2012,16
0,"December 30, 2012 1:00 PM",at Falcons,-3.0,Buccaneers,45.5,,,2012,17
1,"December 30, 2012 1:00 PM",at Bills,-3.5,Jets,41.0,,,2012,17
2,"December 30, 2012 1:00 PM",at Bengals,-4.5,Ravens,42.5,,,2012,17
3,"December 30, 2012 1:00 PM",Bears,-3.0,at Lions,46.0,,,2012,17
4,"December 30, 2012 1:00 PM",Texans,-6.5,at Colts,47.0,,,2012,17
5,"December 30, 2012 1:00 PM",at Saints,-4.0,Panthers,53.5,,,2012,17
6,"December 30, 2012 1:00 PM",at Giants,-6.5,Eagles,44.0,,,2012,17
7,"December 30, 2012 1:00 PM",at Steelers,-10.0,Browns,36.5,,,2012,17
8,"December 30, 2012 1:00 PM",at Titans,-6.0,Jaguars,42.0,,,2012,17
9,"December 30, 2012 4:25 PM",at Seahawks,-11.0,Rams,41.5,,,2012,17
10,"December 30, 2012 4:25 PM",at 49ers,-16.5,Cardinals,38.5,,,2012,17
11,"December 30, 2012 4:25 PM",at Chargers,-8.0,Raiders,41.5,,,2012,17
12,"December 30, 2012 4:25 PM",Packers,-3.0,at Vikings,45.5,,,2012,17
13,"December 30, 2012 4:25 PM",at Patriots,-11.0,Dolphins,47.5,,,2012,17
14,"December 30, 2012 4:25 PM",at Broncos,-17.0,Chiefs,41.0,,,2012,17
15,"December 30, 2012 8:20 PM",at Redskins,-3.0,Cowboys,49.0,,,2012,17
0,"September 5, 2013 8:30 PM",at Broncos,-7.5,Ravens,48.0,,,2013,1
1,"September 8, 2013 1:00 PM",at Lions,-4.0,Vikings,46.5,,,2013,1
2,"September 8, 2013 1:00 PM",at Colts,-11.0,Raiders,45.5,,,2013,1
3,"September 8, 2013 1:00 PM",Chiefs,-3.5,at Jaguars,42.5,,,2013,1
4,"September 8, 2013 1:00 PM",Patriots,-10.0,at Bills,50.5,,,2013,1
5,"September 8, 2013 1:00 PM",Seahawks,-3.0,at Panthers,44.5,,,2013,1
6,"September 8, 2013 1:00 PM",at Bears,-3.0,Bengals,41.5,,,2013,1
7,"September 8, 2013 1:00 PM",at Browns,-2.5,Dolphins,41.0,,,2013,1
8,"September 8, 2013 1:00 PM",at Saints,-3.5,Falcons,54.5,,,2013,1
9,"September 8, 2013 1:00 PM",Buccaneers,-4.0,at Jets,39.5,,,2013,1
10,"September 8, 2013 1:00 PM",at Steelers,-6.0,Titans,42.0,,,2013,1
11,"September 8, 2013 4:25 PM",at 49ers,-5.0,Packers,47.0,,,2013,1
12,"September 8, 2013 4:25 PM",at Rams,-3.5,Cardinals,41.5,,,2013,1
13,"September 8, 2013 8:30 PM",at Cowboys,-3.5,Giants,49.5,,,2013,1
14,"September 9, 2013 6:55 PM",at Redskins,-4.0,Eagles,52.0,,,2013,1
15,"September 9, 2013 10:15 PM",Texans,-4.5,at Chargers,44.0,,,2013,1
0,"September 12, 2013 8:25 PM",at Patriots,-11.0,Jets,43.0,,,2013,2
1,"September 15, 2013 1:00 PM",at Eagles,-7.5,Chargers,52.0,,,2013,2
2,"September 15, 2013 1:00 PM",at Falcons,-4.5,Rams,47.5,,,2013,2
3,"September 15, 2013 1:00 PM",at Ravens,-6.5,Browns,43.5,,,2013,2
4,"September 15, 2013 1:00 PM",Panthers,-3.5,at Bills,43.5,,,2013,2
5,"September 15, 2013 1:00 PM",at Bears,-6.0,Vikings,41.0,,,2013,2
6,"September 15, 2013 1:00 PM",at Packers,-7.0,Redskins,49.0,,,2013,2
7,"September 15, 2013 1:00 PM",at Texans,-7.5,Titans,42.0,,,2013,2
8,"September 15, 2013 1:00 PM",at Colts,-1.5,Dolphins,43.0,,,2013,2
9,"September 15, 2013 1:00 PM",at Chiefs,-3.0,Cowboys,45.5,,,2013,2
10,"September 15, 2013 4:05 PM",Lions,-2.0,at Cardinals,47.5,,,2013,2
11,"September 15, 2013 4:05 PM",Saints,-3.0,at Buccaneers,48.5,,,2013,2
12,"September 15, 2013 4:25 PM",Broncos,-3.5,at Giants,53.0,,,2013,2
13,"September 15, 2013 4:25 PM",at Raiders,-3.5,Jaguars,41.0,,,2013,2
14,"September 15, 2013 8:30 PM",at Seahawks,-3.0,49ers,44.0,,,2013,2
15,"September 16, 2013 8:30 PM",at Bengals,-6.5,Steelers,40.5,,,2013,2
0,"September 19, 2013 8:25 PM",at Eagles,-3.0,Chiefs,50.0,,,2013,3
1,"September 22, 2013 1:00 PM",at Titans,-3.0,Chargers,43.5,,,2013,3
2,"September 22, 2013 1:00 PM",Lions,-1.0,at Redskins,48.5,,,2013,3
3,"September 22, 2013 1:00 PM",at Ravens,-1.0,Texans,44.5,,,2013,3
4,"September 22, 2013 1:00 PM",at Panthers,-1.0,Giants,47.0,,,2013,3
5,"September 22, 2013 1:00 PM",Packers,-2.5,at Bengals,49.5,,,2013,3
6,"September 22, 2013 1:00 PM",at Cowboys,-3.5,Rams,47.0,,,2013,3
7,"September 22, 2013 1:00 PM",at Vikings,-6.5,Browns,40.5,,,2013,3
8,"September 22, 2013 1:00 PM",at Patriots,-7.0,Buccaneers,44.5,,,2013,3
9,"September 22, 2013 1:00 PM",at Saints,-7.0,Cardinals,48.5,,,2013,3
10,"September 22, 2013 4:05 PM",at Dolphins,-3.0,Falcons,45.5,,,2013,3
11,"September 22, 2013 4:25 PM",at Seahawks,-19.0,Jaguars,40.5,,,2013,3
12,"September 22, 2013 4:25 PM",at 49ers,-10.0,Colts,46.0,,,2013,3
13,"September 22, 2013 4:25 PM",at Jets,-2.5,Bills,41.0,,,2013,3
14,"September 22, 2013 8:30 PM",Bears,-2.5,at Steelers,40.5,,,2013,3
15,"September 23, 2013 8:30 PM",at Broncos,-16.0,Raiders,49.0,,,2013,3
0,"September 26, 2013 8:25 PM",49ers,-3.0,at Rams,42.5,,,2013,4
1,"September 29, 2013 1:00 PM",Steelers,-3.0,at Vikings,41.5,,,2013,4
2,"September 29, 2013 1:00 PM",Ravens,-3.0,at Bills,44.5,,,2013,4
3,"September 29, 2013 1:00 PM",Bengals,-3.5,at Browns,42.5,,,2013,4
4,"September 29, 2013 1:00 PM",at Lions,-3.0,Bears,48.0,,,2013,4
5,"September 29, 2013 1:00 PM",Seahawks,-1.0,at Texans,41.5,,,2013,4
6,"September 29, 2013 1:00 PM",Colts,-9.0,at Jaguars,42.5,,,2013,4
7,"September 29, 2013 1:00 PM",at Chiefs,-3.5,Giants,44.0,,,2013,4
8,"September 29, 2013 1:00 PM",at Buccaneers,-2.5,Cardinals,40.5,,,2013,4
9,"September 29, 2013 4:05 PM",at Titans,-3.5,Jets,40.5,,,2013,4
10,"September 29, 2013 4:25 PM",Redskins,-3.5,at Raiders,45.5,,,2013,4
11,"September 29, 2013 4:25 PM",Cowboys,-1.0,at Chargers,47.0,,,2013,4
12,"September 29, 2013 4:25 PM",at Broncos,-10.5,Eagles,57.5,,,2013,4
13,"September 29, 2013 8:30 PM",at Falcons,-3.0,Patriots,49.0,,,2013,4
14,"September 30, 2013 8:30 PM",at Saints,-7.0,Dolphins,48.5,,,2013,4
0,"October 3, 2013 8:25 PM",at Browns,-3.5,Bills,41.0,,,2013,5
1,"October 6, 2013 1:00 PM",Chiefs,-2.5,at Titans,38.0,,,2013,5
2,"October 6, 2013 1:00 PM",at Bears,-0.0,Saints,50.5,,,2013,5
3,"October 6, 2013 1:00 PM",Patriots,-1.5,at Bengals,45.5,,,2013,5
4,"October 6, 2013 1:00 PM",at Packers,-10.0,Lions,53.0,,,2013,5
5,"October 6, 2013 1:00 PM",Seahawks,-3.0,at Colts,43.5,,,2013,5
6,"October 6, 2013 1:00 PM",at Rams,-11.0,Jaguars,41.0,,,2013,5
7,"October 6, 2013 1:00 PM",at Dolphins,-2.5,Ravens,43.0,,,2013,5
8,"October 6, 2013 1:00 PM",at Giants,-1.0,Eagles,53.5,,,2013,5
9,"October 6, 2013 4:05 PM",Panthers,-3.0,at Cardinals,41.5,,,2013,5
10,"October 6, 2013 4:25 PM",Broncos,-7.5,at Cowboys,56.0,,,2013,5
11,"October 6, 2013 8:30 PM",at 49ers,-4.0,Texans,43.0,,,2013,5
12,"October 6, 2013 11:35 PM",Chargers,-5.5,at Raiders,46.0,,,2013,5
13,"October 7, 2013 8:30 PM",at Falcons,-10.0,Jets,45.0,,,2013,5
0,"October 10, 2013 8:25 PM",at Bears,-9.5,Giants,47.0,,,2013,6
1,"October 13, 2013 1:00 PM",Lions,-2.0,at Browns,43.5,,,2013,6
2,"October 13, 2013 1:00 PM",Packers,-2.5,at Ravens,48.5,,,2013,6
3,"October 13, 2013 1:00 PM",Bengals,-6.0,at Bills,41.5,,,2013,6
4,"October 13, 2013 1:00 PM",at Texans,-7.5,Rams,43.0,,,2013,6
5,"October 13, 2013 1:00 PM",at Chiefs,-7.5,Raiders,41.0,,,2013,6
6,"October 13, 2013 1:00 PM",at Vikings,-2.5,Panthers,45.0,,,2013,6
7,"October 13, 2013 1:00 PM",Steelers,-1.0,at Jets,41.0,,,2013,6
8,"October 13, 2013 1:00 PM",Eagles,-3.0,at Buccaneers,44.5,,,2013,6
9,"October 13, 2013 4:05 PM",at Broncos,-26.5,Jaguars,52.5,,,2013,6
10,"October 13, 2013 4:05 PM",at Seahawks,-11.5,Titans,42.0,,,2013,6
11,"October 13, 2013 4:25 PM",at 49ers,-10.0,Cardinals,40.5,,,2013,6
12,"October 13, 2013 4:25 PM",at Patriots,-1.5,Saints,50.5,,,2013,6
13,"October 13, 2013 8:30 PM",at Cowboys,-5.5,Redskins,52.0,,,2013,6
14,"October 14, 2013 8:30 PM",Colts,-1.0,at Chargers,50.5,,,2013,6
0,"October 17, 2013 8:25 PM",Seahawks,-6.0,at Cardinals,40.5,,,2013,7
1,"October 20, 2013 1:00 PM",at Falcons,-7.0,Buccaneers,43.0,,,2013,7
2,"October 20, 2013 1:00 PM",at Panthers,-7.0,Rams,42.5,,,2013,7
3,"October 20, 2013 1:00 PM",at Lions,-2.5,Bengals,47.0,,,2013,7
4,"October 20, 2013 1:00 PM",Chargers,-7.5,at Jaguars,44.5,,,2013,7
5,"October 20, 2013 1:00 PM",at Dolphins,-6.0,Bills,44.0,,,2013,7
6,"October 20, 2013 1:00 PM",Patriots,-3.5,at Jets,43.0,,,2013,7
7,"October 20, 2013 1:00 PM",at Eagles,-3.0,Cowboys,55.0,,,2013,7
8,"October 20, 2013 1:00 PM",Bears,-1.0,at Redskins,48.0,,,2013,7
9,"October 20, 2013 4:05 PM",49ers,-3.5,at Titans,41.0,,,2013,7
10,"October 20, 2013 4:25 PM",at Steelers,-1.0,Ravens,41.0,,,2013,7
11,"October 20, 2013 4:25 PM",at Chiefs,-6.5,Texans,39.5,,,2013,7
12,"October 20, 2013 4:25 PM",at Packers,-9.5,Browns,45.0,,,2013,7
13,"October 20, 2013 8:30 PM",Broncos,-6.5,at Colts,55.5,,,2013,7
14,"October 21, 2013 8:30 PM",at Giants,-3.5,Vikings,48.0,,,2013,7
0,"October 24, 2013 8:25 PM",Panthers,-7.0,at Buccaneers,39.5,,,2013,8
