,date,season,week,team,spread,total,moneyLine,homeOrAway,impliedTotal
0,"September 8, 2011 12:00 AM",2011,1,Packers,-4.0,47.5,,home,25.75
1,"September 11, 2011 12:00 AM",2011,1,Texans,-8.5,43.5,,home,26.0
3,"September 11, 2011 12:00 AM",2011,1,Chiefs,-4.0,40.0,,home,22.0
4,"September 11, 2011 12:00 AM",2011,1,Chargers,-9.0,42.5,,home,25.75
6,"September 11, 2011 12:00 AM",2011,1,Cardinals,-7.0,37.5,,home,22.25
7,"September 11, 2011 12:00 AM",2011,1,Ravens,-1.5,36.5,,home,19.0
9,"September 11, 2011 12:00 AM",2011,1,Browns,-6.5,36.0,,home,21.25
10,"September 11, 2011 12:00 AM",2011,1,Jets,-6.0,40.5,,home,23.25
11,"September 11, 2011 12:00 AM",2011,1,49ers,-6.0,37.5,,home,21.75
12,"September 11, 2011 12:00 AM",2011,1,Buccaneers,-1.5,43.0,,home,22.25
14,"September 12, 2011 12:00 AM",2011,1,Broncos,-3.0,40.5,,home,21.75
1,"September 18, 2011 12:00 AM",2011,2,Bills,-4.0,41.0,,home,22.5
3,"September 18, 2011 12:00 AM",2011,2,Broncos,-3.5,40.0,,home,21.75
4,"September 18, 2011 12:00 AM",2011,2,Lions,-8.0,45.0,,home,26.5
7,"September 18, 2011 12:00 AM",2011,2,Vikings,-1.0,41.5,,home,21.25
8,"September 18, 2011 12:00 AM",2011,2,Patriots,-7.0,53.5,,home,30.25
9,"September 18, 2011 12:00 AM",2011,2,Saints,-5.5,47.5,,home,26.5
10,"September 18, 2011 12:00 AM",2011,2,Jets,-9.0,38.5,,home,23.75
11,"September 18, 2011 12:00 AM",2011,2,Steelers,-14.0,40.0,,home,27.0
14,"September 18, 2011 12:00 AM",2011,2,Redskins,-4.5,45.0,,home,24.75
15,"September 19, 2011 12:00 AM",2011,2,Giants,-7.0,44.0,,home,25.5
1,"September 25, 2011 12:00 AM",2011,3,Chargers,-14.0,44.5,,home,29.25
4,"September 25, 2011 12:00 AM",2011,3,Saints,-3.5,51.0,,home,27.25
6,"September 25, 2011 12:00 AM",2011,3,Eagles,-8.0,47.0,,home,27.5
8,"September 25, 2011 12:00 AM",2011,3,Buccaneers,-1.0,45.0,,home,23.0
9,"September 25, 2011 12:00 AM",2011,3,Titans,-7.0,44.0,,home,25.5
11,"September 25, 2011 12:00 AM",2011,3,Panthers,-3.5,43.0,,home,23.25
13,"September 25, 2011 12:00 AM",2011,3,Bengals,-1.5,39.0,,home,20.25
15,"September 26, 2011 12:00 AM",2011,3,Cowboys,-3.5,45.0,,home,24.25
0,"October 2, 2011 12:00 AM",2011,4,Cardinals,-1.0,45.0,,home,23.0
1,"October 2, 2011 12:00 AM",2011,4,Ravens,-5.0,43.5,,home,24.25
2,"October 2, 2011 12:00 AM",2011,4,Bears,-6.5,42.0,,home,24.25
4,"October 2, 2011 12:00 AM",2011,4,Browns,-1.0,38.0,,home,19.5
5,"October 2, 2011 12:00 AM",2011,4,Cowboys,-2.5,46.5,,home,24.5
6,"October 2, 2011 12:00 AM",2011,4,Packers,-12.5,46.0,,home,29.25
7,"October 2, 2011 12:00 AM",2011,4,Texans,-4.0,46.0,,home,25.0
10,"October 2, 2011 12:00 AM",2011,4,Chargers,-7.0,45.0,,home,26.0
13,"October 2, 2011 12:00 AM",2011,4,Eagles,-10.0,43.5,,home,26.75
15,"October 3, 2011 12:00 AM",2011,4,Buccaneers,-10.0,40.0,,home,25.0
0,"October 9, 2011 12:00 AM",2011,5,Texans,-5.0,48.5,,home,26.75
1,"October 9, 2011 12:00 AM",2011,5,Colts,-2.0,38.0,,home,20.0
3,"October 9, 2011 12:00 AM",2011,5,Vikings,-3.5,45.5,,home,24.5
4,"October 9, 2011 12:00 AM",2011,5,Patriots,-7.5,50.0,,home,28.75
5,"October 9, 2011 12:00 AM",2011,5,Giants,-10.0,43.5,,home,26.75
6,"October 9, 2011 12:00 AM",2011,5,Steelers,-3.5,40.0,,home,21.75
7,"October 9, 2011 12:00 AM",2011,5,49ers,-3.0,41.5,,home,22.25
12,"October 10, 2011 12:00 AM",2011,5,Lions,-6.5,47.0,,home,26.75
0,"October 16, 2011 12:00 AM",2011,6,Falcons,-3.5,49.5,,home,26.5
1,"October 16, 2011 12:00 AM",2011,6,Ravens,-7.0,44.0,,home,25.5
2,"October 16, 2011 12:00 AM",2011,6,Bears,-2.5,42.0,,home,22.25
3,"October 16, 2011 12:00 AM",2011,6,Bengals,-6.0,40.5,,home,23.25
4,"October 16, 2011 12:00 AM",2011,6,Lions,-5.0,45.5,,home,25.25
5,"October 16, 2011 12:00 AM",2011,6,Packers,-14.5,47.0,,home,30.75
6,"October 16, 2011 12:00 AM",2011,6,Patriots,-6.5,55.5,,home,31.0
7,"October 16, 2011 12:00 AM",2011,6,Giants,-3.5,49.0,,home,26.25
8,"October 16, 2011 12:00 AM",2011,6,Raiders,-6.5,44.5,,home,25.5
9,"October 16, 2011 12:00 AM",2011,6,Steelers,-12.5,40.0,,home,26.25
12,"October 17, 2011 12:00 AM",2011,6,Jets,-7.0,42.0,,home,24.5
1,"October 23, 2011 12:00 AM",2011,7,Panthers,-2.5,44.0,,home,23.25
2,"October 23, 2011 12:00 AM",2011,7,Browns,-3.0,41.0,,home,22.0
3,"October 23, 2011 12:00 AM",2011,7,Cowboys,-14.0,43.5,,home,28.75
4,"October 23, 2011 12:00 AM",2011,7,Lions,-5.0,47.5,,home,26.25
7,"October 23, 2011 12:00 AM",2011,7,Saints,-14.0,49.0,,home,31.5
8,"October 23, 2011 12:00 AM",2011,7,Jets,-1.0,43.0,,home,22.0
9,"October 23, 2011 12:00 AM",2011,7,Raiders,-3.5,41.5,,home,22.5
11,"October 23, 2011 12:00 AM",2011,7,Titans,-2.5,44.0,,home,23.25
0,"October 30, 2011 12:00 AM",2011,8,Ravens,-12.5,43.0,,home,27.75
1,"October 30, 2011 12:00 AM",2011,8,Bills,-4.0,46.0,,home,25.0
2,"October 30, 2011 12:00 AM",2011,8,Panthers,-3.0,47.0,,home,25.0
4,"October 30, 2011 12:00 AM",2011,8,Texans,-10.0,41.0,,home,25.5
6,"October 30, 2011 12:00 AM",2011,8,Giants,-10.0,42.5,,home,26.25
7,"October 30, 2011 12:00 AM",2011,8,Eagles,-3.0,49.0,,home,26.0
10,"October 30, 2011 12:00 AM",2011,8,49ers,-9.5,38.5,,home,24.0
11,"October 30, 2011 12:00 AM",2011,8,Titans,-7.5,43.5,,home,25.5
0,"November 6, 2011 12:00 AM",2011,9,Cardinals,-1.5,41.0,,home,21.25
1,"November 6, 2011 12:00 AM",2011,9,Bills,-2.5,45.0,,home,23.75
2,"November 6, 2011 12:00 AM",2011,9,Cowboys,-11.0,45.0,,home,28.0
3,"November 6, 2011 12:00 AM",2011,9,Texans,-10.5,41.5,,home,26.0
5,"November 6, 2011 12:00 AM",2011,9,Chiefs,-4.5,40.5,,home,22.5
7,"November 6, 2011 12:00 AM",2011,9,Patriots,-9.5,51.5,,home,30.5
8,"November 6, 2011 12:00 AM",2011,9,Saints,-8.5,51.0,,home,29.75
9,"November 6, 2011 12:00 AM",2011,9,Raiders,-7.0,41.5,,home,24.25
10,"November 6, 2011 12:00 AM",2011,9,Steelers,-3.0,42.0,,home,22.5
11,"November 6, 2011 12:00 AM",2011,9,Titans,-2.5,42.0,,home,22.25
13,"November 7, 2011 12:00 AM",2011,9,Eagles,-8.0,47.0,,home,27.5
0,"November 10, 2011 12:00 AM",2011,10,Chargers,-7.0,48.0,,home,27.5
1,"November 13, 2011 12:00 AM",2011,10,Dolphins,-4.0,37.5,,home,20.75
2,"November 13, 2011 12:00 AM",2011,10,Jets,-1.5,47.5,,home,24.5
3,"November 13, 2011 12:00 AM",2011,10,Eagles,-13.0,47.0,,home,30.0
5,"November 13, 2011 12:00 AM",2011,10,49ers,-4.0,42.5,,home,23.25
7,"November 13, 2011 12:00 AM",2011,10,Falcons,-1.0,50.5,,home,25.75
8,"November 13, 2011 12:00 AM",2011,10,Panthers,-3.5,47.0,,home,25.25
9,"November 13, 2011 12:00 AM",2011,10,Bears,-3.0,43.5,,home,23.25
11,"November 13, 2011 12:00 AM",2011,10,Browns,-2.5,36.0,,home,19.25
12,"November 13, 2011 12:00 AM",2011,10,Cowboys,-5.5,48.0,,home,26.75
14,"November 13, 2011 12:00 AM",2011,10,Chiefs,-3.0,42.0,,home,22.5
15,"November 14, 2011 12:00 AM",2011,10,Packers,-13.0,50.5,,home,31.75
1,"November 20, 2011 12:00 AM",2011,11,Lions,-6.5,47.5,,home,27.0
2,"November 20, 2011 12:00 AM",2011,11,Packers,-13.5,48.5,,home,31.0
3,"November 20, 2011 12:00 AM",2011,11,Rams,-3.0,40.0,,home,21.5
4,"November 20, 2011 12:00 AM",2011,11,Dolphins,-3.0,43.5,,home,23.25
5,"November 20, 2011 12:00 AM",2011,11,Vikings,-2.0,45.5,,home,23.75
6,"November 20, 2011 12:00 AM",2011,11,Falcons,-6.0,44.0,,home,25.0
7,"November 20, 2011 12:00 AM",2011,11,Ravens,-7.0,40.0,,home,23.5
8,"November 20, 2011 12:00 AM",2011,11,Bears,-4.0,45.0,,home,24.5
9,"November 20, 2011 12:00 AM",2011,11,Browns,-1.5,34.0,,home,17.75
10,"November 20, 2011 12:00 AM",2011,11,Giants,-6.0,45.5,,home,25.75
11,"November 20, 2011 12:00 AM",2011,11,49ers,-10.0,41.0,,home,25.5
13,"November 21, 2011 12:00 AM",2011,11,Patriots,-16.5,46.5,,home,31.5
0,"November 24, 2011 12:00 AM",2011,12,Cowboys,-7.0,45.0,,home,26.0
2,"November 24, 2011 12:00 AM",2011,12,Ravens,-3.5,40.0,,home,21.75
3,"November 27, 2011 12:00 AM",2011,12,Bengals,-6.5,38.0,,home,22.25
4,"November 27, 2011 12:00 AM",2011,12,Falcons,-10.0,44.0,,home,27.0
5,"November 27, 2011 12:00 AM",2011,12,Jets,-9.5,42.5,,home,26.0
6,"November 27, 2011 12:00 AM",2011,12,Raiders,-3.0,41.5,,home,22.25
8,"November 27, 2011 12:00 AM",2011,12,Seahawks,-3.0,38.0,,home,20.5
9,"November 27, 2011 12:00 AM",2011,12,Titans,-3.5,44.0,,home,23.75
13,"November 27, 2011 12:00 AM",2011,12,Chargers,-5.0,42.0,,home,23.5
14,"November 27, 2011 12:00 AM",2011,12,Rams,-1.5,39.5,,home,20.5
15,"November 28, 2011 12:00 AM",2011,12,Saints,-7.0,51.0,,home,29.0
1,"December 4, 2011 12:00 AM",2011,13,49ers,-14.0,38.0,,home,26.0
5,"December 4, 2011 12:00 AM",2011,13,Bills,-1.0,42.5,,home,21.75
6,"December 4, 2011 12:00 AM",2011,13,Bears,-8.0,36.0,,home,22.0
9,"December 4, 2011 12:00 AM",2011,13,Dolphins,-3.0,43.0,,home,23.0
11,"December 4, 2011 12:00 AM",2011,13,Patriots,-20.5,48.5,,home,34.5
12,"December 4, 2011 12:00 AM",2011,13,Saints,-9.0,54.0,,home,31.5
14,"December 4, 2011 12:00 AM",2011,13,Steelers,-7.0,42.5,,home,24.75
0,"December 8, 2011 12:00 AM",2011,14,Steelers,-14.0,40.0,,home,27.0
4,"December 11, 2011 12:00 AM",2011,14,Ravens,-16.5,42.0,,home,29.25
6,"December 11, 2011 12:00 AM",2011,14,Bengals,-2.5,37.5,,home,20.0
7,"December 11, 2011 12:00 AM",2011,14,Cowboys,-4.5,50.5,,home,27.5
8,"December 11, 2011 12:00 AM",2011,14,Broncos,-3.0,36.0,,home,19.5
9,"December 11, 2011 12:00 AM",2011,14,Lions,-10.0,47.0,,home,28.5
10,"December 11, 2011 12:00 AM",2011,14,Packers,-11.5,50.5,,home,31.0
12,"December 11, 2011 12:00 AM",2011,14,Chargers,-7.0,48.5,,home,27.75
13,"December 11, 2011 12:00 AM",2011,14,Dolphins,-3.0,44.5,,home,23.75
14,"December 11, 2011 12:00 AM",2011,14,Jets,-11.0,35.5,,home,23.25
15,"December 12, 2011 12:00 AM",2011,14,Seahawks,-9.0,38.0,,home,23.5
0,"December 15, 2011 12:00 AM",2011,15,Falcons,-12.0,42.5,,home,27.25
2,"December 18, 2011 12:00 AM",2011,15,Cardinals,-6.0,37.5,,home,21.75
3,"December 18, 2011 12:00 AM",2011,15,Bills,-1.0,42.0,,home,21.5
4,"December 18, 2011 12:00 AM",2011,15,Bears,-3.5,35.0,,home,19.25
6,"December 18, 2011 12:00 AM",2011,15,Texans,-5.0,45.0,,home,25.0
12,"December 18, 2011 12:00 AM",2011,15,Giants,-6.0,46.0,,home,26.0
14,"December 18, 2011 12:00 AM",2011,15,Eagles,-3.0,44.0,,home,23.5
15,"December 19, 2011 12:00 AM",2011,15,49ers,-2.5,38.0,,home,20.25
1,"December 24, 2011 12:00 AM",2011,16,Chiefs,-3.0,43.0,,home,23.0
2,"December 24, 2011 12:00 AM",2011,16,Patriots,-7.0,49.5,,home,28.25
3,"December 24, 2011 12:00 AM",2011,16,Ravens,-11.5,38.5,,home,25.0
5,"December 24, 2011 12:00 AM",2011,16,Panthers,-8.0,48.0,,home,28.0
6,"December 24, 2011 12:00 AM",2011,16,Bengals,-4.5,41.0,,home,22.75
8,"December 24, 2011 12:00 AM",2011,16,Lions,-1.5,53.5,,home,27.5
9,"December 24, 2011 12:00 AM",2011,16,Jets,-3.0,46.5,,home,24.75
10,"December 24, 2011 12:00 AM",2011,16,Steelers,-10.5,34.0,,home,22.25
12,"December 24, 2011 12:00 AM",2011,16,Titans,-8.0,39.5,,home,23.75
13,"December 24, 2011 12:00 AM",2011,16,Redskins,-6.5,44.0,,home,25.25
14,"December 25, 2011 12:00 AM",2011,16,Packers,-13.0,42.0,,home,27.5
15,"December 26, 2011 12:00 AM",2011,16,Saints,-7.0,52.5,,home,29.75
0,"January 1, 2012 12:00 AM",2011,17,Cardinals,-2.5,41.0,,home,21.75
1,"January 1, 2012 12:00 AM",2011,17,Falcons,-9.5,45.0,,home,27.25
4,"January 1, 2012 12:00 AM",2011,17,Broncos,-2.0,37.0,,home,19.5
7,"January 1, 2012 12:00 AM",2011,17,Jaguars,-3.0,36.5,,home,19.75
9,"January 1, 2012 12:00 AM",2011,17,Dolphins,-2.5,38.5,,home,20.5
10,"January 1, 2012 12:00 AM",2011,17,Vikings,-2.5,41.0,,home,21.75
11,"January 1, 2012 12:00 AM",2011,17,Patriots,-10.5,50.0,,home,30.25
12,"January 1, 2012 12:00 AM",2011,17,Saints,-7.0,55.0,,home,31.0
13,"January 1, 2012 12:00 AM",2011,17,Giants,-3.0,47.5,,home,25.25
14,"January 1, 2012 12:00 AM",2011,17,Raiders,-3.0,48.0,,home,25.5
15,"January 1, 2012 12:00 AM",2011,17,Eagles,-7.5,44.0,,home,25.75
0,"September 5, 2012 8:30 PM",2012,1,Giants,-3.0,47.0,,home,25.0
1,"September 9, 2012 1:00 PM",2012,1,Jets,-3.0,42.5,,home,22.75
2,"September 9, 2012 1:00 PM",2012,1,Lions,-9.5,47.0,,home,28.25
4,"September 9, 2012 1:00 PM",2012,1,Bears,-9.5,41.5,,home,25.5
6,"September 9, 2012 1:00 PM",2012,1,Texans,-13.0,44.5,,home,28.75
8,"September 9, 2012 1:00 PM",2012,1,Vikings,-3.5,39.0,,home,21.25
9,"September 9, 2012 1:00 PM",2012,1,Saints,-8.5,51.5,,home,30.0
12,"September 9, 2012 4:25 PM",2012,1,Packers,-5.0,45.0,,home,25.0
13,"September 9, 2012 8:20 PM",2012,1,Broncos,-2.0,45.0,,home,23.5
14,"September 10, 2012 7:00 PM",2012,1,Ravens,-7.0,40.5,,home,23.75
15,"September 10, 2012 10:15 PM",2012,1,Raiders,-1.0,47.5,,home,24.25
0,"September 13, 2012 8:20 PM",2012,2,Packers,-5.0,48.5,,home,26.75
3,"September 16, 2012 1:00 PM",2012,2,Bills,-3.0,45.0,,home,24.0
5,"September 16, 2012 1:00 PM",2012,2,Bengals,-7.0,41.5,,home,24.25
7,"September 16, 2012 1:00 PM",2012,2,Patriots,-12.5,48.0,,home,30.25
8,"September 16, 2012 1:00 PM",2012,2,Giants,-8.5,43.5,,home,26.0
9,"September 16, 2012 1:00 PM",2012,2,Eagles,-2.5,44.0,,home,23.25
12,"September 16, 2012 4:25 PM",2012,2,Chargers,-6.5,44.5,,home,25.5
13,"September 16, 2012 4:25 PM",2012,2,Steelers,-4.5,41.5,,home,23.0
14,"September 16, 2012 8:20 PM",2012,2,49ers,-7.0,46.5,,home,26.75
15,"September 17, 2012 8:30 PM",2012,2,Falcons,-3.0,48.0,,home,25.5
0,"September 20, 2012 8:20 PM",2012,3,Panthers,-2.5,49.0,,home,25.75
1,"September 23, 2012 1:00 PM",2012,3,Bears,-7.0,41.5,,home,24.25
3,"September 23, 2012 1:00 PM",2012,3,Cowboys,-8.0,46.0,,home,27.0
4,"September 23, 2012 1:00 PM",2012,3,Colts,-3.0,43.0,,home,23.0
7,"September 23, 2012 1:00 PM",2012,3,Saints,-9.0,51.5,,home,30.25
9,"September 23, 2012 1:00 PM",2012,3,Redskins,-3.0,49.5,,home,26.25
10,"September 23, 2012 4:05 PM",2012,3,Chargers,-3.0,47.0,,home,25.0
14,"September 23, 2012 8:20 PM",2012,3,Ravens,-2.5,48.5,,home,25.5
0,"September 27, 2012 8:20 PM",2012,4,Ravens,-12.0,43.5,,home,27.75
2,"September 30, 2012 1:00 PM",2012,4,Falcons,-7.0,48.0,,home,27.5
3,"September 30, 2012 1:00 PM",2012,4,Lions,-3.5,48.5,,home,26.0
4,"September 30, 2012 1:00 PM",2012,4,Texans,-13.0,45.0,,home,29.0
8,"September 30, 2012 4:05 PM",2012,4,Broncos,-6.5,47.0,,home,26.75
9,"September 30, 2012 4:05 PM",2012,4,Jaguars,-1.0,45.5,,home,23.25
10,"September 30, 2012 4:05 PM",2012,4,Cardinals,-4.0,39.0,,home,21.5
11,"September 30, 2012 4:25 PM",2012,4,Packers,-7.5,54.0,,home,30.75
12,"September 30, 2012 4:25 PM",2012,4,Buccaneers,-2.0,44.5,,home,23.25
13,"September 30, 2012 8:20 PM",2012,4,Eagles,-2.5,46.0,,home,24.25
14,"October 1, 2012 8:30 PM",2012,4,Cowboys,-3.0,41.5,,home,22.25
1,"October 7, 2012 1:00 PM",2012,5,Vikings,-6.0,44.0,,home,25.0
2,"October 7, 2012 1:00 PM",2012,5,Bengals,-3.0,45.5,,home,24.25
5,"October 7, 2012 1:00 PM",2012,5,Giants,-8.0,43.5,,home,25.75
6,"October 7, 2012 1:00 PM",2012,5,Steelers,-3.5,44.0,,home,23.75
8,"October 7, 2012 4:05 PM",2012,5,Panthers,-2.0,42.5,,home,22.25
10,"October 7, 2012 4:25 PM",2012,5,Patriots,-6.0,50.5,,home,28.25
11,"October 7, 2012 4:25 PM",2012,5,49ers,-10.0,45.5,,home,27.75
12,"October 7, 2012 8:20 PM",2012,5,Saints,-3.5,52.5,,home,28.0
1,"October 14, 2012 1:00 PM",2012,6,Buccaneers,-4.5,40.0,,home,22.25
2,"October 14, 2012 1:00 PM",2012,6,Falcons,-9.5,49.0,,home,29.25
3,"October 14, 2012 1:00 PM",2012,6,Ravens,-3.0,44.5,,home,23.75
5,"October 14, 2012 1:00 PM",2012,6,Dolphins,-5.5,38.0,,home,21.75
6,"October 14, 2012 1:00 PM",2012,6,Jets,-3.5,44.0,,home,23.75
7,"October 14, 2012 1:00 PM",2012,6,Eagles,-3.5,47.5,,home,25.5
9,"October 14, 2012 4:05 PM",2012,6,Cardinals,-5.0,44.5,,home,24.75
11,"October 14, 2012 4:25 PM",2012,6,49ers,-7.0,47.0,,home,27.0
12,"October 14, 2012 8:20 PM",2012,6,Texans,-4.0,46.5,,home,25.25
13,"October 15, 2012 8:30 PM",2012,6,Chargers,-1.0,47.5,,home,24.25
0,"October 18, 2012 8:20 PM",2012,7,49ers,-9.0,37.5,,home,23.25
2,"October 21, 2012 1:00 PM",2012,7,Texans,-7.0,47.5,,home,27.25
3,"October 21, 2012 1:00 PM",2012,7,Colts,-1.0,46.5,,home,23.75
5,"October 21, 2012 1:00 PM",2012,7,Vikings,-7.0,39.5,,home,23.25
6,"October 21, 2012 1:00 PM",2012,7,Bills,-4.0,46.5,,home,25.25
8,"October 21, 2012 1:00 PM",2012,7,Giants,-6.5,51.5,,home,29.0
9,"October 21, 2012 4:25 PM",2012,7,Raiders,-6.0,44.5,,home,25.25
10,"October 21, 2012 4:25 PM",2012,7,Patriots,-11.0,47.5,,home,29.25
12,"October 22, 2012 8:30 PM",2012,7,Bears,-6.5,46.5,,home,26.5
0,"October 25, 2012 8:20 PM",2012,8,Vikings,-5.5,43.5,,home,24.5
1,"October 28, 2012 1:00 PM",2012,8,Jets,-1.0,39.0,,home,20.0
2,"October 28, 2012 1:00 PM",2012,8,Eagles,-3.0,43.0,,home,23.0
3,"October 28, 2012 1:00 PM",2012,8,Steelers,-4.5,44.5,,home,24.5
4,"October 28, 2012 1:00 PM",2012,8,Titans,-3.0,47.0,,home,25.0
5,"October 28, 2012 1:00 PM",2012,8,Bears,-7.0,41.0,,home,24.0
7,"October 28, 2012 1:00 PM",2012,8,Lions,-2.5,43.0,,home,22.75
8,"October 28, 2012 1:00 PM",2012,8,Packers,-15.5,45.5,,home,30.5
10,"October 28, 2012 4:05 PM",2012,8,Chiefs,-1.0,41.5,,home,21.25
12,"October 28, 2012 8:20 PM",2012,8,Broncos,-6.5,55.0,,home,30.75
0,"November 1, 2012 8:20 PM",2012,9,Chargers,-7.0,41.0,,home,24.0
3,"November 4, 2012 1:00 PM",2012,9,Packers,-10.5,43.0,,home,26.75
4,"November 4, 2012 1:00 PM",2012,9,Texans,-11.0,48.0,,home,29.5
8,"November 4, 2012 1:00 PM",2012,9,Redskins,-3.0,48.0,,home,25.5
9,"November 4, 2012 4:05 PM",2012,9,Raiders,-1.0,47.0,,home,24.0
10,"November 4, 2012 4:05 PM",2012,9,Seahawks,-4.5,38.5,,home,21.5
11,"November 4, 2012 4:25 PM",2012,9,Giants,-3.5,48.0,,home,25.75
12,"November 4, 2012 8:20 PM",2012,9,Falcons,-4.0,47.5,,home,25.75
13,"November 5, 2012 8:30 PM",2012,9,Saints,-2.5,52.0,,home,27.25
1,"November 11, 2012 1:00 PM",2012,10,Dolphins,-6.5,44.0,,home,25.25
3,"November 11, 2012 1:00 PM",2012,10,Patriots,-13.5,54.0,,home,33.75
5,"November 11, 2012 1:00 PM",2012,10,Ravens,-7.5,48.0,,home,27.75
8,"November 11, 2012 1:00 PM",2012,10,Buccaneers,-3.0,47.5,,home,25.25
9,"November 11, 2012 4:05 PM",2012,10,Seahawks,-5.5,38.5,,home,22.0
10,"November 11, 2012 4:25 PM",2012,10,49ers,-13.0,38.0,,home,25.5
12,"November 11, 2012 8:20 PM",2012,10,Bears,-1.0,37.0,,home,19.0
13,"November 12, 2012 8:30 PM",2012,10,Steelers,-12.5,39.5,,home,26.0
0,"November 15, 2012 8:20 PM",2012,11,Bills,-2.5,46.0,,home,24.25
1,"November 18, 2012 1:00 PM",2012,11,Panthers,-1.0,47.0,,home,24.0
2,"November 18, 2012 1:00 PM",2012,11,Cowboys,-7.0,43.5,,home,25.25
3,"November 18, 2012 1:00 PM",2012,11,Falcons,-9.5,43.0,,home,26.25
4,"November 18, 2012 1:00 PM",2012,11,Redskins,-3.5,45.5,,home,24.5
6,"November 18, 2012 1:00 PM",2012,11,Texans,-15.0,40.5,,home,27.75
8,"November 18, 2012 1:00 PM",2012,11,Rams,-3.5,39.0,,home,21.25
9,"November 18, 2012 1:00 PM",2012,11,Patriots,-9.5,53.5,,home,31.5
11,"November 18, 2012 4:25 PM",2012,11,Broncos,-7.5,47.5,,home,27.5
13,"November 19, 2012 8:30 PM",2012,11,49ers,-3.5,34.5,,home,19.0
1,"November 22, 2012 4:25 PM",2012,12,Cowboys,-3.5,47.0,,home,25.25
5,"November 25, 2012 1:00 PM",2012,12,Bears,-6.5,38.5,,home,22.5
6,"November 25, 2012 1:00 PM",2012,12,Bengals,-8.0,50.0,,home,29.0
8,"November 25, 2012 1:00 PM",2012,12,Colts,-2.0,51.0,,home,26.5
12,"November 25, 2012 4:25 PM",2012,12,Cardinals,-1.0,36.5,,home,18.75
14,"November 25, 2012 8:20 PM",2012,12,Giants,-2.5,50.5,,home,26.5
0,"November 29, 2012 8:20 PM",2012,13,Falcons,-3.5,54.5,,home,29.0
1,"December 2, 2012 1:00 PM",2012,13,Bills,-6.0,41.0,,home,23.5
2,"December 2, 2012 1:00 PM",2012,13,Bears,-3.0,37.0,,home,20.0
3,"December 2, 2012 1:00 PM",2012,13,Lions,-7.0,51.5,,home,29.25
4,"December 2, 2012 1:00 PM",2012,13,Packers,-7.0,47.0,,home,27.0
8,"December 2, 2012 1:00 PM",2012,13,Jets,-6.0,37.0,,home,21.5
10,"December 2, 2012 4:05 PM",2012,13,Broncos,-8.0,49.5,,home,28.75
12,"December 2, 2012 4:25 PM",2012,13,Chargers,-1.0,46.0,,home,23.5
13,"December 2, 2012 4:25 PM",2012,13,Ravens,-7.0,36.5,,home,21.75
14,"December 2, 2012 8:20 PM",2012,13,Cowboys,-10.5,44.5,,home,27.5
1,"December 9, 2012 1:00 PM",2012,14,Steelers,-7.0,37.5,,home,22.25
2,"December 9, 2012 1:00 PM",2012,14,Buccaneers,-7.0,48.0,,home,27.5
3,"December 9, 2012 1:00 PM",2012,14,Redskins,-1.5,48.0,,home,24.75
4,"December 9, 2012 1:00 PM",2012,14,Bills,-3.5,42.5,,home,23.0
6,"December 9, 2012 1:00 PM",2012,14,Bengals,-3.0,46.0,,home,24.5
7,"December 9, 2012 1:00 PM",2012,14,Browns,-7.0,38.0,,home,22.5
8,"December 9, 2012 1:00 PM",2012,14,Colts,-3.5,47.0,,home,25.25
11,"December 9, 2012 4:05 PM",2012,14,49ers,-10.5,38.5,,home,24.5
12,"December 9, 2012 4:25 PM",2012,14,Giants,-4.0,52.5,,home,28.25
13,"December 9, 2012 4:25 PM",2012,14,Seahawks,-10.0,36.0,,home,23.0
14,"December 9, 2012 8:20 PM",2012,14,Packers,-6.0,48.5,,home,27.25
15,"December 10, 2012 8:30 PM",2012,14,Patriots,-5.5,50.5,,home,28.0
1,"December 16, 2012 1:00 PM",2012,15,Saints,-3.5,54.5,,home,29.0
2,"December 16, 2012 1:00 PM",2012,15,Falcons,-1.0,50.0,,home,25.5
5,"December 16, 2012 1:00 PM",2012,15,Browns,-4.0,40.5,,home,22.25
6,"December 16, 2012 1:00 PM",2012,15,Texans,-10.0,48.0,,home,29.0
7,"December 16, 2012 1:00 PM",2012,15,Rams,-2.5,39.5,,home,21.0
8,"December 16, 2012 1:00 PM",2012,15,Dolphins,-7.5,38.5,,home,23.0
9,"December 16, 2012 4:05 PM",2012,15,Chargers,-3.0,45.0,,home,24.0
12,"December 16, 2012 4:25 PM",2012,15,Raiders,-4.5,43.5,,home,24.0
14,"December 16, 2012 8:20 PM",2012,15,Patriots,-4.0,47.5,,home,25.75
1,"December 23, 2012 1:00 PM",2012,16,Packers,-10.5,44.0,,home,27.25
2,"December 23, 2012 1:00 PM",2012,16,Texans,-7.5,43.5,,home,25.5
5,"December 23, 2012 1:00 PM",2012,16,Dolphins,-5.0,43.0,,home,24.0
6,"December 23, 2012 1:00 PM",2012,16,Jets,-3.0,38.0,,home,20.5
8,"December 23, 2012 1:00 PM",2012,16,Steelers,-3.0,41.0,,home,22.0
9,"December 23, 2012 1:00 PM",2012,16,Panthers,-9.5,47.0,,home,28.25
10,"December 23, 2012 1:00 PM",2012,16,Cowboys,-3.0,54.5,,home,28.75
11,"December 23, 2012 1:00 PM",2012,16,Buccaneers,-3.0,43.5,,home,23.25
12,"December 23, 2012 4:05 PM",2012,16,Broncos,-11.0,43.5,,home,27.25
